Id	GroupId	Name	Title	HeadIconStyleId	InteractOptionTexts
2200002	500101	Service Robot			
2200003	500101	Male Construct 3 (Story)			
2200004	500101	Female Construct 3 (Story)			
2200005	500101	Male X Standby Action 04 (Story)			
2200006	500101	New Male NPC 4 (Story)			
2200007	500101	New Male NPC 6			
2200008	500101	Female Construct 1 (Ecological)			
2200009	500101	New Male NPC 1			
2200010	500101	Female Construct 2 (Story)			
2200011	500101	Male Construct 1 (Story)			
2200012	500101	Kowloong Female NPC 03 (Black)			
2200013	500101	Kowloong Female NPC 02 (White)			
2200014	500101	Akdilek Male NPC01 (Blue Ecosystem 2)			
2200015	500101	Film Promoter			['Talk']
2200016	500101	Waiter 2 (Ecosystem 2)			
2200017	500101	Cinema Ticket Seller			['Talk']
2200018	500101	白色工程师服女2（生态2）			
2200020	500101	Kowloong Female NPC01 (Dark Ecosystem 2)			
2200022	500101	Merchandise Seller			['Talk']
2200024	500101	New Male NPC 3 (Ecological)			
2200025	500101	Babylonia Staff (Ecological)			
2200026	500101	Sweet-Ku			
2200028	500101	Uniformed Female NPC01 (Pink Ecosystem 2)			
2200029	500101	Uniformed Female NPC01 (White Ecosystem 2)			
2200030	500101	Scanner Kuroro			
2200031	500101	New Female NPC 6 (Story)			
2200032	500101	白色工程师服男4（生态2）			['Listen']
2200033	500101	狙击手			['Listen']
2200034	500101	好怕怕			['Listen']
2200035	500101	Uniformed Male NPC03 (White Ecosystem 2)			
2200036	500101	白色工程师服女2（生态2）			
2200037	500101	赛车手			['Listen']
2200038	500101	Bianca			['【NpcName】', '【NpcName】', '【NpcName】', '【NpcName】']
2200039	500101	Lounge Background Group 01 (Female)			
2200040	500101	Dormitory Background Couple on a Date (Male) (Story)			
2200041	500101	New Male NPC 2			
2200042	500101	Male Construct 3 (Story)			
2200043	500101	Service Robot			
2200044	500101	Service Robot			
2200045	500101	Male X Standby Action 03 (Story)			
2200046	500101	New Male NPC 3 (Story)			
2200047	500101	New Female NPC 8			
2200048	500101	New Male NPC 5 (Story)			
2200049	500101	Waitress 3 (Story)			
2200050	500101	Uniformed Female NPC 1 (Ecological)			
2200051	500101	Male X Standby Action 01 (Ecological)			
2200053	500101	巡逻库洛洛			
2200054	500101	巡逻库洛洛			
2200055	500101	Male X Standby Action 03 (Story)			
2200056	500101	Female X Standby Action 03 (Story)			
2200058	500101	New Male NPC 5 (Story)			
2200065	500101	Uniformed Female NPC 3 (Story)			
2200068	500101	Female X Standby Action 01 (Ecosystem 2)			
2200073	500101	制服构造体士兵红1			
2200001	500101	Kuprinkle			
2200075	500101	巡逻库洛洛			
2200076	500101	颠勺库洛洛			
2200089	500101	Repairer Kuroro			
2200094	500101	极地女NPC1			
2200096	500101	带帽微笑库洛洛			
2200099	500101	Female Construct 2 (Story)			
2200101	500101	Robot NPC			
