Id	GroupId	Name	Title	HeadIconStyleId	InteractOptionTexts
2400002	500107	New Female NPC 6 (Ecological)			
2400003	500107	Male X Standby Action 01 (Ecological)			
2400004	500107	Uniformed Female NPC 1 (Ecological)			
2400005	500107	白色工程师服男2（生态2）			
2400006	500107	Uniformed Female NPC01 (Black)			
2400007	500107	Kowloong Female NPC03 (Dark Ecosystem 2)			
2400008	500107	Akdilek Male NPC01 (Red Ecosystem 2)			
2400009	500107	PV Trio Bubble Uniform Female NPC (Ecological)			
2400010	500107	Greenie	Agricultural Science Graduate		['Greenie']
2400011	500107	Kargo	Task Force Construct		['Kargo']
2400012	500107	New Blonde Female (Ecological)			
2400013	500107	Male Construct 3 (Ecological)			
2400014	500107	Uniformed Male NPC 03 (White)			
2400015	500107	New Male NPC 5 (Ecological)			
2400016	500107	New Male NPC 5 (Story)			
2400017	500107	Wanshi			['Wanshi', 'Wanshi', 'Wanshi', 'Wanshi', 'Wanshi', 'Wanshi']
