Id	Desc
1	队伍中上阵1个进攻型泛用机体
2	队伍中上阵1个辅助型泛用机体
3	队伍中上阵1个装甲型泛用机体
4	上阵1个战力达到3000的成员
5	上阵1个40级及以上的成员
6	上阵近战型泛用机体
7	上阵含元素属性泛用机体
8	上阵远程型泛用机体
9	上阵1个战力达到4000的成员
10	上阵3个泛用机体
11	上阵含元素属性泛用机体
12	上阵3个泛用机体
13	上阵1个独域机体
14	上阵2个泛用机体
15	上阵2个独域机体
16	上阵3个含元素属性泛用机体
17	上阵1个战力达到6000的成员
18	上阵1个独域机体
19	上阵3个泛用机体
20	上阵含元素属性泛用机体
21	队伍中上阵1个增幅型泛用机体
22	队伍中上阵1个装甲型泛用机体
23	上阵1个独域机体
24	队伍中上阵1个非元素机体
25	上阵1个增幅型泛用机体
26	上阵含元素属性泛用机体
27	上阵1个装甲型泛用机体
28	上阵一个独域机体
29	上阵含元素属性泛用机体
30	队伍中上阵1个非元素机体
31	队伍中上阵1个非元素机体
32	上阵1个战力达到4000的成员
33	上阵3个任意机体
34	上阵1个任意机体
35	上阵含元素属性泛用机体
36	上阵1个战力达到2000的成员
