Id	Name	Desc	BuffLv	IsStress
1	帕弥什风暴1	帕弥什风暴1buff组说明	[1, 2, 3]	1
2	帕弥什风暴2	帕弥什风暴2buff组说明	[1, 2, 3]	1
3	帕弥什风暴3	帕弥什风暴3buff组说明	[1, 2, 3]	1
4	帕弥什风暴4	帕弥什风暴4buff组说明	[1, 2, 3]	1
5	帕弥什风暴5	帕弥什风暴5buff组说明	[1, 2, 3]	1
6	帕弥什风暴6	帕弥什风暴6buff组说明	[1, 2, 3]	1
7	帕弥什风暴7	帕弥什风暴7buff组说明	[1, 2, 3]	1
8	帕弥什风暴8	帕弥什风暴8buff组说明	[1, 2, 3]	1
9	帕弥什风暴9	帕弥什风暴9buff组说明	[1, 2, 3]	1
10	帕弥什风暴10	帕弥什风暴10buff组说明	[1, 2, 3]	1
11	帕弥什风暴11	帕弥什风暴11buff组说明	[1, 2, 3]	1
12	帕弥什风暴12	帕弥什风暴12buff组说明	[1, 2, 3]	1
13	帕弥什风暴13	帕弥什风暴13buff组说明	[1, 2, 3]	1
14	帕弥什风暴14	帕弥什风暴14buff组说明	[1, 2, 3]	1
1000	短兵相接	模拟作战中，可上阵构造体攻击模式将受到限制	[1]	
1001	火力侵扰	模拟作战中，可上阵的构造体类型将受到限制	[1]	
1002	修复侵扰	模拟作战中，可上阵的构造体类型将受到限制	[1]	
1003	防护侵扰	模拟作战中，可上阵的构造体类型将受到限制	[1]	
1100	心力	模拟作战中，敌人的生命值将得到强化	[1, 2, 3]	
1101	强袭	模拟作战中，敌人的攻击力将得到强化	[1, 2, 3]	
1103	坚韧	模拟作战中，敌人受到的物理伤害将减少	[1, 2, 3]	
1104	过载	模拟作战中，敌人的强度指数将得到提升	[1, 2, 3, 4, 5]	1
1105	疾走	模拟作战中，敌人移动速度将得到提升	[1, 2, 3]	
1106	金刚	模拟作战中，敌人在特定情况下将会得到强化	[1, 2, 3]	
1107	过载	模拟作战中，敌人的强度指数将得到提升	[1, 2, 3, 4, 5]	1
1113	精灵	模拟作战中的敌人受到的元素伤害将减少	[1]	
1114	金刚	模拟作战中，敌人在特定情况下将会得到强化	[2, 3]	
1200	孱弱	模拟作战中，构造体的生命值上限将被减少	[1, 2, 3]	
1205	重力适应	模拟作战中，构造体的移动速度将被减少	[1, 2, 3]	
1210	神经衰弱	模拟作战中，构造体距离敌人越远造成的伤害越低	[1]	
1211	力场干扰	模拟作战中，构造体距离敌人越近造成的伤害越低	[1]	
1212	孤立无援	模拟作战中，上阵构造体的QTE冷却时间将被延长	[1, 2, 3]	
1213	精密规划	模拟作战中，构造体可用的闪避槽上限将被减少	[1, 2, 3]	
1215	主宰	模拟作战中，敌人的能力将得到额外强化	[1]	1
1300	落雷	模拟作战中，场地会出现雷暴场景因子	[1]	
1305	支援阻隔	模拟作战中，构造体受到的治疗效果将被减少	[1]	
1307	意识沸腾	模拟作战中，上阵的全体构造体将每秒损失生命值	[1, 2, 3]	
1308	黑雾弥漫	模拟作战中，在场构造体将间断受到物理伤害	[1]	
2100	强袭装甲	模拟作战中，上阵构造体的生命值上限将得到强化	[1]	
2101	武装填充	模拟作战中，上阵构造体的攻击力将得到强化	[1]	
2110	战意	模拟作战中，上阵构造体的攻击力将得到强化	[1]	
2111	共同行动	模拟作战中，会同时触发场下两个角色的QTE	[1]	
2112	士气高昂	模拟作战中，特定条件下构造体的伤害将得到提升	[1]	
2113	群体治疗	模拟作战中，特定条件下构造体将获得治疗	[1]	
2121	火焰增幅	模拟作战中，构造体造成火焰伤害提升	[1]	
2122	雷电增幅	模拟作战中，构造体造成雷电伤害提升	[1]	
2123	冰霜增幅	模拟作战中，构造体造成冰霜伤害提升	[1]	
2126	新型装甲	模拟作战中，上阵构造体将获得额外伤害豁免	[1]	
2127	新型装甲	模拟作战中，上阵构造体将获得额外伤害豁免	[1]	
2205	优速愈合	模拟作战中，上阵构造体受到的治疗效果将得到提升	[1]	
2206	节奏打击	模拟作战中，特定条件下构造体的伤害将得到提升	[1]	
2207	额外支援	模拟作战中，特定条件下在场构造体将获得额外的信号球	[1]	
2208	厚积薄发	模拟作战中，特定条件下构造体的伤害将得到提升	[1]	
2209	元素增幅	模拟作战中，上阵构造体的元素伤害将得到提升	[1]	
2210	攻其不备	模拟作战中，特定条件下构造体的伤害将得到提升	[1]	
2211	元素祝福	模拟作战中，特定条件下构造体的元素伤害将得到提升	[1]	
2212	以守为攻	模拟作战中，装甲型构造体的伤害将得到提升	[1]	
2213	龟甲	模拟作战中，装甲型构造体将获得额外免伤	[1]	
2214	元素盛宴	模拟作战中，上阵构造体的元素伤害将得到提升	[1]	
2215	元素盛宴	模拟作战中，上阵构造体的元素伤害将得到提升	[1]	
2216	炎爆	模拟作战中，上阵构造体的火系元素伤害将得到提升	[1]	
2217	一刀缭乱	模拟作战中，上阵构造体的物理伤害将得到提升	[1]	
2218	雷动	模拟作战中，上阵构造体的雷系元素伤害将得到提升	[1]	
2219	连携攻势	模拟作战中，特定条件下当前操控构造体的伤害将得到提升	[1]	
2220	连锁救疗	模拟作战中，特定条件下当前操控构造体将得到生命治疗效果	[1]	
2221	巨化	模拟作战中，上阵构造体的最大生命将得到提升	[1]	
2222	额外填充	模拟作战中，特定条件下在场构造体将获得额外的信号球支援	[1]	
2223	基础增幅	模拟作战中，上阵构造体的特定伤害将得到提升	[1]	
