Key	Values
RankScoreLabel	['{0}/{1}']
RankDetailDesc	['参与匹配战斗可获得积分、提升段位']
TopHealthLabel	['{0}/{1}']
ItemDragLimit	['0.1']
ShopBuyFaultMoneyNoEnough	['金币不足，购买失败']
ShopBuyFaultFullBag	['背包已满，购买失败']
ShopBuyBagContainer2IndexIsFull	['购买失败，该栏位已有物品']
ShopBuyBagContainer3IndexIsFull	['购买失败，该栏位已有技能']
ShopBuyBagContainer4IndexIsFull	['购买失败，该栏位已有符纹']
RuneToSkillContainerTips	['符纹无法装备至技能栏']
SkillToRuneContainerTips	['技能无法装备至符纹栏']
GoodsFreezeStateLabels	['解冻', '冻结']
ShopFreezeStateLabels	['解冻全部', '冻结全部']
ShopRefreshErrorTips	['金币不足']
NewGemSlotUnlockTips	['是否花费{0}金币解锁符纹槽位']
GemSlotUnlockLackGoldError	['金币不足，解锁失败']
RatingProcessLabel	['\\+{0}', '\\-{0}']
GemTriggerTimesLabel	['X{0}']
RoundSettleSummaryChangeLabel	['查看敌人', '查看自己']
NoRankTips	['未上榜']
RankRefreshTips	['每10分钟刷新一次']
RankAllTabLabel	['全部']
GameGiveUpContent	['是否放弃当前对局？']
SettleRatingChangedAnimaTotalTime	['1']
BattleCheckFailRestartTips	['未通过战斗校验，是否重新进行战斗？']
BattleCheckFailEndGameTips	['多次挑战未通过战斗校验，本局挑战即将结束']
AllFreezeShopRefreshTips	['商品均已冻结，无法刷新']
PveChapterLevelLockText	['？？？']
EnterChapterStoryTips	['即将进入的章节有较长篇幅的剧情内容，需要花费一定时间观看，确定现在开始吗']
GoodsPriceShowOnSellout	['\\--']
PveGoldLayerDesc	['基础结算奖励', '通关关卡奖励', '剩余血量奖励']
TaskShopTagName	['商店', '任务']
EnterDeduceTips	['有尚未完成的推演，是否继续？']
GemQualtyColors	['#4da27b', '#437cad', '#d65fb3', '#ee762e']
CharacterAttribAddsShow	['\\+{0}']
NoDragToTempBag	['不能拖拽到临时背包']
MatchLoadingDelay	['2', '0']
ShopItemProbShowLabel	['{0}%']
SellSkillLabel	['废弃']
SellItemWithPriceShow	['\\+{0}']
LockGoodsSlotClickTips	['继续战斗可解锁更多商店栏位']
RoundSettlePassiveGemLabel	['被动']
CharacterLock	['角色故事将在后续版本中开启']
FreezeAllSellOutGoodsTips	['商品均已售出，无法冻结']
RankPercentLabel	['{0}%']
RankListGridAnimationInterval	['0.1']
PVPTimeLabel	['剩余时间：{0}']
RewardTimeLabel	['剩余时间：{0}']
EntranceTimeLabel	['限时奖励剩余：{0}']
PVPNotOpenTips	['玩法未开启', '{0}后开启']
RepeatChapterChacterDesc	['烬土的星夜尚未夺回，血契者的旅途仍在继续。\\n跨越残虐嗜血的蛮荒，向着最终的启示前进吧。']
RankRequestCd	['5']
TaskShopTimeLabel	['剩余时间：{0}']
EventOptionIncomplete	['未持有足够数量的{0}']
BattleLoseLifeChangeDelay	['2']
PveVersionError	['故事进度出错，请再挑战一次该角色的当前关卡']
AvgFinishTriggerGuideId	['63915']
DressItemFieldIsFull	['栏位已满，无法装备']
RemoveItemBagIsFull	['背包已满，无法卸下']
UnlockRuneSlot	['是否花费{0}金币解锁符文槽位']
NothingCanStrength	['当前没有可强化的符纹']
RelicRefreshCountIsZero	['饰品刷新次数不足']
HammerDragFail	['无法装备炼金锤']
StrengthenSuccess	['强化成功']
StrengthenDescAdd	['<color=#D169CD>新增：</color>']
PvpPopUpTitle	['亡命死竞', '{0} 天启归来']
PvpPopUpContent1	['全新委托系统', '玛门事务所正在准备委托']
PvpPopUpContent2	['赛季限时奖励']
PvpPopUpContent3	['升级与饰品回归']
PvpPopUpImgNameplate	
PvpPopUpImgRune	['Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png']
CrowModelOutLineShowCondition	['1050238']
CrowModelOutLineHideCondition	['1050355']
TaskShopUpdateTips	['活动商店已刷新']
PopUpversion	['2']
MissionLevelUpCostLinks	['{0}', '{0}/{1}', '{0}/{1}/{2}', '{0}/{1}/{2}/{3}', '{0}/{1}/{2}/{3}/{4}', '{0}/{1}/{2}/{3}/{4}/{5}']
MissionLevelUpCostHighLine	['<color=#F9E6A5>{0}</color>']
MissionRewardLinks	['{0}', '{0}/{1}', '{0}/{1}/{2}', '{0}/{1}/{2}/{3}', '{0}/{1}/{2}/{3}/{4}', '{0}/{1}/{2}/{3}/{4}/{5}']
MissionRewardHighLine	['<color=#EAC572>{0}</color>']
MissionLvFormat	['Lv.{0}', 'MAX']
MissionMaxLevelLabel	['已升至最高阶']
MissionCompleteLabel	['已激活玛门的嘉赏']
MissionGridLevelLabel	['Lv.{0}', 'MAX']
MissionLevelUpNoEnoughGold	['升阶所需的金币不足']
NoMissionTips	['1回合后可接取委托', '玛门事务所正在准备委托']
MissionGridTitle	['委托', '结算中']
MissonIsLockInBook	['尚未发现']
MissionLevelUpNoTimes	['当前回合已进行过一次嘉赏升阶']
PVPNotStartTips	['{0}后开启', '未开启']
