Id	Group	Type	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	SizeX	SizeY	SizeZ	Direction	Mesh	Convex	CameraBlockHandleTag
1		MeshCollider	567.5759	166.9519	1168.592		0.2512		0.9679	1.0	1.0	1.0					SG_Res_BD_CafePingtai01_Col		
2		MeshCollider	642.75	160.3099	1122.54		0.8723		0.4889	1.0	1.0	1.0					SG_Res_BD_Rukou01_Col		
3		MeshCollider	567.7999	115.26	1171.3		0.2539		0.9672	1.0	1.0	1.0					SG_Pla_BD_Huan01_Col		
4		BoxCollider	411.5584	213.5278	912.275				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
5		BoxCollider	419.4744	213.5278	912.275				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
6		BoxCollider	416.2944	213.5278	909.5399				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
7		BoxCollider	412.8984	213.5278	909.5399				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
8		BoxCollider	417.7644	213.5278	909.5399				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
9		BoxCollider	412.9943	213.5278	912.275				-1.0	1.0	1.0	1.0	0.966	0.9425	0.9691				
10		BoxCollider	232.225	240.9185	911.21				1.0	25.6751	1.0	34.4695	1.0	1.0	1.0				
11		BoxCollider	280.5465	236.4499	919.1279		0.2588		0.9659	18.8186	6.139	1.2121	1.0	1.0	1.0				
12		BoxCollider	288.3399	236.4499	910.924		0.7071		0.7071	7.9863	6.139	1.2121	1.0	1.0	1.0				
13		BoxCollider	262.397	236.4499	929.611		0.2588		0.9659	12.6262	6.139	1.2121	1.0	1.0	1.0				
14		BoxCollider	261.3299	236.4499	924.96		0.2588		0.9659	9.8621	6.139	1.2121	1.0	1.0	1.0				
15		BoxCollider	275.3005	236.4499	916.8859		0.2588		0.9659	11.8102	6.139	1.2121	1.0	1.0	1.0				
16		BoxCollider	265.1871	238.33	915.0643		0.2588		0.9659	12.9346	6.139	1.2121	1.0	1.0	1.0				
