Id	Name	Priority	CellSize	CenterX	CenterY	WorldBoxMinX	WorldBoxMinY	WorldBoxMaxX	WorldBoxMaxY	ShowRange	ShowOrHideRange	HideRange	LoadRange	LoadOrUnloadRange
	Main		42					3000.0	3000.0	56.0	61.0	66.0	71.0	76.0
1	Light		32					3000.0	3000.0	48.0	53.0	58.0	63.0	68.0
2	Volume		32					3000.0	3000.0	46.0	51.0	56.0	61.0	66.0
3	TrainingRoom		32					3000.0	3000.0	72.0	77.0	82.0	87.0	92.0
4	GoldenHall_BuildingHuge	10	64					3000.0	3000.0	256.0	261.0	266.0	271.0	276.0
5	GoldenHall_Middle	7	64					3000.0	3000.0	128.0	133.0	138.0	143.0	148.0
6	GoldenHall_Small	5	42					3000.0	3000.0	56.0	61.0	66.0	71.0	76.0
7	GoldenHall_BuildingMiddle	9	64					3000.0	3000.0	160.0	165.0	170.0	175.0	180.0
8	GoldenHall_BuildingSmall	5	32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
9	Square_BuildingHuge	10	64					3000.0	3000.0	256.0	261.0	266.0	271.0	276.0
10	Square_BuildingMiddle	9	64					3000.0	3000.0	128.0	133.0	138.0	143.0	148.0
11	Square_BuildingSmall		32					3000.0	3000.0	56.0	61.0	66.0	71.0	76.0
12	Square_Middle		32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
13	Square_Small		32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
14	Square_Plant		32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
15	Square_Grass		32					3000.0	3000.0	46.0	51.0	56.0	61.0	66.0
16	TrafficHub_BuildingHuge	10	64					3000.0	3000.0	256.0	261.0	266.0	271.0	276.0
17	TrafficHub_BuildingMiddle	9	64					3000.0	3000.0	128.0	133.0	138.0	143.0	148.0
18	TrafficHub_BuildingSmall		32					3000.0	3000.0	56.0	61.0	66.0	71.0	76.0
19	TrafficHub_Middle		46					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
20	TrafficHub_Small		32					3000.0	3000.0	46.0	51.0	56.0	61.0	66.0
21	TrafficHub_BuildingFar	10	64					3000.0	3000.0	300.0	305.0	310.0	315.0	320.0
22	TrafficHub_Far	10	64					3000.0	3000.0	500.0	505.0	510.0	515.0	520.0
23	TrafficHub_Plant	5	32					3000.0	3000.0	56.0	61.0	66.0	71.0	76.0
24	BlocktoberR	10	32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
25	BlocktoberL	10	32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
26	BlocktoberTOP	10	32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
27	BlocktoberFoot	10	32					3000.0	3000.0	64.0	69.0	74.0	79.0	84.0
28	TrafficHubTiny		10					3000.0	3000.0	20.0	25.0	30.0	35.0	40.0
29	Square_BuildingHuge01		64					3000.0	3000.0	256.0	261.0	266.0	271.0	276.0
100	PrecomputedVisibility		20					3000.0	3000.0	40.0	45.0	50.0	55.0	60.0
128	HLOD0_64m_256m	100	64					3000.0	3000.0	256.0	261.0	266.0	271.0	276.0
