Id	Name	Priority	CellSize	CenterX	CenterY	WorldBoxMinX	WorldBoxMinY	WorldBoxMaxX	WorldBoxMaxY	ShowRange	ShowOrHideRange	HideRange	LoadRange	LoadOrUnloadRange
	Main		42					3000.0	3000.0	156.0	261.0	366.0	471.0	576.0
1	Light		32					3000.0	3000.0	148.0	253.0	358.0	463.0	568.0
2	Volume		32					3000.0	3000.0	146.0	251.0	356.0	461.0	566.0
3	TrainingRoom		32					3000.0	3000.0	172.0	277.0	382.0	487.0	592.0
4	GoldenHall_BuildingHuge	10	64					3000.0	3000.0	356.0	461.0	566.0	671.0	776.0
5	GoldenHall_Middle	7	64					3000.0	3000.0	228.0	333.0	438.0	543.0	648.0
6	GoldenHall_Small	5	42					3000.0	3000.0	156.0	261.0	366.0	471.0	576.0
7	GoldenHall_BuildingMiddle	9	64					3000.0	3000.0	260.0	365.0	470.0	575.0	680.0
8	GoldenHall_BuildingSmall	5	32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
9	Square_BuildingHuge	10	64					3000.0	3000.0	356.0	461.0	566.0	671.0	776.0
10	Square_BuildingMiddle	9	64					3000.0	3000.0	228.0	333.0	438.0	543.0	648.0
11	Square_BuildingSmall		32					3000.0	3000.0	156.0	261.0	366.0	471.0	576.0
12	Square_Middle		32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
13	Square_Small		32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
14	Square_Plant		32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
15	Square_Grass		32					3000.0	3000.0	146.0	251.0	356.0	461.0	566.0
16	TrafficHub_BuildingHuge	10	64					3000.0	3000.0	356.0	461.0	566.0	671.0	776.0
17	TrafficHub_BuildingMiddle	9	64					3000.0	3000.0	228.0	333.0	438.0	543.0	648.0
18	TrafficHub_BuildingSmall		32					3000.0	3000.0	156.0	261.0	366.0	471.0	576.0
19	TrafficHub_Middle		46					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
20	TrafficHub_Small		32					3000.0	3000.0	146.0	251.0	356.0	461.0	566.0
21	TrafficHub_BuildingFar	10	64					3000.0	3000.0	400.0	505.0	610.0	715.0	820.0
22	TrafficHub_Far	10	64					3000.0	3000.0	600.0	705.0	810.0	915.0	1020.0
23	TrafficHub_Plant	5	32					3000.0	3000.0	156.0	261.0	366.0	471.0	576.0
24	BlocktoberR	10	32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
25	BlocktoberL	10	32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
26	BlocktoberTOP	10	32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
27	BlocktoberFoot	10	32					3000.0	3000.0	164.0	269.0	374.0	479.0	584.0
28	TrafficHubTiny		10					3000.0	3000.0	120.0	225.0	330.0	435.0	540.0
29	Square_BuildingHuge01		64					3000.0	3000.0	356.0	461.0	566.0	671.0	776.0
100	PrecomputedVisibility		20					3000.0	3000.0	140.0	245.0	350.0	455.0	560.0
128	HLOD0_64m_256m	100	64					3000.0	3000.0	356.0	461.0	566.0	671.0	776.0
