Id	Core	GroupId	Answer	Texture	Title	AnswerTips	Word
1	True	1	1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading1.png	Title 1	线索文本描述1	['选项11', '选项21', '选项31']
2		1	2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading2.png	Title 2	线索文本描述2	['选项12', '选项22', '选项32']
3	True	1	3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading3.png	Title 3	线索文本描述3	['选项13', '选项23', '选项33']
4		1	1|2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading4.png	Title 4	线索文本描述4	['选项14', '选项24', '选项34']
5		2	1|2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading5.png	Title 5	线索文本描述5	['选项15', '选项25', '选项35']
6		2	1|3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading6.png	标题6	线索文本描述6	['选项16', '选项26', '选项36']
7	True	2	2|3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading7.png	标题7	线索文本描述7	['选项17', '选项27', '选项37']
8	True	3	1|2|3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading8.png	标题8	线索文本描述8	['选项18', '选项28', '选项38']
9	True	3	1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading9.png	标题9	线索文本描述9	['选项19', '选项29', '选项39']
10		3	1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading10.png	标题10	线索文本描述10	['选项20', '选项30', '选项40']
103701021		10370102	1|2|3	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh01.png	Damaged Corrupted	死者作息古怪，案发时邻居曾听到破窗声并看到影子，现场勘察发现有一具完全损坏的机械感染体，似乎是死者击杀	['死者作息古怪，早出晚归，与邻居都不熟悉', '案发时邻居曾听到破窗声看到影子，因互不熟悉故而并未报警，由于影子挥之不去选择后来报警', '现场有一具机械感染体尸体，经历过战斗，攻击死者的感染体不少于两个', '治安员20点12分接到报案后十六分钟到达了现场，随后莫瓦诺也到达现场']
103701022	True	10370102	1|2|3	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh02.png	克里斯蒂娜之死	死者身上有多处伤口，多为感染体造成的抓伤，致命伤为从背后刺入的贯穿伤，直接刺穿核心并对周围元器件产生烧灼	['死者身体上有多处伤口，多为感染体造成的抓伤', '致命伤口是一道贯穿伤，伤口周围有烧灼痕迹', '致命伤从背后刺入，直接刺穿核心']
103701023		10370102	1|2	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh03.png	伊利希恩设计图	死者患有“自我危机存在症”，收集过很多城市建筑图和资料	['死者收集了很多城市的建筑图和敏感数据资料', '死者开始怀疑世界的真实性，患上了“自我危机存在症”', '死者经常消失']
103701024	True	10370102	1|2|3	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh04.png	下水道的神秘死者	死者社会关系简单，最近认识一位名叫诺曼的少女，约定见面结果被感染体杀死 死者患有“自我危机存在症”，曾多次向一位名叫约翰的心理医生问诊	['死者最近问诊时认识了名为诺曼的神秘少女两人相谈甚欢并约定见面', '死者患有自我危机存在症，且频繁向心理医生问诊', '死者在下水道被感染体杀害', '死者死亡后下水道内感染体群聚']
103701025		10370102	1	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh05.png	藏在幕后的报案人	案件的报案人未知，隐藏身份的手法非常高明，似乎在引导警方关注案子	['穆尔收到报案开始调查时发现无法查到报案人', '穆尔探案时遭到攻击，受到轻伤', '死者是普通人']
103701026	True	10370102	1	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh06.png	诺曼之死	莫瓦诺杀死了少女诺曼，伤口为贯穿伤，且有灼烧痕迹	['莫瓦诺杀死了少女诺曼，伤口为贯穿伤，且有灼烧痕迹']
103701027		10370102	1|2	Assets/Product/Texture/Image/UiMainLineEventBoard/UiMainLineEventBoardMainEventPh07.png	真实还是虚拟？	少女诺曼怀疑世界真实性，被暴动机械追杀	['少女诺曼怀疑世界的真实性，且调查过心理医生约翰', '机械感染体追杀少女诺曼', '少女诺曼看到探员们就逃走了']
