Id	PlayerName	MessageId	Age	LabelId
1	DIO	1	18	1
2	咸鱼君	2	25	2
3	洛小生	3	13	3
4	Jacko	4	45	4
5	排哥	5	98	5
6	便当老板	6	35	6
7	北原和纱	7	48	7
8	忌廉沟奶	8	78	1
9	华仔	9	21	2
10	大队长	10	92	3
11	橙子粥	1	21	4
12	沽酒翁	2	13	5
13	苏州州长	3	15	6
14	hanson·不存在者	4	88	7
15	Young	5	75	1
16	深雪	6	56	2
17	东策划	7	67	3
18	Joker	8	18	4
19	布偶猫	9	15	5
20	苗导	10	20	6
21	小赖	1	89	7
22	昶子哥	2	40	1
23	保洁小哥	3	45	2
24	Kuma	4	24	3
25	白屿	5	31	4
26	白开	6	68	5
27	叫我萌萌酱	7	27	6
28	阿银	8	21	7
29	Vor	9	29	1
30	Heao	10	59	2
31	恒星	1	31	3
32	烬	2	48	4
33	幸运兔	3	33	5
34	Vincenzo	4	64	6
35	光光OvO	5	35	7
36	华骑	6	58	1
37	佩特	7	31	2
38	老夏	8	38	3
39	Andy.	9	89	4
40	EriksenL	10	40	5
41	喜欢茅野爱衣的紫薇	1	55	6
42	炎	2	14	7
43	零七	3	18	1
44	Kaorou	4	97	2
45	Good evening	5	85	3
46	小猪肉	6	65	4
47	老鬼	7	32	5
