Id	TemplateId	Count	Params
10	2025001	1	[1, 0]
11	6210106	1	
12	2994001	1	[1, 0]
30	6002909	1	
240	1	80	
270	1	100	
2010	1	100	
2020	1	200	
2030	1	400	
2040	31200	10	
2050	28	50	
2060	29	50	
2080	31204	1	
2090	25	150	
2100	26	150	
31001	3	50	
31002	1	50000	
32001	3	50	
21042	40103	2	
21052	40103	4	
21062	40103	5	
21072	40103	5	
21113	40104	1	
21123	40104	2	
21133	40104	2	
21143	40104	2	
21183	40104	1	
21193	40104	2	
21203	40104	2	
21213	40104	2	
21253	40104	1	
21263	40104	2	
21273	40104	2	
21283	40104	2	
21323	40104	1	
21333	40104	2	
21343	40104	2	
21353	40104	2	
21393	40104	1	
21403	40104	2	
21413	40104	2	
21423	40104	2	
21463	40104	1	
21473	40104	2	
21483	40104	2	
21493	40104	2	
22041	40100	2	
22051	40100	4	
22061	40100	5	
22071	40100	5	
22042	40103	2	
22052	40103	4	
22062	40103	5	
22072	40103	5	
22111	40100	1	
22121	40100	2	
22131	40100	2	
22141	40100	2	
22113	40104	1	
22123	40104	2	
22133	40104	2	
22143	40104	2	
22181	40100	1	
22191	40100	2	
22201	40100	2	
22211	40100	2	
22183	40104	1	
22193	40104	2	
22203	40104	2	
22213	40104	2	
22251	40100	1	
22261	40100	2	
22271	40100	2	
22281	40100	2	
22253	40104	1	
22263	40104	2	
22273	40104	2	
22283	40104	2	
22321	40100	1	
22331	40100	2	
22341	40100	2	
22351	40100	2	
22323	40104	1	
22333	40104	2	
22343	40104	2	
22353	40104	2	
22391	40100	1	
22401	40100	2	
22411	40100	2	
22421	40100	2	
22393	40104	1	
22403	40104	2	
22413	40104	2	
22423	40104	2	
22461	40100	1	
22471	40100	2	
22481	40100	2	
22491	40100	2	
22463	40104	1	
22473	40104	2	
22483	40104	2	
22493	40104	2	
23041	40110	1	
23051	40110	2	
23061	40110	4	
23071	40110	4	
23042	40113	1	
23052	40113	2	
23062	40113	4	
23072	40113	4	
23043	40100	1	
23053	40100	2	
23063	40100	4	
23073	40100	4	
23044	40103	1	
23054	40103	2	
23064	40103	4	
23074	40103	4	
23121	40110	1	
23131	40110	2	
23141	40110	2	
23123	40114	1	
23133	40114	2	
23143	40114	2	
23191	40110	1	
23201	40110	2	
23211	40110	2	
23193	40114	1	
23203	40114	2	
23213	40114	2	
23261	40110	1	
23271	40110	2	
23281	40110	2	
23263	40114	1	
23273	40114	2	
23283	40114	2	
23331	40110	1	
23341	40110	2	
23351	40110	2	
23333	40114	1	
23343	40114	2	
23353	40114	2	
23401	40110	1	
23411	40110	2	
23421	40110	2	
23403	40114	1	
23413	40114	2	
23423	40114	2	
23471	40110	1	
23481	40110	2	
23491	40110	2	
23473	40114	1	
23483	40114	2	
23493	40114	2	
23125	40100	1	
23135	40100	2	
23145	40100	2	
23127	40104	1	
23137	40104	2	
23147	40104	2	
23195	40100	1	
23205	40100	2	
23215	40100	2	
23197	40104	1	
23207	40104	2	
23217	40104	2	
23265	40100	1	
23275	40100	2	
23285	40100	2	
23267	40104	1	
23277	40104	2	
23287	40104	2	
23335	40100	1	
23345	40100	2	
23355	40100	2	
23337	40104	1	
23347	40104	2	
23357	40104	2	
23405	40100	1	
23415	40100	2	
23425	40100	2	
23407	40104	1	
23417	40104	2	
23427	40104	2	
23475	40100	1	
23485	40100	2	
23495	40100	2	
23477	40104	1	
23487	40104	2	
23497	40104	2	
24041	40110	2	
24051	40110	5	
24061	40110	7	
24071	40110	7	
24042	40113	2	
24052	40113	5	
24062	40113	7	
24072	40113	7	
24043	40100	1	
24053	40100	2	
24063	40100	4	
24073	40100	4	
24044	40103	1	
24054	40103	2	
24064	40103	4	
24074	40103	4	
24111	40110	1	
24121	40110	2	
24131	40110	3	
24141	40110	3	
24113	40114	1	
24123	40114	2	
24133	40114	3	
24143	40114	3	
24181	40110	1	
24191	40110	2	
24201	40110	3	
24211	40110	3	
24183	40114	1	
24193	40114	2	
24203	40114	3	
24213	40114	3	
24251	40110	1	
24261	40110	2	
24271	40110	3	
24281	40110	3	
24253	40114	1	
24263	40114	2	
24273	40114	3	
24283	40114	3	
24321	40110	1	
24331	40110	2	
24341	40110	3	
24351	40110	3	
24323	40114	1	
24333	40114	2	
24343	40114	3	
24353	40114	3	
24391	40110	1	
24401	40110	2	
24411	40110	3	
24421	40110	3	
24393	40114	1	
24403	40114	2	
24413	40114	3	
24423	40114	3	
24461	40110	1	
24471	40110	2	
24481	40110	3	
24491	40110	3	
24463	40114	1	
24473	40114	2	
24483	40114	3	
24493	40114	3	
24125	40100	1	
24135	40100	2	
24145	40100	2	
24127	40104	1	
24137	40104	2	
24147	40104	2	
24195	40100	1	
24205	40100	2	
24215	40100	2	
24197	40104	1	
24207	40104	2	
24217	40104	2	
24265	40100	1	
24275	40100	2	
24285	40100	2	
24267	40104	1	
24277	40104	2	
24287	40104	2	
24335	40100	1	
24345	40100	2	
24355	40100	2	
24337	40104	1	
24347	40104	2	
24357	40104	2	
24405	40100	1	
24415	40100	2	
24425	40100	2	
24407	40104	1	
24417	40104	2	
24427	40104	2	
24475	40100	1	
24485	40100	2	
24495	40100	2	
24477	40104	1	
24487	40104	2	
24497	40104	2	
5010	501	1	
5020	502	1	
5030	503	1	
5040	504	1	
5050	505	1	
5060	506	1	
5070	507	1	
5080	508	1	
5120	512	1	
5130	513	1	
8010	31	1	
8020	31	2	
8030	31	3	
8040	31	4	
8050	31	5	
8060	31	10	
8100	1	1000	
8110	29	10	
8120	29	10	
8130	1	900	
8140	1	1	
8150	1	805	
8160	1	188888	
8170	50005	1	
8180	50003	1	
8190	1	950	
8200	3	1	
8210	1	750	
8220	1	950	
8230	1	700	
8240	1	800	
8250	1	1000	
8260	50000	1	
8270	1	900	
8280	50005	300	
8290	1	600	
8300	1	800	
8310	1	500	
8320	1	600	
8330	1	500	
8340	1	650	
8350	1	450	
8360	1	650	
8370	1	500	
8380	1	750	
8390	1	650	
8400	1	600	
8410	1	500	
8420	1	675	
8430	1	600	
8440	1	625	
8450	1	600	
8460	1	625	
8470	1	675	
8480	1	600	
8490	1	675	
8500	1	600	
8510	1	600	
8520	50009	1	
9000	63002	50	
9010	9010230	1	
9011	63002	50	
9020	63002	50	
9030	63002	50	
9040	63002	50	
9050	70002	10	
9060	70001	20	
9070	70002	50	
9080	70001	50	
9090	50000	175	
10010	1	1000	
10020	1	1000	
10030	1	2000	
10040	1	3000	
10050	1	5000	
10080	2992001	1	[1, 0]
10081	3912001	4	[1, 0]
10100	1	50000	
10110	1	50000	
10011	12	1	
10021	12	1	
10031	12	2	
10041	12	2	
10051	12	3	
10101	1	10	
10111	1	10	
10012	12	1	
10032	12	5	
10052	12	1	
10033	3	5	
10043	3	10	
10053	3	15	
11010	1	10000	
11020	1	20000	
11030	1	50000	
11040	1	100000	
11050	1	200000	
11060	4	30	
11070	4	60	
11080	4	120	
11090	4	180	
11100	4	240	
50000	1	10000	
50010	3914001	1	[1, 0]
50020	30	3	
50030	2994001	1	[1, 0]
50040	40110	1	
50050	30013	1	
50060	50000	100	
50070	1	10000	
50080	3914001	1	[1, 0]
50090	30	3	
50100	2994001	1	[1, 0]
50110	40114	1	
50120	30013	1	
50130	50001	100	
50140	1	10000	
50150	3914001	1	[1, 0]
50160	30	3	
50170	2994001	1	[1, 0]
50180	40110	1	
50190	30013	1	
50200	50000	150	
50210	1	10000	
50220	3914001	1	[1, 0]
50230	30	3	
50240	2994001	1	[1, 0]
50250	40113	1	
50260	30013	1	
50270	50001	150	
55000	2034001	1	[1, 0]
55010	2035001	1	[1, 0]
55020	503	10	
55030	505	10	
55040	3035008	1	[1, 0]
55050	3065008	1	[1, 0]
55060	1041002	1	[1, 2, 1]
55070	3015002	1	[1, 0]
55080	3045002	1	[1, 0]
55090	50000	250	
55100	3025006	1	[1, 0]
55110	3055006	1	[1, 0]
55120	50001	250	
55130	6410105	1	
100010	4	60	
100020	7	1	
100030	7	1	
100040	7	30	
100050	7	10	
100060	7	20	
100070	7	25	
100080	7	40	
100090	7	1	
100100	7	45	
100110	7	15	
100120	7	15	
100130	7	25	
100140	7	15	
100150	7	50	
100160	7	25	
100170	7	25	
100180	7	30	
100190	7	15	
100011	13	5	
100021	13		
100031	13		
100041	13	10	
100051	13	5	
100061	13	10	
100071	13	10	
100081	13	15	
100091	13	1	
100101	13	15	
100111	13	5	
100121	13	5	
100131	13	15	
100141	13	10	
100151	13	20	
100161	13	10	
100171	13	10	
100181	13	10	
100191	13	5	
100192	90031	1	
100201	13	5	
100211	13	5	
100012	7	15	
100022	14		
100032	14		
100042	14		
100052	14		
100062	14		
100072	14		
100082	14		
100092	14		
100102	14		
100112	14		
100122	14		
100132	14		
100142	14		
100152	14		
100162	14		
100172	14		
100182	14		
100023	4	30	
100033	4	30	
701010	3	20	
701020	3	30	
701030	3	40	
701040	3	50	
701050	3	60	
701060	3	70	
701070	3	80	
702010	3	100	
702020	3	120	
702030	3	140	
702040	3	160	
702050	3	200	
702060	3	240	
702070	3	300	
1000002	3012001	1	[1, 0]
1000003	3022001	1	[1, 0]
1000000	1	5000	
1000170	1	7500	
1000001	3042001	1	[1, 0]
1000011	2992001	1	[1, 0]
1000021	3022001	1	[1, 0]
1000022	3052001	1	[1, 0]
1000031	3032001	1	[1, 0]
1000032	3062001	1	[1, 0]
1000041	3023001	1	[1, 0]
1000051	3053001	1	[1, 0]
1000061	3913001	1	[1, 0]
1000071	3913001	1	[1, 0]
1000081	2993001	1	[1, 0]
1000091	3033001	1	[1, 0]
1000101	3063001	1	[1, 0]
1000111	3014001	1	[1, 0]
1000112	3044001	1	[1, 0]
1000121	2993001	1	[1, 0]
1000131	2994001	1	[1, 0]
1000141	3913001	1	[1, 0]
1000151	3035002	1	[1, 0]
1000152	3065002	1	[1, 0]
1000161	3	100	
1000171	3913001	1	[1, 0]
1000181	3913001	1	[1, 0]
1000191	2993001	1	[1, 0]
1000201	2993001	1	[1, 0]
1000211	2054001	1	[1, 0]
1000221	2993001	1	[1, 0]
1000222	2993001	1	[1, 0]
1000231	3913001	1	[1, 0]
1000241	3913001	1	[1, 0]
1000251	2993001	1	[1, 0]
1000261	3913001	1	[1, 0]
1000271	3024001	1	[1, 0]
1000281	3054001	1	[1, 0]
1000291	3913001	1	[1, 0]
1000301	3913001	1	[1, 0]
1000311	3034001	1	[1, 0]
1000321	3064001	1	[1, 0]
1000331	3913001	1	[1, 0]
1000341	3025002	1	[1, 0]
1000342	3055002	1	[1, 0]
1000351	40103	3	
1000361	40103	3	
1000352	40104	3	
1000362	40104	3	
1000371	3	100	
1000381	3913001	1	[1, 0]
1000391	3913001	1	[1, 0]
1000401	2993001	1	[1, 0]
1000411	2993001	1	[1, 0]
1000421	12	20	
1000431	12	20	
1000441	3913001	1	[1, 0]
1000451	3015001	1	[1, 0]
1000452	3045001	1	[1, 0]
1000461	3	100	
1000471	3913001	1	[1, 0]
1000481	3913001	1	[1, 0]
1000491	2993001	1	[1, 0]
1000501	3913001	1	[1, 0]
1000511	3014003	1	[1, 0]
1000521	3044003	1	[1, 0]
1000531	3913001	1	[1, 0]
1000541	3913001	1	[1, 0]
1000551	2993001	1	[1, 0]
1000561	3913001	1	[1, 0]
1000571	40104	3	
1000581	40103	3	
1000591	3913001	1	[1, 0]
1000601	3913001	1	[1, 0]
1000611	2993001	1	[1, 0]
1000621	3035001	1	[1, 0]
1000622	3065001	1	[1, 0]
1000631	30013	1	
1000641	12	20	
1000651	3	100	
1000661	3913001	1	[1, 0]
1000671	3913001	1	[1, 0]
1000681	2993001	1	[1, 0]
1000691	2993001	1	[1, 0]
1000701	3024003	1	[1, 0]
1000711	3054003	1	[1, 0]
1000721	3913001	1	[1, 0]
1000731	3025007	1	[1, 0]
1000732	3055007	1	[1, 0]
1000741	3	100	
1000751	3913001	1	[1, 0]
1000761	3913001	1	[1, 0]
1000771	2993001	1	[1, 0]
1000781	3913001	1	[1, 0]
1000791	3034003	1	[1, 0]
1000801	3064003	1	[1, 0]
1000811	3913001	1	[1, 0]
1000821	3913001	1	[1, 0]
