Id	Desc	OptionTexts	OptionResultIds	EntranceIcon	EventImg	EventRoleName
1	堆积的杂物里有快递箱！低碳节能，关爱地球~	['让它们派上用场吧！']	[5]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent02.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent02.png	章鱼兔
2	特此通知：为保证工期，暂时不用考虑成本。	['好嘞，上最好的！']	[6]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	阿鱼
3	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent10.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent10.png	露西亚
4	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent08.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent08.png	里
5	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent09.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent09.png	丽芙
6	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent01.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent01.png	阿鸭
7	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent06.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent06.png	大舅
8	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent02.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent02.png	章鱼兔
9	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	阿鱼
10	有些迷糊？一起去买点喝的吧。	['咖啡', '奶茶']	[15, 16]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent05.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent05.png	翻车鱼
11	有些迷糊？一起去买点喝的吧。	['喝茶吧']	[17]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent04.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent04.png	茶杯猫
12	为了保证按时下班……	['确认下发货日期', '看一眼工作内容']	[18, 19]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent03.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent03.png	狗眉
13	假期将至，不过还有些小活没有处理掉。	['捍卫假期是打工人的神圣使命！']	[20]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent03.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent03.png	狗眉
14	新的弹窗提示来了~	['幸亏不算特别麻烦的工作。', '吸气、吐气……平常心。']	[21, 22]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent05.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent05.png	翻车鱼
15	最后的紧急订单——	['*迅速完成打包*', '今天又要加班了吗？不行，事在人为！']	[23, 24]	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	Assets/Product/Texture/Image/UiBagOrganize/UiBagOrganizeEvent07.png	阿鱼
