Id	Type	Desc	EffectDesc	Params
1			电子节拍器积分增加	['25', '26']
2			电池积分增加	['27', '28']
3			电子节拍器积分增加	['25', '26']
4			电池积分增加	['27', '28']
5	3		大号箱子（6*5）积分成本降低	['2109', '0.6']
6	3		大号箱子（6*5）积分成本降低	['2109', '0.6']
7		是下厨经常用到的道具。	菜刀积分增加	['33', '34']
8		这件道具，让我短暂地实现了自己的梦想……	肌肉衣积分增加	['35', '36']
9		这就是充气泳具的妙用。	充气鲨鱼积分增加	['37', '38']
10		让我来亲自展示一下“压缩”包的含义！	阿鸭玩偶积分增加	['39', '40']
11		使用时一定要注意安全，指挥官。	便携翅膀积分增加	['41', '42']
12		据说是来自另一颗星球的玩具。	外星玩偶积分增加	['43', '44', '45', '46']
13		向你分享圆梦的快乐，一定可以让你变得暖暖的。	肌肉衣积分增加	['35', '36']
14		空调即将罢工……换换遥控器的电池好了。	电池积分增加	['27', '28']
15	2	咖啡因立竿见影，感觉又上满了发条。	黄色货物积分增加	['#FFCC5EFF', '0.5']
16	2	喝些甜的心情愉悦，竟然成功抵御了困意。	蓝色货物积分增加	['#91D6FFFF', '0.5']
17	2	茶香十分诱人，赶在它彻底变凉之前喝下肚吧。	粉色货物积分增加	['#E4BEFFFF', '0.5']
18	2	先难后易，检查一下进货清单吧。	黄色货物积分增加	['#FFCC5EFF', '0.5']
19	2	不知不觉堆积了许多小订单，再不着手处理就干不完啦	粉色货物积分增加	['#E4BEFFFF', '0.5']
20	4		订单内容固定-中	['401', '402', '403']
21	4		订单内容固定-小	['404', '405', '406']
22	4		订单内容固定-大	['407', '408']
23	4		订单内容固定-混合	['409', '410', '411']
24	4		订单内容固定-混合	['412', '413', '414']
25	1			['102', '0.5']
26	1			['122', '0.5']
27	1			['101', '0.5']
28	1			['121', '0.5']
33	1			['106', '0.5']
34	1			['126', '0.5']
35	1			['114', '0.5']
36	1			['134', '0.5']
37	1			['109', '0.5']
38	1			['129', '0.5']
39	1			['111', '0.5']
40	1			['131', '0.5']
41	1			['110', '0.5']
42	1			['130', '0.5']
43	1			['113', '0.5']
44	1			['133', '0.5']
45	1			['112', '0.5']
46	1			['132', '0.5']
