Id	Message	CharacterHead	CharacterName	TeamPic	UnlockTeamPic	UnlockHead	TeamName	RewardName	SinglePic	SingleMessage	SingleName
101	虽然快乐的时光是有限的，但只要有指挥官在，就能够一直期待下一次的到来。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Li1.png']	露西亚	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3GrayRaven.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3GrayRaven.png		灰鸦小队	主题活动角色			
102	和指挥官一起玩得很开心，但感觉饮料的种类不够，下一次就让我们来承包吧。语音输入结束。啊？是这个按钮吗？	['Assets/Product/Texture/Image/RolePlayer/RoleHeadQu1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao1.png']	苏菲亚	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3KCC.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3KCC.png		阿迪莱商业联盟	狙击武器			
103	活动告一段落后，指挥官在忙碌之余，也要注意劳逸结合才行……就先这样吧，我需要去把其它队员找回来了。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian1.png']	库洛姆	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Forsaken.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Forsaken.png		突击鹰小队	基准角色			
104	仅代表工程部队，希望指挥官在下一次活动时也能踊跃加入我们，仅代表工程部队而已。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadWeila1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadTwentyone1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadR2Nuoketi1.png']	卡列尼娜	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Cerberus.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Cerberus.png		工程部队	降临狙击角色			
105	人一多起来就变得吵吵闹闹的，下一次去找个安静的地方吧，只有我们就足够了。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Aila1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadSailinna1.png']	露娜	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3WGAAIrisWarbler.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3WGAAIrisWarbler.png		升格者	主题活动角色			
106	没想到各位准备了这么多活动，看来是我失策了，没有把口琴带来。下一次的话，就请各位听听我的拙作吧。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Bianka1.png']	渡边	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3PurifyingForce.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3PurifyingForce.png		遗忘者	狙击武器			
107	聆听大海的呼唤，捕捉飞鸟的轨迹，还能和你一起分享创作的喜悦，没有比这更美好的体验了。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadLuna1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Lamiya1.png']	艾拉	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Ascendant.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Ascendant.png		艺术协会	基准角色			
108	指挥官指挥官，等这次活动结束之后，我们一起筹备下一届吧，就定在下周好了。七实大人如是说到。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Kuluomu1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadWanshi1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadKamu1.png']	哈卡玛	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3StrikeHawk.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3StrikeHawk.png		机械教会	降临狙击角色			
109	有队员提议我应该换装更适合此类活动的衣服，指挥官阁下有什么建议吗？又或者，能否请阁下帮忙一起挑选？	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina1.png', 'Assets/Product/Texture/Image/RolePlayer/RoleHeadLuosaita1.png']	比安卡	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3WorldGovernment.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3WorldGovernment.png		清理部队	狙击武器			
110	能够肆意浸泡在海水里的地方，有点不可思议，感谢指挥官能带我来到这里。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Yalisha1.png']	罗塞塔	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Unknown.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3Unknown.png		北极航线	基准角色			
111	指挥官，你有挖到这份留言吗，是不是和你被埋进沙子里的样子很像？下一次的话，就放到海里好了。	['Assets/Product/Texture/Image/RolePlayer/RoleHeadNuoan1.png']	薇拉	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3DarkAries.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignIn3DarkAries.png		三头犬小队	主题活动角色			
