Id	Name	Icon	Text
101	Celica	Assets/Product/Texture/Image/Role/RoleHeadSailika3.png	
102	Lucia	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2.png	Mission in progress. Please leave a message.
103	Karenina	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3.png	I'll blow up anything that stands in my way.
104	Teddy	Assets/Product/Texture/Image/Role/RoleHeadBigWorldR3Buouxiong.png	Operations suspended. Work data has been hidden automatically.
105	Leonie	Assets/Product/Texture/Image/Role/RoleHeadR3ran3.png	If geniuses are on the left and maniacs are on the right, I might be in the middle... or completely outside the picture.
106	Syliz	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	Sugar, cream, flour, and most importantly—the manager's unrivaled beauty.
107	Donovan	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	Too chill to fight, too rich to care.
112	Vanessa	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	Think a few more times before you speak.
113	Vera	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	Don't ask if I'm listening! Just get to the point!
114	Ross	Assets/Product/Texture/Image/Role/RoleHeadCoffeeBoss3.png	Too chill to fight, too rich to care.
115	Liv	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu8.png	Grow big and strong.
116	Pete	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	Master Pete always has a way!
117	Commandant	Assets/Product/Texture/Image/Role/RoleHeadCommandant3.png	
118	Huaiyue	Assets/Product/Texture/Image/Role/RoleHeadHuaiyue.png	Seek guidance through divination with sincerity.
119	Staff Member	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
120	Anonymous	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
121	Navigator	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
122	Selena	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna2.png	The soul is free, like a bird in flight.
123	Kuroro Investigation Team	Assets/Product/Texture/Image/Role/RoleHeadBigWorldEngineer.png	I see you, Kuroro!
124	▇▄▆▃▄▇	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
125	Teddy	Assets/Product/Texture/Image/Role/RoleHeadBigWorldR3Buouxiong.png	Operations suspended. Work data has been hidden automatically.
126	Engineering Force Dahei	Assets/Product/Texture/Image/Role/RoleHeadBigWorldNPCMale.png	I'm not clocking out! I love working!
127	Wanshi	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2.png	If I don't reply for a while, I'm probably catching up on sleep.
128	Lee	Assets/Product/Texture/Image/Role/RoleHeadR4Li2.png	Contact me if it's important. Otherwise, don't disturb.
129	Liv	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu8.png	Grow big and strong.
130	Confused Kuroro	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
131	Staff Member	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	
