Id	CharacterId	Name	Icon	StoryId	StageId	UnlockLv	ConditionDescript	SectionNumber	TaskId	ExtraDescript	Tips	StageDetailType	StageDetailParams
1	1011002	里·异火·其之一	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage101100201.png	HG10101BA		1	信赖度<color=#C14F38>1</color>级解锁	1					
2	1011002	里·异火·其之二	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage01.png	HG10102BA		2	信赖度<color=#C14F38>2</color>级解锁	2					
3	1011002	里·异火·其之三	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage02.png	HG10103BA		3	信赖度<color=#C14F38>3</color>级解锁	3					
4	1011002	里·异火·其之四	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage101100202.png	HG10104BA		4	信赖度<color=#C14F38>4</color>级解锁	4					
5	1011002	里·异火·其之五	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage03.png	HG10105BA		5	信赖度<color=#C14F38>5</color>级解锁	5					
6	1011002	里·异火·其之六	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage101100203.png	HG10106BA		6	信赖度<color=#C14F38>6</color>级解锁	6					
7	1021001	露西亚·红莲·其之一	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage102100101.png	HG10201BB		1	信赖度<color=#C14F38>1</color>级解锁	1					
8	1021001	露西亚·红莲·其之二	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage04.png	HG10202BB		2	信赖度<color=#C14F38>2</color>级解锁	2					
9	1021001	露西亚·红莲·其之三	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage05.png	HG10203BB		3	信赖度<color=#C14F38>3</color>级解锁	3					
10	1021001	露西亚·红莲·其之四	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage102100102.png	HG10204BB		4	信赖度<color=#C14F38>4</color>级解锁	4					
11	1021001	露西亚·红莲·其之五	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage06.png	HG10205BB		5	信赖度<color=#C14F38>5</color>级解锁	5					
12	1021001	露西亚·红莲·其之六	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage102100103.png	HG10206BB		6	信赖度<color=#C14F38>6</color>级解锁	6					
13	1031001	丽芙·蚀暗·其之一	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage103100101.png	HG10301BB		1	信赖度<color=#C14F38>1</color>级解锁	1					
14	1031001	丽芙·蚀暗·其之二	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage103100102.png	HG10302BB		2	信赖度<color=#C14F38>2</color>级解锁	2					
15	1031001	丽芙·蚀暗·其之三	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage02.png	HG10303BB		3	信赖度<color=#C14F38>3</color>级解锁	3					
16	1031001	丽芙·蚀暗·其之四	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage103100103.png	HG10304BB		4	信赖度<color=#C14F38>4</color>级解锁	4					
17	1031001	丽芙·蚀暗·其之五	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage03.png	HG10305BB		5	信赖度<color=#C14F38>5</color>级解锁	5					
18	1031001	丽芙·蚀暗·其之六	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage103100104.png	HG10306BB		6	信赖度<color=#C14F38>6</color>级解锁	6					
19	1041002	比安卡·零度·其之一	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage104100201.png	HG10401BA		1	信赖度<color=#C14F38>1</color>级解锁	1					
20	1041002	比安卡·零度·其之二	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage04.png	HG10402BA		2	信赖度<color=#C14F38>2</color>级解锁	2					
21	1041002	比安卡·零度·其之三	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage104100202.png	HG10403BA		3	信赖度<color=#C14F38>3</color>级解锁	3					
22	1041002	比安卡·零度·其之四	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage104100203.png	HG10404BA		4	信赖度<color=#C14F38>4</color>级解锁	4					
23	1041002	比安卡·零度·其之五	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage06.png	HG10405BA		5	信赖度<color=#C14F38>5</color>级解锁	5					
24	1041002	比安卡·零度·其之六	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage104100204.png	HG10406BA		6	信赖度<color=#C14F38>6</color>级解锁	6					
25	1051001	七实·风暴·其之一	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage105100101.png	HG10501BB		1	信赖度<color=#C14F38>1</color>级解锁	1					
26	1051001	七实·风暴·其之二	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage01.png	HG10502BB		2	信赖度<color=#C14F38>2</color>级解锁	2					
27	1051001	七实·风暴·其之三	Assets/Product/Texture/Image/UiFavorability/UiFStoryStage105100102.png	HG10503BB		3	信赖度<color=#C14F38>3</color>级解锁	3					
