Key	Type	Value
GameplayLevelId	int	5001
ChapterEffect	string	FxSkyGardenUAVPort
StageEffect	string	FxSkyGardenUAVCircle
PathEffect	string	FxSkyGardenUAVPath
ChapterEffectInitialAnimState	string	FxSkyGardenUAVPortPre
ChapterEffectCompleteAnimState	string	FxSkyGardenUAVPortSuf
StageEffectInitialAnimState	string	FxSkyGardenUAVCirclePre
StageEffectTransferAnimState	string	FxSkyGardenUAVCircle
StageEffectCompleteAnimState	string	FxSkyGardenUAVCircleSuf
UiMainViewVCamName	string	UAVUiMainViewCam
UiChapterSelectViewVCamName	string	UAVUiChapterSelectViewCam
UiVCamTransitionDuration	float	0.5
ChapterVCamTransitionDuration	float	0.5
