Id	NpcCvKind	ActionID	CvId	Priority
1051000	1051		100014388	20
1051001	1051	1	100014391	20
1051002	1051	2	100014394	21
1051003	1051	3	100014397	20
1051004	1051	4	100014400	20
1051005	1051	8	100014406	20
1051006	1051	9	100014409	20
1051007	1051	11	100014413	20
1051008	1051	12	100014416	20
1051009	1051	13	100014419	20
1051010	1051	14	100014422	21
1051011	1051	15	100014425	20
1051012	1051	18	100014430	21
1051013	1051	19	100014434	20
1051014	1051	22	100014456	20
1051015	1051	23	100014460	20
1051016	1051	24	100014463	20
1052000	1052		100014389	20
1052001	1052	1	100014392	20
1052002	1052	2	100014395	21
1052003	1052	3	100014398	20
1052004	1052	4	100014401	20
1052005	1052	8	100014407	20
1052006	1052	9	100014410	20
1052007	1052	11	100014414	20
1052008	1052	12	100014417	20
1052009	1052	13	100014420	20
1052010	1052	14	100014423	21
1052011	1052	15	100014426	20
1052012	1052	18	100014431	21
1052013	1052	19	100014435	20
1052014	1052	22	100014455	20
1052015	1052	23	100014459	20
1052016	1052	24	100014462	20
1052017	1052	25	100014489	28
1053000	1053		100014390	20
1053001	1053	1	100014393	20
1053002	1053	2	100014396	21
1053003	1053	3	100014399	20
1053004	1053	4	100014402	20
1053005	1053	8	100014408	20
1053006	1053	9	100014411	20
1053007	1053	11	100014415	20
1053008	1053	12	100014418	20
1053009	1053	13	100014421	20
1053010	1053	14	100014424	21
1053011	1053	15	100014427	20
1053012	1053	18	100014432	21
1053013	1053	19	100014436	20
1053014	1053	22	100014457	20
1053015	1053	23	100014461	20
1053016	1053	24	100014464	20
1053017	1053	25	100014488	28
1200000	1200	5	100014403	30
1200001	1200	6	100014404	28
1200002	1200	7	100014405	25
1200003	1200	10	100014412	25
1200004	1200	16	100014428	23
1200005	1200	17	100014429	28
1200006	1200	19	100014433	30
1200007	1200	20	100014437	30
1200008	1200	21	100014458	30
1200009	1200	25	100014465	30
