Id	Name	StandbyModel	CombatModel	SToCAnime	StandbyBornAnime	CToSAnime	CombatBornAnime	SToCVoice	CToSVoice
16010000	元谒	Pet2NiuoffMd010011	Pet2NiuonMd010011	Change01	Change02	EfChange02	EfChange01	849	850
16020000	暗枭	Pet3XiaooffMd010011	Pet3XiaoonMd010011	Change01	Change02	EfChange02	EfChange01	4103022	4103023
16030000	霆霓	Pet3HeoffMd010011	Pet3HeonMd010011	Change01	Change02	EfChange02	EfChange01	4102016	4102017
16040000	霜誓	Pet3MaoffMd010011	Pet3MaonMd010011	Change01	Change02	EfChange02	EfChange01	4104031	4104032
16050000	冷观	Pet2BeioffMd010011	Pet2BeionMd010011	Change01	Change02	EfChange02	EfChange01	4105001	4105002
16060000	宵煌	Pet3MaooffMd010011	Pet3MaoonMd010011	Change01	Change02	EfChange02	EfChange01	4106012	4106013
16070000	伶崖	Pet2YangoffMd010011	Pet2YangonMd010011	Change01	Change02	EfChange02	EfChange01	4107012	4107013
16080000	沧翊	Pet3YingoffMd010011	Pet3YingonMd010011	Change01	Change02	EfChange02	EfChange01	4108015	4108016
16090000	棘钧	Pet2CiweioffMd010011	Pet2CiweionMd010011	Change01	Change02	EfChange02	EfChange01	4109013	4109014
16100000	啸钺	Pet3HuoffMd010011	Pet3HuonMd010011	Change01	Change02	EfChange02	EfChange01	4110020	4110021
16110000	暝月	Pet3TuoffMd010011	Pet3TuonMd010011	Change01	Change02	EfChange02	EfChange01	4111015	4111016
16120000	霏粼	Pet3YuoffMd010011	Pet3YuonMd010011	Change01	Change02	EfChange02	EfChange01	4112008	4112009
16130000	掣矩	Pet3QuanoffMd010011	Pet3QuanonMd010011	Change01	Change02	EfChange02	EfChange01	4113013	4113014
16140000	虹霁	Pet3WuzeioffMd010011	Pet3WuzeionMd010011	Change01	Change02	EfChange02	EfChange01	4114011	4114012
16150000	坼霆	Pet3MotoroffMd010011	Pet3MotoronMd010011	Change01	Change02	EfChange02	EfChange01	4115017	4115016
16160000	冥牙	Pet3WolfoffMd010011	Pet3WolfonMd010011	Change01	Change02	EfChange02	EfChange01	4116014	4116015
16170000	昼翼	Pet3GriffonoffMd010011	Pet3GriffononMd010011	Change01	Change02	EfChange02	EfChange01	4117008	4117009
16180000	潜泽	Pet3DolphinoffMd010011	Pet3DolphinonMd010011	Change01	Change02	EfChange02	EfChange01	4118005	4118006
16190000	夜蝠	Pet3BatoffMd010011	Pet3BatonMd010011	Change01	Change02	EfChange02	EfChange01	4119001	4119002
16200000	徽羽	Pet3PeacockoffMd010011	Pet3PeacockonMd010011	Change01	Change02	EfChange02	EfChange01	4120005	4120006
16210000	肃噩	Pet3DragonoffMd010011	Pet3DragononMd010011	Change01	Change02	EfChange02	EfChange01	4121019	4121018
16220000	寐寤	Pet3DieoffMd010011	Pet3DieonMd010011	Change01	Change02	EfChange02	EfChange01	4122011	4122012
16230000	瑞雪	Pet3FoxoffMd010011	Pet3FoxonMd010011	Change01	Change02	EfChange02	EfChange01	4123013	4123012
16240000	熠空	Pet3RavenoffMd010011	Pet3RavenonMd010011	Change01	Change02	EfChange02	EfChange01	4111019	4111018
16250000	鮟棘	Pet3AnglerfishoffMd010011	Pet3AnglerfishonMd010011	Change01	Change02	EfChange02	EfChange01	4124028	4124027
16260000	杼菱	Pet3PandoraonMd010011	Pet3PandoraonMd010011	EfChange02	EfChange01	EfChange02	EfChange01	4124037	4124037
16270000	彼莉	Pet3ChiprobotoffMd010011	Pet3ChiprobotonMd010011	Change01	Change02	EfChange02	EfChange01	4124039	4124038
16280000	雪歌	Pet3SpeakeroffMd010011	Pet3SpeakeronMd010011	Change01	Change02	EfChange02	EfChange01	4124041	4124040
16290000	啸牙	Pet3RedwolfoffMd010011	Pet3RedwolfonMd010011	Change01	Change02	EfChange02	EfChange01	4129010	4129009
16300000	幻影剑	Pet3VmiragebladeMd010011	Pet3VmiragebladeMd010011						
16310000	科沃兹	Pet3DcavaliereMd010011	Pet3DcavaliereMd010011						
16320000	浊璃	Pet3JellyfishoffMd010011	Pet3JellyfishonMd010011	Change01	Change02	EfChange02	EfChange01	4132012	4132011
16330000	鳞垒	Pet3BladeshieldoffMd010011	Pet3BladeshieldonMd010011	Change01	Change02	EfChange02	EfChange01	4133012	4133013
16340000	浮浮	Pet3WuyaoffMd010011	Pet3WuyaonMd010011	Change01	Change02	EfChange02	EfChange01	4134013	4134012
16350000	吡啵	Pet3ElecpandaoffMd010011	Pet3ElecpandaonMd010011	Change01	Change02	EfChange02	EfChange01	4135002	4135001
16360000	波灵	Pet3SignaloffMd010011	Pet3SignalonMd010011	Change01	Change02	EfChange02	EfChange01	4136002	4136001
16370000	乌鸦	Pet3CrowonMd010011	Pet3CrowonMd010011	EfChange02	EfChange01	EfChange02	EfChange01		
