Id	Name	TypeId	MaxCount	ConvertItemId	ConvertItemCount	PutMajorType	PutCapacity	Icon	SmallIcon	Quality	Priority	SceneObjId	Desc	WorldDesc	LockDesc	IsShow
26100001	Display Board	4	1			[1, 2, 6]	[5, 5, 20]	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26100001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26100001.png	4	1	1				True
26100002	Display Board 2	4	1			[1, 2, 6]	[5, 5, 20]	Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	2				
26110001	Maru Bear on the Move	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110001.png	5	1	1	A decoration that can be placed on the photo wall in the Commandant's lounge.	You can consult about any store-related issues, bear!	Obtained by participating in [Business Development Plan].	True
26110002	Thanks a Meow	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110002.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110002.png	5	1	2	A decoration that can be placed on the photo wall in the Commandant's lounge.	"A thank-you gift from the Cat Love Association. A copy was left at the Cafe as a memento. ""Thank you for being there, meow! The world is full of love, meow!"""	Obtained by participating in [Kuroro Coffee].	True
26110003	Origami Clover	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110003.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110003.png	5	1	3	A decoration that can be placed on the photo wall in the Commandant's lounge.	The clover's already brought a little luck, just by turning out the way it did.		
26110004	Sakura Wreath	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110004.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110004.png	5	1	4	A decoration that can be placed on the photo wall in the Commandant's lounge.	Our hearts are always connected, through gifts and everything else.		
26110005	Leap Beat	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110005.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110005.png	5	1	5	A decoration that can be placed on the photo wall in the Commandant's lounge.	"A commemorative medal carefully crafted by Stellar Entertainment to honor players' outstanding performance in Space Leap. ""Keep bouncing and break through the clouds!"""	Obtained by participating in [Space Leap].	True
26110006	Logic Coupler	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110006.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110006.png	5	1	6	A decoration that can be placed on the photo wall in the Commandant's lounge.	"A commemorative sculpture carefully crafted by Stellar Entertainment to honor players' outstanding performance in Chain Decoding. ""Connect the patterns and master the rhythm!"""		
26110007	Supply Expert	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110007.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110007.png	5	1	7	A decoration that can be placed on the photo wall in the Commandant's lounge.	To ensure daily maintenance across various areas, relevant departments distribute Supply Crates to designated nodes regularly for immediate access when needed.	Obtained by participating in [Supply Crate Exploration].	True
26110008	Thank You for Your Snapshot	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110008.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110008.png	5	1	8	A decoration that can be placed on the photo wall in the Commandant's lounge.	"Thank you for the snapshot. This thank-you gift was specially sent by the Engineering Force. Though honestly, it looks more like an ad for Kuroro Gym. The signature reads...\n""When are you finally going to make up your mind about that request? —Karenina""\nIs anyone actually taking this seriously?"	Obtainable by participating in [Will Under the Lens].	True
