Key	Comment	Values
ChapterTipsDescColor	章节弹窗的说明文本颜色（Values[1]：未达成；Values[2]：已达成）	['737373', '0d70bc']
ChapterTipsUnlockDesc	章节弹窗的解锁条件文本（1：绩点；2：前置章节）	['总绩点达到%d点', '完成课程：%s']
ExamChapterPanel	战斗执照主界面章节布局的资源路径	['Assets/Product/Ui/ComponentPrefab/UiMultiDim/UiCourseXianDuan.prefab']
ExamChapterPanelGrid	战斗执照主界面章节布局中格子的资源路径	['Assets/Product/Ui/ComponentPrefab/FuBenPokemon/CourseCombatlicense01.prefab']
ExamChapterTipsBtnName	战斗执照章节说明弹窗的按钮名（1：已解锁；2：未解锁）	['参与考试', '参与条件未达成']
ExamChapterTipsClearPointDesc	战斗执照章节说明弹窗的考试完成需要分数描述	['所有科目中累计完成%d项挑战']
ExamChapterTipsPanelTitle	战斗执照章节说明弹窗的分布标题	['参与条件', '考级科目', '通过条件']
ExamManagementGridPrefab	战斗执照关卡格子的资源路径	['Assets/Product/Ui/ComponentPrefab/FuBenNoanActivity/UiCourseManagementGk.prefab']
ExamManagementGridNumAsset	战斗执照关卡格子数字的资源路径	['Assets/Product/Texture/Atlas/UiCourse/UiCourseManagement01.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseManagement02.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseManagement03.png']
PointItemId	绩点道具Id	['96122']
ReturnPreStageTipsDesc	战斗执照关卡详情中，点击重温课程的弹窗提示文本	['是否回到之前的考级项目中？', '是否回到先前的考级项目中?']
ExamMainBg	战斗执照主界面背景	['Assets/Product/Texture/Image/UiCourse/UiCourseBg01.png', 'Assets/Product/Texture/Image/UiCourse/UiCourseBg02.png', 'Assets/Product/Texture/Image/UiCourse/UiCourseBg03.png']
ChapterLockDesc	章节未解锁文本	['[点击查看解锁条件]']
ExamStagePercent	战斗执照关卡界面的进度文本	['<color=#000000f><size=44>%d</size></color>/%d']
LessonStageImgNum	课程关卡第几个格子的数字资源路径	['Assets/Product/Texture/Atlas/UiCourse/UiCourseVol1.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol2.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol3.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol4.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol5.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol6.png', 'Assets/Product/Texture/Atlas/UiCourse/UiCourseVol7.png']
HelpKey	HelpCourse表的Function字段（1：课程；2：执照）	['SpecialTrainHelp', 'MoeWarParkourMain']
SettlementCacelDialogDesc	战斗结算界面，取消保存二次确认弹窗文本	['已达成最高评级，确定要取消保存？']
SettlementSaveDialogDesc	战斗结算界面，本次达成目标数量比前次少，保存结果二次确认弹窗文本	['本次评级低于上次评级，保存将导致评级降低，确认保存？']
SettlementSaveDialogInoperativeDesc	战斗结算界面，之前已达成所有目标，保存结果二次确认弹窗文本	['由于先前已达成最高评级，本次保存评级将不会变动']
CourseOrExamFinishTips	课程/考级结算提示	['已完成[%s]', '可在界面左下角领取额外目标奖励']
RewardTips	奖励提示	['已领取奖励']
