Type	Desc	CanDispel	CanMerge	CanMove	MergeResults
1	加时方块	True	True	True	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 8, 9: 1, 10: 10, 11: 11, 12: 12}
2	冰块	True	True		{1: 0, 2: 0, 3: 2, 4: 2, 5: 2, 6: 2, 7: 0, 8: 8, 9: 1, 10: 10, 11: 11, 12: 12}
3	传导	True	True	True	{1: 0, 2: 0, 3: 3, 4: 3, 5: 3, 6: 3, 7: 0, 8: 8, 9: 1, 10: 10, 11: 11, 12: 12}
4	数字	True	True	True	{1: 0, 2: 0, 3: 0, 4: 4, 5: 4, 6: 4, 7: 0, 8: 8, 9: 1, 10: 10, 11: 11, 12: 12}
5	翻倍	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 5, 6: 5, 7: 0, 8: 8, 9: 1, 10: 10, 11: 11, 12: 12}
6	星星	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 4, 10: 10, 11: 11, 12: 12}
7	石头	True			
8	消除		True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 8, 10: 8, 11: 8, 12: 8}
9	传送	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 9: 4, 10: 10, 11: 11, 12: 12}
10	心形	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 10, 11: 0}
11	水	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 11}
12	火	True	True	True	{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 12}
