Id	Type	Name	Desc	IconRes	TriggerCD	TriggerBlockId	TriggerReplaceType	ReplaceValueFormBlockTypes	TriggerFeverLv	TriggerCountLimit	TriggerRate
1	1	加星星	每5步加入一个定向罗盘，可以和任意方块（除定向罗盘）发生合成。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff07.png	5	10094				-1	100
2	1	加星星	每7步加入一个定向罗盘，可以和任意方块（除定向罗盘）发生合成。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff07.png	7	10094				-1	100
3	1	加石头	每10步加入一个石头方块，碰撞规定次数后石头消失。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff01.png	10	10095				-1	100
4	1	加冰块	每10步加入一个压舱货物，不可移动，参与合成后成为蓄能核心。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff08.png	10		2	[4]		-1	100
5	1	加传导	每10步加入一个航道中枢，当上下左右有方块因为测距道标的效果而翻倍时，自身数字乘2。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff05.png	10		3	[4]		-1	100
6	1	加加时	每10步加入一个蓄能核心，参与合成时记录一个点数，盘面升级时点数结算加入强化步数。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff09.png	10		1	[4]		-1	100
7	1	加翻倍	每10步加入一个测距道标，参与合成后让上下左右的方块（除测距道标）数字乘2。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff06.png	10		5	[4]		-1	100
8	2	加方块	用当前盘面规则再一次生成		20					-1	50
9	1	加翻倍	每7步加入一个测距道标，参与合成后让上下左右的方块（除测距道标）数字乘2。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff06.png	7		5	[4]		-1	100
10	1	加翻倍	每10步加入一个测距道标，参与合成后让上下左右的方块（除测距道标）数字乘2。	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff06.png	10		5	[4]		-1	100
11	1	加星星咩	星星方块可以和任意数字方块（除泡泡方块）发生合成	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff10.png	5	10094				-1	100
12	1	加星星咩	星星方块可以和任意数字方块（除泡泡方块）发生合成	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff10.png	10	10094				-1	100
13	1	加跑跑咩	将泡泡咩传送到使清除范围最大的位置	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff12.png	15		9	[11, 12]		-1	100
14	1	加跑跑咩	将泡泡咩传送到使清除范围最大的位置	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff12.png	10		9	[11, 12]		-1	100
15	1	加心心方块	生成心心方块，心心方块合成3次后，泡泡方块数值直接达到合成目标	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff11.png	10		10	[4]		-1	100
16	1	加心心方块	生成心心方块，心心方块合成3次后，泡泡方块数值直接达到合成目标	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff11.png	15		10	[4]		-1	100
17	1	加跑跑咩	将泡泡咩传送到使清除范围最大的位置	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff12.png	20		9	[4]		-1	100
18	1	测试生成水方块	测试生成水方块	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff06.png	1		11	[4]		-1	100
19	1	测试生成火方块	测试生成火方块	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff06.png	2		12	[4]		-1	100
20	1	加跑跑咩	将泡泡咩传送到使清除范围最大的位置	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff12.png	15		9	[4]		-1	100
21	1	加跑跑咩	将泡泡咩传送到使清除范围最大的位置	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff12.png	10		9	[4]		-1	100
22	3	加热热方块	生成热热方块，和凉凉方块合成将随机生成方块属性	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff13.png							
23	3	加凉凉方块	生成凉凉方块，和热热方块合成将随机生成方块属性	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff14.png							
24	3	加坨坨方块	坨坨方块可以被破碎，数字表示需要碰撞的次数	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff15.png							
25	3	加星星方块	星星方块可以和任意数字方块（除泡泡方块）发生合成	Assets/Product/Texture/Image/UiGame2048/UiGame2048IconBuff10.png							
