Id	Name	UltraShout	Desc	Condition	SignalBallCosts	Times	Probability	Emoji	EmojiTime
1	紧急散热		比赛前半段每次获得红球时，有概率小幅加速	5			1000		
2	超维迟滞	你们的速度，由我掌控！	让其他所有角色大幅减速		{0: 1, 1: 3}		1000		
3	露记主厨		获得信号球时，有概率请前方一名随机角色用餐，使对方减速	6			500		
4	阿呆蛙的庇护	阿呆蛙，庇护我穿过迷雾与深渊吧！	获得阿呆蛙的庇护，加速且免疫负面效果		{0: 1, 1: 2}		1000		
5	紧急救护		受到负面效果影响时，有概率获得一个随机信号球	7			400		
6	锻炼计划	丽芙，进入加速模式！	分析赛道环境，选择最合适的行驶方式，获得较长时间的加速		{0: 1, 2: 2}		1000		
7	光暗交转		初始为暗形态，比赛后半会切换至光形态	9			1000		
8	终末祷词	聆听吧……引擎的哀歌！	暗形态时触发会让其他所有角色减速，光形态时触发会自己加速		{0: 1, 3: 2}		1000		
9	百分之七实		每次获得信号球都有70%的概率额外获得一个	6			700		
10	一口气上吧	七实旋风冲刺！一口气上吧！	获得大幅加速，有70%的概率延长2秒		{0: 1, 2: 2}		1000		
11	战斗！爽！		受到负面效果时，有概率免疫	76			500		
12	高手心流	就让速度……于我同行！	进入高手模式直至比赛结束，获得额外的移速，并且漂移获得氮气的效率提升		{0: 1, 3: 2}	1	1000		
13	基建工程		改造自身所在赛道，在比赛前半段获得额外加速	1			1000		
14	舞台焦点	聚光灯！朝这里打！	自己获得大幅加速，其他角色获得小幅加速		{0: 1, 1: 1, 2: 1}		1000		
15	遗忘者		不受所有效果影响	17			1000		
16	无惧死亡	我已无惧干扰！	失去【遗忘者】的效果，并且获得常驻的速度与加速度提升，全局一次		{0: 1, 1: 3}	1	1000		
17	积雷		比赛开始时立刻获得随机3个信号球	1		1	1000		
18	轰鸣	限速的囚笼由我冲破。	获得大幅加速的效果		{0: 1, 1: 2}		1000		
19	出手阔绰		比赛前半获得信号球时，有概率多获得1个随机信号球	18			750		
20	色彩调配	这就是，名为“加速”的构图	获得小幅加速		{0: 2}		1000		
21	有备无患		比赛前半段免疫负面效果	19			1000		
22	计划有变！	准备采取后备方案。	清除所有角色身上的负面效果，同时自身获得大幅加速		{0: 1, 2: 2}		1000		
23	归我了！		比赛前半每次进入弯道时，从前方一名随机角色身上拿走1个随机信号球	21			1000		
24	永夜恒火	火光尽头，将会是空无一人的终点线！	释放永夜恒火，让所有其他角色的速度和加速度都降低		{0: 1, 1: 2}		1000		
25	乘法在此降临		进入比赛后半时，每次获得的信号球数量都会翻倍	22			1000		
26	升格演算	这就是升格网络的力量！	让所有排名大于自己的角色减速		{0: 1, 1: 2}		1000		
27	我的回合		每次进入弯道时有概率获得一个随机信号球并发动	20			750		
28	我来助你！	你能跟上我的速度吗？	让自己和排名低于自己的随机1名角色都获得加速和免疫负面的效果		{0: 1, 2: 1, 3: 1}		1000		
29	践祚		比赛后半段排名下降时触发，立刻大幅加速，全程触发一次	24		1	1000		
30	九龙的意志	九龙的意志，集结于此！	让所有角色小幅加速，同时自己额外获得大幅加速		{0: 1, 1: 1, 2: 1}		1000		
31	打盹		比赛后段随时有概率睡着，获得随机信号球但短时间减速	45			300		
32	起床气	不要，扰人清梦！	锁定前方随机6名目标发动攻击		{0: 1, 3: 2}		1000	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png	1500
33	宣叙调		比赛前半每次进入直线赛道时，都会获得一个随机信号球并发动	47			1000		
34	协奏曲	请来与我共奏这曲乐章吧。	自身获得加速，并且有概率让前方随机3人减速		{0: 1, 1: 1, 3: 1}		1000		
35	头狼		比赛开始时获得短暂大幅加速	1			1000		
36	追猎者	猎物的味道！	标记前方3名随机目标，偷取他们的速度，持续一段时间		{0: 1, 1: 2}		1000		
37	余响		每次获得加速效果时，概率延长自身当前所有加速效果的持续时间	48			500		
38	复奏	余音不绝，不妨再来一曲。	获得中幅加速，并且有概率返还1-2个信号球		{0: 1, 3: 2}		1000		
39	正向激励		受到负面效果时，会获得加速效果	49			1000		
40	姐姐！	赛西莉姐姐！帮帮我！	隐身在一旁的姐姐帮忙推车，获得大幅加速		{0: 1, 2: 2}		1000		
41	摸鱼		比赛前半段小幅减速，后半段随时概率中幅加速	45			300		
42	海妖之歌	沉没在这片海底	对随机数量的其他角色造成减速		{0: 1, 2: 1, 3: 1}		1000		
43	好心小梅		比赛进入后半时，让自己和最后一名的角色获得短暂大幅加速	2			1000		
44	混乱维度	见识一下吧，维度之外的景象。	召唤来自高维力量的打击，对随机数量的其他角色造成攻击		{0: 1, 1: 1, 2: 1}		1000	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessingEmote03.png	1500
45	赢家通吃		使用必杀技后，一段时间内免疫负面效果	52			1000		
46	灌铅骰子	猜猜自己的点数吧。	包括自己在内，所有角色随机获得一个信号球并生效（不会触发技能效果）		{0: 1, 1: 1, 3: 1}		1000		
47	势能冲锋		初始速度较低，但比赛中会逐渐提升自己的最大速度	1			1000		
48	真龙姿态	冲锋，只会让我痛快！	进入龙骑武装形态，全局一次，之后每行驶一段距离就会给自己释放短时间的护盾。		{0: 1, 1: 2}	1	1000		
