Id	Name	Des	GuessType	RewardNum	Priority	SpecialType	GuessOptions	GuessParams	VoteCorrectVal
1	本场第一		1	1000	2	1		[1]	25
2	本场必杀技释放次数最多		3	500	1			[1]	36
3	本场比赛排名提升次数最多		5	500	1			[1]	30
4	本场保持第一名时间最长		6	500	1				24
5	本场第一个获得3颗红球		50	500	1			[1, 3, 1]	37
6	本场第一个获得3颗黄球		50	500	1			[1, 3, 2]	22
7	本场第一个获得3颗蓝球		50	500	1			[1, 3, 3]	28
8	本场倒数第一		1	500	1			[6]	29
9	本场倒数第一		1	500	1			[8]	27
10	本场必杀技释放次数最少		3	500	1			[6]	23
11	本场必杀技释放次数最少		3	500	1			[8]	40
12	本场比赛第一名冲线时间		9	500	1		[1, 2, 3, 4]		27
100	活动总冠军		101	3000	3			[1]	21
101	所有角色累积释放必杀技次数		110	2000	2		[10, 11, 12, 13]		23
102	活动总共使用多少蓝球		112	2000	2		[20, 21, 22, 23]	[2002]	28
103	活动总共使用多少红球		112	2000	2		[30, 31, 32, 33]	[2000]	30
104	活动期间受击次数最多		111	2000	2			[7]	20
105	活动期间加速次数最多		111	2000	2			[2000]	35
