Id	Type	Formula	Desc	Params
1	7		比赛开跑	[1]
2	7		比赛到一半	[500]
3	8		比赛前半段中	[1000]
4	2		获得红球时	[3]
5		3&4	比赛前半段，获得红球时	
6	2		获得信号球时	[0]
7	5		受到负面效果影响后（被免疫时不计算在内）	[0, 2, 2]
8	8		比赛后半段中	[1001]
9		1|2	比赛开头和中间触发	
10	4		比安卡必杀标记	[0, 2, 1002]
11		10&3	比安卡暗必杀	
12		10&8	比安卡光必杀	
13	4		七实大招额外时间	[0, 1, 19]
14	4		受到buff影响时	[0, 2, 1]
15	8		拥有遗忘者buff	[33]
16		14&15	拥有遗忘者buff，并被buff影响时	
17		1|16	16+开局条件	
18		3&6	比赛前半，获得信号球时	
19		3&79	比赛前半，获得负面效果时	
20	9		进入弯道时	[2]
21		3&20	比赛前半，每次进入弯道时	
22		8&6	比赛后半，每次获得信号球时	
23	3		名次下降时	[2]
24		8&23	比赛后半，自身名次下降后	
25	1		比赛后半，随机选20个点	[500, 525]
26	1		比赛后半，随机选20个点	[525, 550]
27	1		比赛后半，随机选20个点	[550, 575]
28	1		比赛后半，随机选20个点	[575, 600]
29	1		比赛后半，随机选20个点	[600, 625]
30	1		比赛后半，随机选20个点	[625, 650]
31	1		比赛后半，随机选20个点	[650, 675]
32	1		比赛后半，随机选20个点	[675, 700]
33	1		比赛后半，随机选20个点	[700, 725]
34	1		比赛后半，随机选20个点	[725, 750]
35	1		比赛后半，随机选20个点	[750, 775]
36	1		比赛后半，随机选20个点	[775, 800]
37	1		比赛后半，随机选20个点	[800, 825]
38	1		比赛后半，随机选20个点	[825, 850]
39	1		比赛后半，随机选20个点	[850, 875]
40	1		比赛后半，随机选20个点	[875, 900]
41	1		比赛后半，随机选20个点	[900, 925]
42	1		比赛后半，随机选20个点	[925, 950]
43	1		比赛后半，随机选20个点	[950, 975]
44	1		比赛后半，随机选20个点	[975, 1000]
45		25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44	比赛后半，随机选20个点	
46	9		进入直线时	[1]
47		3&46	比赛前半，进入直线时	
48	5		获得加速buff时	[1, 2, 2000]
49	5		受到负面效果影响时（被免疫时计算在内）	[0, 2, 2]
50	4		拉弥亚获得被动效果时	[0, 1, 87]
51		1|50	50+开局时	
52	5		莉莉丝释放大招时	[0, 1, 96]
53	1		比赛5%等分	[0, 50]
54	1		比赛5%等分	[50, 100]
55	1		比赛5%等分	[100, 150]
56	1		比赛5%等分	[150, 200]
57	1		比赛5%等分	[200, 250]
58	1		比赛5%等分	[250, 300]
59	1		比赛5%等分	[300, 350]
60	1		比赛5%等分	[350, 400]
61	1		比赛5%等分	[400, 450]
62	1		比赛5%等分	[450, 500]
63	1		比赛5%等分	[500, 550]
64	1		比赛5%等分	[550, 600]
65	1		比赛5%等分	[600, 650]
66	1		比赛5%等分	[650, 700]
67	1		比赛5%等分	[700, 750]
68	1		比赛5%等分	[750, 800]
69	1		比赛5%等分	[800, 850]
73		53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69	比赛5%等分	
74	8		维罗妮卡有大招标记时	[100]
75		74&73	维罗妮卡有大招标记时+比赛等分	
76	4		受到负面效果影响时（被免疫时不计算在内）	[0, 2, 2]
77	4		拉弥亚被动加速标记	[0, 2, 1010]
78		8&77	拉弥亚被动加速标记+后半段中	
79	4		受到负面效果影响时（被免疫时计算在内）	[0, 2, 2]
