Id	Value	Note
GroupMaxCardNum	25	
MaxGroupId	3	
MinGroupId	1	
MaxPatrolNpc	2	
MaxStaticNpc	8	
ClickBarCd	5	
PatrolCd	10	
ConfirmHand	确认队列	
Redraw	调整队列	
Tips	提示	
ConfirmExit	确认要退出经营吗？	
PassUnlock	完成<color=#FFAD48>%s</color>后解锁	
LackAffection	所需的好评点不足	
Undersales	所需的销量不足	
MaxSeat	6	
MaxHandCardNum	7	
RoundTitle	时段 %s	
BtnSettleQuitText	退出	
BtnSettleContinueText	继续	
AllStoryStagePassed	营业记录已完成，可前往特别调制继续经营	
DealEmptyTip	至少服务一名顾客才可进行结账	
MaxQuality1Limit	0	
MaxQuality2Limit	0	
MaxQuality3Limit	16	
MaxQuality4Limit	8	
MaxQuality5Limit	1	
QualityReachedLimitText	顾客数量已到达上限	
CafeDeckNumNotEnough	顾客数量不足	
CafeDeckNumIsFull	顾客数量最大为7位，已到达上限	
CafeDealNumIsFull	座位数量最大为6位，已到达上限	
CafeRoundText	时段 %s	
CafeTargetText	%s	
CafeSyncDeckSuccessText	名单已保存	
DealCountFullText	座位已满，无法入座	
QuitGameText	放弃后则经营进度重置，确认要退出吗？	
ResetRoundText	将恢复到本时段的初始状态，确认进行重置吗？	
CardUsedUp	顾客数量已到达上限	
CardLocked	此顾客无需加入名单	
LeftCustomerTitle	剩余顾客	
SpecialStageTitle	特别调制	
HistoryStageTitle	历史账本	
LongTermInactivity	10	
CafeGuideRoleHead	Assets/Product/Texture/Image/RoleCharacter/CoffeeNPCNormal.png	
CafeCameraScreenRatio	1500	
