Id	PreStageId	TimeId	Name	BossName	BuffTitle	BuffDesc	HeadIcon	Icon	NpcId	SizeX	SizeY	MaxBlockLength	InitLineCount	MaxRound	EnvironmentId	ShowItem	MaxUseCount	SettleDesc	FevExctiedValue	FevStageMulti	InitialItemIds	InitialFev
1011			教学-1	小小扳手		['来热身吧，但扳手不会放水。']	Assets/Product/Texture/Image/Role/RoleHeadBanshou3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	36	9	9	3	3	20		[2, 6]	3					
1012	1011		常规-2	准准阿枪		['更长的方块，更长的对局。']	Assets/Product/Texture/Image/Role/RoleChangQiang3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	33	9	9	4	3	20		[4, 5]	3					
1013	1012		常规-3	迅迅阿箭		['新的特殊方块！只要再再再破坏一次……']	Assets/Product/Texture/Image/Role/RoleChangmao3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	34	9	9	5	4	25		[1, 4, 5]	3					
1014	1013		常规-4	大大喷涂		['有时上升一行，有时上升两行。']	Assets/Product/Texture/Image/Role/RoleHeadGuer3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	35	9	9	5	4	25	1014	[1, 3, 4]	3					
1021	1011		拓展-1	准准阿枪		['取消回合上限，到达顶部才会结束。']	Assets/Product/Texture/Image/Role/RoleChangQiang3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterB1New.png	33	9	9	4	4	999		[2, 5, 6]	3					
1022	1012		拓展-2	迅迅阿箭		['难缠方块归来！']	Assets/Product/Texture/Image/Role/RoleChangmao3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterB2New.png	34	9	9	5	5	999		[1, 2, 5, 6]	3					
1023	1013		拓展-3	大大喷涂		['上升的规律？喷涂才不会告诉你。']	Assets/Product/Texture/Image/Role/RoleHeadGuer3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterB3New.png	35	9	9	5	5	999	1023	[1, 2, 3, 5]	3					
1024	1014		拓展-4	鲨士壮壮		['集合全部力量，再下一层！']	Assets/Product/Texture/Image/Role/RoleHeadShashibier3Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterB4New.png	37	9	9	5	5	999	1024	[1, 2, 3, 5, 6]	3					
10111			A1-1	常规		['来开始新的热身吧']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	38	8	9	4	4	25		[1, 2, 4]	3					
10112			A1-1	拓展		['来开始新的热身吧']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	38	8	9	4	4	100		[1, 2, 3]	3	代码修复完成，您已超过全空中花园1000%的终端！				
10121			A1-2	常规		['蓝色阿呆蛙出击']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	38	8	9	4	4	30		[13, 2, 4]	3					
10122			A1-2	拓展		['蓝色阿呆蛙出击']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	38	8	9	4	4	100		[13, 2, 1]	3	代码修复完成，您已超过全空中花园1000%的终端！				
10131			A1-3	常规		['阿呆蛙是不灭的']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	38	8	9	4	4	30		[8, 3, 4]	3					
10132			A1-3	拓展		['阿呆蛙是不灭的']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	38	8	9	4	4	100		[8, 3, 2]	3	代码修复完成，您已超过全空中花园1000%的终端！				
10141			A1-4	常规		['阿呆蛙的集结']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	38	8	9	4	4	30		[11, 8, 13, 4]	3					
10142			A1-4	拓展		['阿呆蛙的集结']	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	38	8	9	4	4	100		[11, 8, 13]	3	代码修复完成，您已超过全空中花园1000%的终端！				
20111			B2-1	常规		['真正的游戏从现在才开始']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	40	9	9	5	5	30		[12, 2, 4]	3					
20112			B2-1	拓展		['真正的游戏从现在才开始']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	40	9	9	5	5	500		[12, 2, 3]	3	代码修复完成，您已超过全空中花园1000%的终端！				
20121			B2-2	常规		['方块，上升！（回合：放开我）']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	40	9	9	5	5	30	20121	[7, 8, 3, 1]	3					
20122			B2-2	拓展		['方块，上升！（回合：放开我）']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	40	9	9	5	5	500	20122	[7, 8, 3, 1]	3	代码修复完成，您已超过全空中花园1000%的终端！				
20131			B2-3	常规		['方块掉落什么的很碍事']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	40	9	9	5	5	30		[7, 8, 5, 3]	3					
20132			B2-3	拓展		['方块掉落什么的很碍事']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	40	9	9	5	5	500		[7, 8, 5, 3]	3	代码修复完成，您已超过全空中花园1000%的终端！				
20141			B2-4	常规		['对首席来说，一切都是必然的']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	40	9	9	5	5	30		[9, 10]	3					
20142			B2-4	拓展		['对首席来说，一切都是必然的']	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	40	9	9	5	5	500		[9, 10]	3	代码修复完成，您已超过全空中花园1000%的终端！				
30112			C3-1	拓展		['跟我一起向着999前进吧，首席']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA1New.png	39	9	9	4	6	1000		[7, 1, 13, 2, 8]	3	代码修复完成，您已超过全空中花园1000%的终端！				
30122			C3-2	拓展		['谁来再陪我玩一把呢']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA2New.png	39	9	9	5	6	1000		[12, 8, 13, 3, 2]	3	代码修复完成，您已超过全空中花园1000%的终端！				
30132			C3-3	拓展		['仅有一次的机会哦']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA3New01.png	39	9	9	5	6	1000	30132	[12, 8, 13, 7, 3, 2]	3	代码修复完成，您已超过全空中花园1000%的终端！				
30142			C3-4	拓展		['成为破坏之王吧，首席']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	39	9	9	5	6	1000	30142	[9, 10]	3	代码修复完成，您已超过全空中花园1000%的终端！				
3011			幕后试演-1	无	['鲨鲨来袭']	['嗷呜~嗷呜~']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	8	9	4	4	25			3		1000000	10000		900000
3012	3011		幕后试演-2	无	['即兴方块']	['棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	8	9	3	4	99			3		1000000	10000		
3013	3012		幕后试演-3	无	['音浪飙升']	['有概率一回合上升两行方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	8	9	4	4	99	3013		3		1000000	10000	[1]	
3014	3013		幕后试演-4	无	['音浪飙升', '即兴方块']	['有概率一回合上升两行方块', '棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	8	9	4	4	200	3014		3		1000000	10000		
3021			合作协奏-1	无	['灰鸦登场', '即兴方块']	['呼叫空花支援！', '棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	4	5	25			3		1000000	10000		
3022	3021		合作协奏-2	无	['即兴方块']	['棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	4	5	200			3		1000000	10000		
3023	3022		合作协奏-3	无	['即兴方块']	['棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	4	5	200			3		1000000	10000		
3024	3023		合作协奏-4	无	['音浪飙升']	['有概率一回合上升两行方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	4	5	500	3024		3		1000000	10000		
3031			开场热唱-1	无	['狂热韵律', '音浪飙升']	['狂热值获取效率翻倍', '有概率一回合上升两行方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	4	5	200	3031		3		1000000	20000		
3032	3031		开场热唱-2	无	['狂热韵律', '即兴方块']	['狂热值获取效率翻倍', '棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	5	5	500			3		1000000	20000		
3033	3032		开场热唱-3	无	['狂热韵律', '音浪飙升', '即兴方块']	['狂热值获取效率翻倍', '有概率一回合上升两行方块', '棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	5	5	999	3033		3		1000000	20000		900000
3034	3033		开场热唱-4	无	['狂热韵律', '音浪飙升', '即兴方块']	['狂热值获取效率翻倍', '有概率一回合上升两行方块', '棋盘上方有概率掉落方块']	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/UiFangKuai/UiFangKuaiChapterA4New.png	37	9	9	5	5	1000	3034		3		1000000	20000		900000
