Id	Kind	NextItemId	BackItemId	Params	Name	Desc	Icon	ItemType	BlockTypes
1	1	15			谱长缩减	选择一种颜色，对当前所有该颜色的方块消除1个单位长度	Assets/Product/Texture/Image/IconTools/IconFangKuai14.png		[2]
2	2				代码清理	选择任意一行区域，对该行内所有方块进行一次消除	Assets/Product/Texture/Image/IconTools/IconFangKuai01.png		
3	3	17			音律简化	选择一种颜色，对当前所有该颜色的方块拆散为1单位方块	Assets/Product/Texture/Image/IconTools/IconFangKuai03.png		[3]
4	4			[2]	死线救援	使用后，增加 2 行动回合	Assets/Product/Texture/Image/IconTools/IconFangKuai05.png		
5	5				顺序重置	选择任意两行区域，并对其进行位置交换	Assets/Product/Texture/Image/IconTools/IconFangKuai06.png		
6	6				域名修复	选择任意两个左右相邻方块，并对其进行位置交换	Assets/Product/Texture/Image/IconTools/IconFangKuai04.png		
7	7				变量冻结	冻结1次上升栏，下回合开始将不上升方块（同时最多可存在3次冻结效果）	Assets/Product/Texture/Image/IconTools/IconFangKuai07.png		
8	8				定向移算	选择任意一行区域，对该行所有方块选择1个方向进行吸附	Assets/Product/Texture/Image/IconTools/IconFangKuai08.png		
9	9				随机函数α	随机选择一种颜色，并对其应用随机效果（随机效果：结构调整、数据简化、参数膨胀、筛选扩张）	Assets/Product/Texture/Image/IconTools/IconFangKuai09.png		
10	10				随机函数β	随机选择任意行数，并对其应用随机效果（随机效果：代码清理、顺序重置、定向移算）	Assets/Product/Texture/Image/IconTools/IconFangKuai13.png		
11	11				参数还原	随机净化一个特殊方块（若无则不生效）	Assets/Product/Texture/Image/IconTools/IconFangKuai10.png		
12	12			[8]	参数膨胀	选择一种颜色，对当前所有该颜色方块生长8单位长度	Assets/Product/Texture/Image/IconTools/IconFangKuai11.png		
13	13	16			音节延奏	选择一种颜色，在当前所有该颜色方块附近空位生成对应颜色的若干1单位方块，直至碰到其他方块	Assets/Product/Texture/Image/IconTools/IconFangKuai12.png		[4]
14	14				真意斩	对剑痕所在行进行一次斩击	Assets/Product/Texture/Image/IconTools/IconFangKuai09.png	1	
15	15		1		谱长缩减·极	所有颜色的普通方块消除1个单位长度	Assets/Product/Texture/Image/IconTools/IconFangKuai15.png	1	
16	16		13		音节延奏·极	所有颜色的普通方块附近空位生成对应颜色的若干1单位方块，直至碰到其他方块	Assets/Product/Texture/Image/IconTools/IconFangKuai17.png	1	
17	17		3		音律简化·极	当前所有颜色的普通方块拆散为1单位方块	Assets/Product/Texture/Image/IconTools/IconFangKuai16.png	1	
