Id	GroupId	Order	Type	Title	Text	Condition	UnLockTime
1000113	10001	3	1	生日	1月1日	84100903	
1000114	10001	4	1	血型	AB型	84100903	
1000115	10001	5	1	身高	180cm	84100903	
1000121	10001	1	2	故事1	艺术协会现任负责人，空中花园议会的一员，主管空中花园艺术方面的各项事务。	84100903	
1000122	10001	2	2	故事2	艾伦与任何人都能相处的十分融洽，但是因为他出自【数据删除】的背景，让大部分人在与他交谈时都会不自觉地敬畏他几分。	84100903	
1000123	10001	3	2	故事3	艾伦对艺术作品有着偏执的追求，即使是黄金时代被视为异端的种种艺术作品在艾伦眼中也无比珍贵。	84100903	
1000213	10002	3	1	生日	11月29日	84101004	
1000214	10002	4	1	血型	O型	84101004	
1000215	10002	5	1	身高	184cm	84101004	
1000221	10002	1	2	故事1	出身贵族的阿斯顿在奥赛兰姆号的贵族之中有着重要的影响力，同时他也是贾米拉的左膀右臂。	84101004	
1000222	10002	2	2	故事2	阿斯顿的家族世代辅佐着阿迪莱的皇室，他自阿迪莱第三代首领任期时就开始接替父亲的职责——直接辅佐首领。	84101004	
1000223	10002	3	2	故事3	在贾米拉年幼时阿斯顿就发现了她的无限潜力，并在心中认可了她。	84101004	
1000313	10003	3	1	生日	2月29日	84100112	
1000314	10003	4	1	血型	B型	84100112	
1000315	10003	5	1	身高	184cm	84100112	
1000321	10003	1	2	故事1	科学理事会现任负责人，空中花园议会的一员，主管空中花园科技方面的各项事务。	84100112	
1000322	10003	2	2	故事2	年轻有为是对阿西莫夫最准确的形容，也许是因为专注于科学研究的缘故，阿西莫夫并不擅长人事交际，也因此在谈话之间就得罪了不少人。	84100112	
1000323	10003	3	2	故事3	在遇到抉择时阿西莫夫往往会选择更有利于科技发展的那一方，这使他的某些选择在外人眼里看起来会有些不近人情，但阿西莫夫对此并不在意，毕竟人情对于科学发展没有任何帮助。	84100112	
1000413	10004	3	1	生日	7月1日	84306011	
1000414	10004	4	1	血型	O型	84306011	
1000415	10004	5	1	身高	184cm	84306011	
1000421	10004	1	2	故事1	库扎思雪原驻扎部绿洲小队的一员，绿洲小队教官■■殉职后接到紧急命令担任临时队长，率领小队前往库扎思雪原进行救援行动。	84306011	
1000422	10004	2	2	故事2	渡边的挚友，梦想是加入地面防卫军，为了不让更多人送死而踏上前线。	84306011	
1000423	10004	3	2	故事3	布鲁斯与渡边在训练期间的成绩常年保持并列第一，让渡边有这一成绩的很大原因是因为渡边不听话而经常被教官加训。	84306011	
