Id	GroupId	Order	Type	Title	Text	Condition
9003011	90030	1	1	资料1	黄金时代早期产物，功能简单，只能执行简单的命令。	800007
9003012	90030	2	1	资料2	在废土中大量存在，四处游荡。	800007
9003021	90030	1	2	故事1	主要通过拾荒或拆除其他废弃机械零件以维持自身运转，经常因为与人类拾荒者抢夺资源而引发冲突。	800008
9003022	90030	2	2	故事2	混乱中曾遭受致命伤而瘫痪，简单地裹上油布来保护身体。仅有的从不离手的武器，也用于废料拆除与机械修理。	800008
9209011	92090	1	1	资料1	红外摄像头和数据发送线，将摄像头拍摄到的画面通过发送线回传给人类和哨戒机炮	800007
9209012	92090	2	1	资料2	被感染后不再进行数据回传，摄像头加大了输出功率，从而产生高温热线来攻击人类	800007
9209021	92090	1	2	故事	寰宇重工制作的地面监视机器人，可以按照设定好的路线进行巡逻，多用于商业和城市安保中	800008
9212011	92120	1	1	资料1	全身充斥着病毒特征，已经成为病毒的傀儡。	800007
9212012	92120	2	1	资料2	失去下肢，只能匍匐在地的破碎身躯。	800007
9212021	92120	1	2	故事1	曾是各俱乐部常用的大型安保机器人，年久失修，下半身肢体已无法支撑庞大的身躯，也找不到强度足够的替代品，被帕弥什病毒的感染后，对有着完整躯体的人类和构造体怀有仇恨。	800008
9212022	92120	2	2	故事2	身躯表面有修补的痕迹，都是为了修补破碎的身体而进行的盲目改造，大部分修补材料都比不上原有的材质。	800008
9211011	92110	1	1	资料1	齿轮状开关用来打开枪膛，倒出枪膛内的残留弹药	800007
9211012	92110	2	1	资料2	身材较为矮小，使用轮子移动，一定程度上代替了警犬的工作	800007
9211021	92110	1	2	故事1	原墨西哥附近的城市警用安保机器人，人们结合当地过去的特色加入了一些简陋的装饰。	800008
9211022	92110	2	2	故事2	手枪中原本装的是空包弹，避免误伤人类，被感染后随意的将一切可发射物品塞入枪膛进行攻击，导致手枪的磨损程度飙升	800008
9210011	92100	1	1	资料1	悬浮机翼，支持空中监视器进行悬浮飞行，但本身结构简单，所以飞行距离有限，但是不能忽视它瞬间的飞行冲刺能力	800007
9210012	92100	2	1	资料2	支撑爪，空中监视器在未启动时使机体停在地面的结构，被感染后开始使用支撑爪进行攻击	800007
