Id	GroupId	Order	Title	Text	Condition
8130001	81300	1	黑暗侵蚀	后撤隐身于地图中，在潜伏一段时间后突进并击飞玩家	800000
8130002	81300	2	黑暗剑风	与敌人过远时，朝敌人释放一道黑暗剑气	800000
8130003	81300	3	烈焰三段式	为自己的刀剑附上火焰，以火焰剑气斩击四周	800000
8130004	81300	4	地火	在敌人脚下生成火焰阵，爆炸造成伤害	800000
8130005	81300	5	影袭	以自身为中心，生成多段影子，突刺敌人并造成大量伤害	800000
8130006	81300	6	恶魔之吻	在敌人脚下生成一朵玫瑰状能量阵，爆炸造成伤害	800000
8140001	81400	1	布道	修女在布道期间对周边环形区域造成持续伤害，并间断轰炸所有敌人受到严重伤害后退出布道	800000
8140002	81400	2	殉道	修女召唤殉道者追击敌人，殉道者会对身边环形区域造成持续伤害	800000
8140003	81400	3	异端	修女引爆手中能量对大范围敌人造成大量伤害	800000
8140004	81400	4	狂热	极大提升自身行动速度	800000
8120001	81200	1	全屏剑风	武藏玖型围绕敌人，并向敌人释放大量剑气	800000
8120002	81200	2	心剑模式	武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风	800000
8120003	81200	3	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	800000
8120004	81200	4	瞬步	武藏玖型向距离过远的敌人快速突进	800000
8120005	81200	5	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气	800000
8150001	81500	1	喷射-增强	朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长	800000
8150002	81500	2	跳砸	连续坐向地面，造成范围伤害	800000
8150003	81500	3	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	800000
8150004	81500	4	跳跃攻击	用力坐向地面，造成范围伤害	800000
8150005	81500	5	援兵	召唤出裂变原虫帮助自己进行战斗	800000
8170001	81700	1	尖刺障碍	苦刑之女会用尖刺阻挡敌人	800000
8170002	81700	2	抛物	苦刑之女连续向敌人抛掷球形炸弹	800000
8170003	81700	3	旋转	苦刑之女向四周释放伤害极高的尖刺导弹	800000
8170004	81700	4	连环炸弹	苦刑之女摘下头盔，向敌人连续释放球形炸弹	800000
