Id	Order	Author	Name	Icon	Pic	LockPic	Type	UnlockType	TagGroupId	TagIds	StandbyAction	Actions	NpcId	StageIds
1001	1001		修理机工	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9903]			[90030]	
1002	1002		地面监视器	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9902, 9904]			[92090]	
1003	1003		保护者	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9905]			[92120]	
1004	1004		巡境者	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9902, 9904]			[92110]	
1005	1005		空中监视器	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9904]			[92100]	
1006	1006		驯兽师	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9905]			[92130]	
1007	1007		布道者	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9902, 9904]			[92170]	
1008	1008		执行者	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9905, 9910]			[92180]	
1009	1009		黑蜘蛛	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901]			[92200]	
1010	1010		园丁	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	[9901, 9904]			[92210]	
