Id	Name	NpcId
90030	修理机工	[91030, 91031, 92030]
92090	地面监视器	[91090, 90090]
92120	保护者	[91120, 90120]
92110	巡境者	[91111, 91110, 90110]
92100	空中监视器	[91100, 90100]
92130	驯兽师	[91130, 90130]
92170	布道者	[91170, 90170]
92180	执行者	[91180, 90180]
92200	黑蜘蛛	[91200, 90200]
92210	园丁	[91210, 90210, 90213, 90214, 90215]
92460	深海潜伏者	[91460, 90460]
92140	裂变原虫	[91140, 90140]
92150	液压	[91150, 90150]
92160	哨戒机炮	[91160, 90160]
92190	守护者	[91190, 90190]
92480	异聚哨戒机炮	[91480, 90480]
92490	异聚空中监视器	[91490, 90490]
92470	异聚液压	[91470, 90470]
92600	异合分解单元	[91600, 90600]
92620	异合火力单元	[91620, 90620]
92610	异合修复单元	[91610, 90610]
92250	浪人肆型	[91250, 90250, 93250, 94250, 95250]
92260	仿生蝾螈	[91260, 90260]
92330	信使	[91330, 90330]
92350	消防卫士	[91350, 90350]
92360	分解者	[91360, 90360]
92370	遗迹勘探者	[91370, 90370]
92390	重型收割机	[91390, 90390, 82101]
92400	仿生斗牛	[91400, 90400]
92410	酸液工蚁（基础型）	[91410, 90410]
97620	自律警卫	[97610, 97120, 97110, 92440, 91440, 90440]
92340	禁卫	[91340, 90340]
92380	构造体	[91381, 91380, 90380]
92420	武藏陆型（基础型）	[91420, 90420]
92450	极地机兵	[91450, 90450]
92630	异合勘探单元（基础型）	[91630, 90630]
81100	突击壁垒	[811000, 811200, 811201]
81110	突击壁垒-歼灭	[811100, 811300]
81300	蔷薇之剑	[813000, 81310, 81309]
81400	修女	[81401, 814000, 814010]
81420	重型收割机	[82100, 814200, 821000]
81410	殉道者	[814100]
81200	武藏玖型	[81430, 812000, 814300, 92430, 91430, 90430, 81210, 93200]
81500	喷涂机械	[815000, 81501, 81509, 81510]
81700	苦刑之女	[817000, 81701, 81709, 817021]
81800	瓦沙克	[818000, 81809, 81810]
81900	不明构造体α	[819000, 81909, 81910]
82150	暴动	[821500]
87010	欧西里斯	[870100]
81600	罗兰	[816000, 81609, 81610]
83200	罗塞塔（马）	[87310, 87330, 87311]
87410	异聚核心	[87430]
83400	轨道异合体	[870620]
83100	卡穆	[83110, 83111, 831000, 831100, 83101]
90670	烟粉 壹型	[91670, 92670]
90660	吊人 叁型	[91660, 92660, 92661, 93660, 94660, 95660]
90640	力士 陆型	[91640, 92640]
90650	舞轮 肆型	[91650, 92650]
90680	九龙众 睚眦	[91680, 92680, 90682, 90683, 90684]
90500	异聚终端	[90501, 90502, 90505, 90506, 90507]
83500	曲	[835000, 83502]
83520	华胥	[835200, 83521, 83530]
83600	加百列	[836000, 83601, 83602, 83609, 83610]
90690	禄存	[91690, 92690]
90710	表演艺人（极限型）	[91710, 92710]
90720	调酒师	[91720, 92720]
90730	游泳教官（极限型）	[91730, 92730]
92740	阿茂	[91740, 90740]
90750	雪鸮	[91750, 92750]
90760	陆3-长耳兔	[91760, 92760]
90770	海5-灯乌贼	[91770, 92770]
90780	陆1-极地熊	[91780, 92780]
83800	安博莉亚	[83801, 83802, 83803, 83804, 83809, 83810]
83220	罗塞塔（人形）	[83229, 83230]
837000	鲨士碧儿	[837009, 837021, 837001, 837011, 837012, 837013]
837100	鲨士碧儿	[837111, 837112, 837113, 837114, 837115]
92790	骁卫壹型	[91790, 90790, 93790, 94790, 95790]
92800	云騄	[91800, 90800]
92810	太阿壹型	[91810, 90810]
83900	露娜	[839000, 83902]
84007	哈迪斯	[84000]
92860	波普尔	[92861, 92862, 92863, 92864, 92865, 91860, 92860, 90860]
90880	年兽	[91880, 92880, 90881, 91881]
90870	雅斯贝尔斯	[91870, 92870, 90873, 90874]
84200	马基雅维利	
84210	马基雅维利	
90900	鞘	[91900, 92900]
90910	齿轮	[91910, 92910]
84300	塞壬	[84301]
84310	塞!壬!	[84311]
90930	萤灯鱼	[91930, 92930]
90890	感染构造体	[91890, 92890]
90940	刺钳蝎	[91940, 92940]
90950	解构囚徒	[91950, 92950]
84400	帕弥什异聚母体	[84401, 84402, 84403, 84404]
90960	贝雅	[91960, 92960]
90970	M4-医疗机	[91970, 92970]
90980	PK-43型“警长”	[91980, 92980]
90830	蠃	[91830, 92830]
90700	至尊	[90701, 90702, 90703]
90220	遗迹挖掘者	[90222, 91220, 92220, 93220, 94220, 95220]
93010	DB02-洁霸	[93011, 93012]
93020	SSG-游曳者	[93021, 93022]
90990	先锋冲浪者	[91990, 92990]
93030	类人	[93031, 93032, 93034, 93035, 93036]
93060	构造体队长（女）	[93061, 93062]
93050	构造体队员（女）	[93051, 93052, 93054]
93070	圣堂守卫	[93071, 93072, 93073, 93074, 93075]
93110	精灵	[93114, 93112]
93081	恶龙	[93080, 93069, 93082, 93083, 93084, 93088, 93068, 93067]
93101	树妖	[93102, 93103]
84900	哈姆雷特	[84901, 84902, 84903]
93130	杀神	[93131, 93132]
93160	“嘿”帮小弟	[93161, 93162]
93140	斩仙	[93141, 93142]
93129	诛魔	[93121, 93122, 93120]
82200	如日天	[82202, 82201]
93170	命运之轮	[93179, 93171, 93172, 93172, 93173, 93174, 93175]
93190	Nalasr-E	[93191, 93192, 97517]
93180	Heal-Z	[93181, 93182, 93183]
93230	Courier-M	[93231, 93232]
93221	Deporter-R	[93222, 93223]
93240	异种分身	[93241, 93242]
85300	噬月异种	[85310, 85301]
93251	信号灯残影	[93252, 93253]
93291	赤礁宿体	[93292, 93293, 93294, 93295, 93296, 93297]
93301	仿钳宿体	[93302, 93303, 93304, 93305, 93306, 93307, 93308, 93309]
93311	意识聚合宿体	[93312, 93313]
85400	惑砂&纸鹤	[8540]
85500	异合人形：千子	[8550]
93331	“坏孩子”	[93331, 93332, 93333, 93334, 93335, 93336]
93341	“好孩子”	[93341, 93342, 93343, 93344, 93345, 93346]
93321	“多蒂”	[93321, 93322, 93323, 93327, 93324, 93325, 93326]
85550	特异型机械体·马德拉	[85480]
85560	特异型机械体·马德拉	[85490, 85491]
93351	精英构造体	[93352, 93353]
85350	未元投影体	
85360	未元投影体	
81720	苦刑之女·幻妄	[81721]
93361	机械异种	[93362, 93363, 93364]
93371	雕像侍卫	[93372, 93373]
85460	“回音”	
85470	“回音”	
846000	拉弥亚	[846001]
848100	不明数据聚集体	[848300]
845000	巫毒	[845002, 845001]
848200	不明数据聚集体	[848400]
93381	双足脑花	[93382, 93383]
93391	四足脑花	[93392, 93393]
93401	印狮	[93402, 93403]
93411	机械武僧	[93412, 93413]
93441	求道者	[93442, 93443]
847100	人形生物体:男&女	[85010]
93431	灌汤包	[93432, 93433, 93434]
93421	异合袭狼	[93422, 93423, 93424]
93501	蝌蚪	[93502, 93503]
93471	女刺客	[93472, 93473]
93511	象	[93512, 93513, 93514, 93515]
93540	极光自走机	[93541, 93542]
93480	极光特工	[93481, 93481]
93490	皮克曼	[93491, 93492]
93531	巨齿海葵	[93532, 93533]
93551	海仙女	[93552, 93553]
93561	深渊天使	[93562, 93563]
93631	黑井白子	[93632, 93633]
93580	罪人女仆	[93581, 93582]
82350	DeadMaster	[82450]
93651	编队士兵	[93652, 93653]
93590	堡垒重装兵	[93591, 93592]
85650	巴拉德	[85651]
85660	巴拉德	[85661]
93671	卒伍 零型	[93672, 93673]
93661	构轸 贰型	[93662, 93663]
85670	“国王”	[85680, 85690]
85671	“国王”	[85692]
93701	检视程式体	[93702, 93703]
93681	完美程式体	[93682, 93683]
85750	柯蕾多尔	[85751]
93741	异合工蜂	[93742, 93743]
93691	异合螳螂	[93692, 93693]
87620	塞勒涅	
87630	代行·零	
93751	照明蜂母巢	[93752, 93753]
93761	矿井照明蜂	[93762, 93763]
93721	机械采矿跳蛛	[93722, 93723]
87590	斯凯奇	
87611	“超刻”	
87650	维罗妮卡	[87651, 87760]
93771	匿光虫	[93772, 93773]
87751	“修特罗尔”	[87752, 87753]
87690	冯·内古特	[87691, 87692]
84020	早乙女优华	[84021]
81530	坠星·帕瓦特	[81532, 81531]
90051	异潮拟物	[90052, 90053]
87820	卡俄斯	[87821]
87830	卡俄斯	[87831]
87901	蒙扎诺夫人	[87902]
80210	依诺·卢娅	[80211, 80212]
80250	依诺·卢娅	[80251]
80400	“格温普兰”	[80401]
80330	罗伊德	[80331]
80360	埃比阿提斯	[80361]
91061	混种	[91062, 91063]
91071	混种	[91072, 91073]
91041	镜魔	[91042, 91043, 9104]
80300	镜像维吉尔	[80301, 80302, 80303]
80520	渡边	[8052]
91220	监管者	[91221, 91222]
80600	墨利诺厄	[8060]
80630	伪·折翼鸟	[8063]
80680	冰心皇·扎克	
80700	冰心皇·扎克	[80701]
80731	玛格丽特	
