Id	Order	Name	PicSmall	PicBig	UnLockTime	Condition
10001	1	艾伦	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png		84100903
10002	2	阿斯顿	Assets/Product/Texture/Image/RoleStory/AsidunNormal01.png	Assets/Product/Texture/Image/RoleStory/AsidunNormal01.png		84101004
10003	3	阿西莫夫	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png		84100112
10004	4	布鲁斯	Assets/Product/Texture/Image/RoleStory/BulusiNomal01.png	Assets/Product/Texture/Image/RoleStory/BulusiNomal01.png		84306011
10005	5	布丽姬特	Assets/Product/Texture/Image/RoleStory/BulijiteNormal01.png	Assets/Product/Texture/Image/RoleStory/BulijiteNormal01.png		84101210
10006	6	常羽	Assets/Product/Texture/Image/RoleStory/ChangyuNormal01.png	Assets/Product/Texture/Image/RoleStory/ChangyuNormal01.png		84101002
10007	7	嘲风	Assets/Product/Texture/Image/RoleStory/ChaofengNormal01.png	Assets/Product/Texture/Image/RoleStory/ChaofengNormal01.png		84201101
10008	8	欧石兰	Assets/Product/Texture/Image/RoleStory/GuizuNormal01.png	Assets/Product/Texture/Image/RoleStory/GuizuNormal01.png		84101004
10009	9	哈桑	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png		84100112
10010	10	伊凡	Assets/Product/Texture/Image/RoleStory/IceboyNomal.png	Assets/Product/Texture/Image/RoleStory/IceboyNomal.png		
10011	11	狄安娜	Assets/Product/Texture/Image/RoleStory/IceguideNomal.png	Assets/Product/Texture/Image/RoleStory/IceguideNomal.png		
10012	12	贾米拉	Assets/Product/Texture/Image/RoleStory/JiamilaNormal01.png	Assets/Product/Texture/Image/RoleStory/JiamilaNormal01.png		84101001
10013	13	巴克豪斯	Assets/Product/Texture/Image/RoleStory/JiaoguanNomal01.png	Assets/Product/Texture/Image/RoleStory/JiaoguanNomal01.png		84306011
10014	14	卡农	Assets/Product/Texture/Image/RoleStory/KaliegrandNomal01.png	Assets/Product/Texture/Image/RoleStory/KaliegrandNomal01.png		84305012
10015	15	科亚	Assets/Product/Texture/Image/RoleStory/KeyaNomal01.png	Assets/Product/Texture/Image/RoleStory/KeyaNomal01.png		84308012
10016	16	约翰	Assets/Product/Texture/Image/RoleStory/KuluomufuqinNormal01.png	Assets/Product/Texture/Image/RoleStory/KuluomufuqinNormal01.png		84311012
10017	17	妮特	Assets/Product/Texture/Image/RoleStory/NiteNomal.png	Assets/Product/Texture/Image/RoleStory/NiteNomal.png		845001010
10018	18	尼科拉	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png		84100112
10019	19	蒲牢	Assets/Product/Texture/Image/RoleStory/PulaoNormal01.png	Assets/Product/Texture/Image/RoleStory/PulaoNormal01.png		84101106
10020	20	埃米	Assets/Product/Texture/Image/RoleStory/QishiqianzhuanNpc01.png	Assets/Product/Texture/Image/RoleStory/QishiqianzhuanNpc01.png		84303022
10021	21	赛利卡	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png		84100107
10022	22	赛琳娜	Assets/Product/Texture/Image/RoleStory/SailinnaNormal01.png	Assets/Product/Texture/Image/RoleStory/SailinnaNormal01.png		84309012
10023	23	斯诺	Assets/Product/Texture/Image/RoleStory/SnowNomal01.png	Assets/Product/Texture/Image/RoleStory/SnowNomal01.png		84307011
10024	24	托比	Assets/Product/Texture/Image/RoleStory/TuobiNormal01.png	Assets/Product/Texture/Image/RoleStory/TuobiNormal01.png		84307021
10025	25	文	Assets/Product/Texture/Image/RoleStory/WenNormal01.png	Assets/Product/Texture/Image/RoleStory/WenNormal01.png		84307023
10026	26	西里尔	Assets/Product/Texture/Image/RoleStory/XilierNormal01.png	Assets/Product/Texture/Image/RoleStory/XilierNormal01.png		84306021
10027	27	梅卡	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png		84309011
10028	28	睚眦	Assets/Product/Texture/Image/RoleStory/YaziNormal03.png	Assets/Product/Texture/Image/RoleStory/YaziNormal03.png		84101108
10029	29	莫瑞	Assets/Product/Texture/Image/RoleStory/MoruiNormal01.png	Assets/Product/Texture/Image/RoleStory/MoruiNormal01.png		84201101
10030	30	昭明	Assets/Product/Texture/Image/RoleStory/ZhaomingNormal01.png	Assets/Product/Texture/Image/RoleStory/ZhaomingNormal01.png		84800104
10031	31	毛镇	Assets/Product/Texture/Image/RoleStory/MaozhenNormal01.png	Assets/Product/Texture/Image/RoleStory/MaozhenNormal01.png		84313011
10032	32	艾蒂尔	Assets/Product/Texture/Image/RoleStory/AidierNormal01.png	Assets/Product/Texture/Image/RoleStory/AidierNormal01.png		84800202
10033	33	西蒙	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png		84800202
10034	34	施特森	Assets/Product/Texture/Image/RoleStory/ShitesenNormal01.png	Assets/Product/Texture/Image/RoleStory/ShitesenNormal01.png		84800203
10035	35	马丁	Assets/Product/Texture/Image/RoleStory/XiongrenNormal04.png	Assets/Product/Texture/Image/RoleStory/XiongrenNormal03.png		84900201
10036	36	忒米雅	Assets/Product/Texture/Image/RoleStory/TemiyaNormal01.png	Assets/Product/Texture/Image/RoleStory/TemiyaNormal01.png		84314012
10037	37	普夫	Assets/Product/Texture/Image/RoleStory/PufuNormal01.png	Assets/Product/Texture/Image/RoleStory/PufuNormal01.png		84314011
10038	38	凡妮莎	Assets/Product/Texture/Image/RoleStory/V130fnsNormal02.png	Assets/Product/Texture/Image/RoleStory/V130fnsNormal02.png		84102214
10039	39	葛林斯	Assets/Product/Texture/Image/RoleStory/GelinsiNormal02.png	Assets/Product/Texture/Image/RoleStory/GelinsiNormal02.png		84101415
10040	40	希尔达	Assets/Product/Texture/Image/RoleStory/LadyMayMayNormal01.png	Assets/Product/Texture/Image/RoleStory/LadyMayMayNormal01.png		84102022
10041	41	希卡·卢布朗	Assets/Product/Texture/Image/RoleStory/V131xkNormal01.png	Assets/Product/Texture/Image/RoleStory/V131xkNormal01.png		84102529
10042	42	瑞贝卡	Assets/Product/Texture/Image/RoleStory/RuibeikaNormal01.png	Assets/Product/Texture/Image/RoleStory/RuibeikaNormal01.png		84101502
10043	43	佩特拉	Assets/Product/Texture/Image/RoleStory/V131fnsmNormal01.png	Assets/Product/Texture/Image/RoleStory/V131fnsmNormal01.png		84102313
10044	44	莱蒙德	Assets/Product/Texture/Image/RoleStory/V131fnsbNormal01.png	Assets/Product/Texture/Image/RoleStory/V131fnsbNormal01.png		84102313
10045	45	洛莎	Assets/Product/Texture/Image/RoleStory/V130lsNormal01.png	Assets/Product/Texture/Image/RoleStory/V130lsNormal01.png		84102641
10046	46	亚哈	Assets/Product/Texture/Image/RoleStory/YahazhongnianNomal01.png	Assets/Product/Texture/Image/RoleStory/YahazhongnianNomal01.png		84102022
10047	47	哈里乔	Assets/Product/Texture/Image/RoleStory/AoerjiaNormal01.png	Assets/Product/Texture/Image/RoleStory/AoerjiaNormal01.png		84101607
10048	48	莱昂纳多·诺曼	Assets/Product/Texture/Image/RoleStory/NuomanNomal01.png	Assets/Product/Texture/Image/RoleStory/NuomanNomal01.png		84102001
10049	49	维萨里	Assets/Product/Texture/Image/RoleStory/V130wslNormal01.png	Assets/Product/Texture/Image/RoleStory/V130wslNormal01.png		84102201
10050	50	维尔斯	Assets/Product/Texture/Image/RoleStory/V132wesNormal01.png	Assets/Product/Texture/Image/RoleStory/V132wesNormal01.png		84102475
10051	51	希波克拉底	Assets/Product/Texture/Image/RoleStory/XibokeladiNormal01.png	Assets/Product/Texture/Image/RoleStory/XibokeladiNormal01.png		84101728
10052	52	麦克斯	Assets/Product/Texture/Image/RoleStory/V240mksNormal01.png	Assets/Product/Texture/Image/RoleStory/V240mksNormal01.png		84602452
10053	53	梵恩	Assets/Product/Texture/Image/RoleStory/V240fnNormal01.png	Assets/Product/Texture/Image/RoleStory/V240fnNormal01.png		84602452
10054	54	冯·内古特	Assets/Product/Texture/Image/RoleStory/FengneigutemianjuNormal01.png	Assets/Product/Texture/Image/RoleStory/FengneigutemianjuNormal01.png		84102641
10055	55	惑砂	Assets/Product/Texture/Image/RoleStory/V260hsNormal01.png	Assets/Product/Texture/Image/RoleStory/V260hsNormal01.png		84102641
