Id	Order	Name	UnLockBg	LockBg	SkipId	TagText	ShowTag
1	1	怪物图鉴	Assets/Product/Texture/Image/UiArchive/UiArchive001.png	Assets/Product/Texture/Image/UiArchive/UiArchive001.png	11078	遭遇率	1
2	2	武器库	Assets/Product/Texture/Image/UiArchive/UiArchive006.png	Assets/Product/Texture/Image/UiArchive/UiArchive006.png	11079	收集率	1
3	3	意识手册	Assets/Product/Texture/Image/UiArchive/UiArchive007.png	Assets/Product/Texture/Image/UiArchive/UiArchive007.png	11080	收集率	1
4	4	剧情回顾	Assets/Product/Texture/Image/UiArchive/UiArchive002.png	Assets/Product/Texture/Image/UiArchive/UiArchive002.png	11081	开放率	1
5	5	画册	Assets/Product/Texture/Image/UiArchive/UiArchive005.png	Assets/Product/Texture/Image/UiArchive/UiArchive005.png	11083	开放率	1
6	6	档案馆	Assets/Product/Texture/Image/UiArchive/UiArchive009.png	Assets/Product/Texture/Image/UiArchive/UiArchive009.png	11084	开放率	1
7	7	通讯记录	Assets/Product/Texture/Image/UiArchive/UiArchive010.png	Assets/Product/Texture/Image/UiArchive/UiArchive010.png	11085		
8	8	辅助机库	Assets/Product/Texture/Image/UiArchive/UiArchive008.png	Assets/Product/Texture/Image/UiArchive/UiArchive008.png	11086		1
9	9	留影	Assets/Product/Texture/Image/UiArchive/UiArchive004.png	Assets/Product/Texture/Image/UiArchive/UiArchive004.png	84030		1
10	10	漫画	Assets/Product/Texture/Image/UiArchive/UiArchive003.png	Assets/Product/Texture/Image/UiArchive/UiArchive003.png	84050		1
