Id	Order	Color	Bg	Name	IsNotShow	TagGroupId
201	1	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	简单		[1, 2, 0, 0]
202	2	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	憨憨		[1, 2, 0, 0]
203	3	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	脆皮		[1, 2, 0, 0]
204	4	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag2.png	没难度		[1, 2, 0, 0]
301	5	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	靶子		[1, 2, 0, 0]
302	6	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	还好		[1, 2, 0, 0]
303	7	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	不算很难		[1, 2, 0, 0]
304	8	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	中规中矩		[1, 2, 0, 0]
401	9	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	考验练度		[1, 2, 0, 0]
402	10	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	考验操作		[1, 2, 0, 0]
403	11	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	有挑战性		[1, 2, 0, 0]
404	12	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	不好打		[1, 2, 0, 0]
501	13	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	出手太快		[1, 2, 0, 0]
502	14	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	较难对付		[1, 2, 0, 0]
503	15	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	刀枪不入		[1, 2, 0, 0]
504	16	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	血牛		[1, 2, 0, 0]
505	17	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag5.png	容易翻车		[1, 2, 0, 0]
601	18	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	难顶		[1, 2, 0, 0]
602	19	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	秒人		[1, 2, 0, 0]
603	20	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	强无敌		[1, 2, 0, 0]
604	21	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	虐人		[1, 2, 0, 0]
605	98	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	好玩		[1, 2, 0, 0]
606	99	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag6.png	不好玩		[1, 2, 0, 0]
9901	1001	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	近战为主		[99, 0, 0, 0]
9902	1002	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	远程为主		[99, 0, 0, 0]
9903	1003	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	单体攻击		[99, 0, 0, 0]
9904	1004	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag3.png	范围攻击		[99, 0, 0, 0]
9905	1005	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	突进		[99, 0, 0, 0]
9906	1006	FFFFFFFF	Assets/Product/Texture/Atlas/UiArchive/UiArchiveTag4.png	爆发		[99, 0, 0, 0]
