Id	StageId	GroupId	Order	Name	Bg	LockBg	Pv	UnLockTime	Condition	BgWidth	BgHigh	BgOffSetX	BgOffSetY
101001		1	1	为了全人类的幸福	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv00.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	100	2022/3/3 5:00		1280	720		
101002		1	2	命束止境	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv56.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	101			1280	720		
102001	10100102	2	1	末路狂沙	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv01.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10001		84101002	1280	720		
102002	10110107	2	2	睥睨	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv02.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10002		84101107	1280	720		
102003	10120125	2	3	共赴终战	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv03.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10003		84101225	1280	720		
102004	15010118	2	4	乐园之夜	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv04.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10006		84800118	1280	720		
102005	15020118	2	5	来自冰原的暖意	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv05.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10007		84800218	1280	720		
102006	15030109	2	6	万夫莫开	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv06.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10008		84800310	1280	720		
102007		2	7	“背叛”	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv07.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10009	2022/3/3 5:00		1280	720		
102008		2	8	“接纳”	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv08.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10010	2022/3/3 5:00		1280	720		
102009		2	9	“力量”	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv09.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10011	2022/3/3 5:00		1280	720		
102010	15010512	2	10	迷途者的觉醒	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv10.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10015		84800412	1280	720		
102011	11140105	2	11	升格决斗	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv11.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10016		84201405	1280	720		
102012	10140111	2	12	再出发	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv12.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10017		84101411	1280	720		
102013	15010609	2	13	“躲猫猫”	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv13.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10018		84800509	1280	720		
102014	15010613	2	14	落木的新生	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv14.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10019		84800512	1280	720		
