Id	ChapterId	Order	Name	SubName	Icon	DescTitle	Desc	Condition	UnLockTime	StoryId
100001	1000	1	进入序章				收复地球的任务，于此刻拉开帷幕。——哈桑			['ZX00000BA']
100002	1000	2	序章01				接下来前方就交给我吧。			['ZX00001BA']
100003	1000	3	序章02				免疫血清与痛觉切断，我们还可以继续执行任务。			['ZX00002BA']
100004	1000	4	序章03				就通过这个人，再好好看清人类的真实面目吧。期待你知道真相后的选择……			['ZX00003BA', 'ZX00003EA']
100101	1001	1	灰鸦过境	1_1			为了取得战区的胜利，灰鸦小队决定向坐标处进发。	84100101		['ZX00101BA', 'ZX00101EA']
100102	1001	2	临别赠礼	1_2			接过构造体的手臂，露西亚，重新恢复战力。	84100102		['ZX00102BA']
100103	1001	3	涂鸦浪潮	1_3			涂鸦的痕迹，面对这诡异的作品伏击，丽芙也决定拿起武器。	84100103		['ZX00103BA']
100104	1001	4	完整战力	1_4			试着用丽芙来战斗吧！	84100104		['ZX00104BA']
100105	1001	5	还原现场	1_5			模拟影像中，灰鸦看见啃食战友残骸的感染体……	84100105		['ZX00105BA']
100106	1001	6	迷失雾中	1_6			艺术品创作？	84100106		['ZX00106BA']
100107	1001	7	柔软的心	1_7			露西亚接过青蛙玩偶之后沉默良久，一直盯着它没有移开视线。	84100107		['ZX00107BA']
100108	1001	8	前进的意义	1_8			迷茫的话就继续前进吧。能够前进本身就很有意义了。	84100108		['ZX00108BA']
100109	1001	9	追随者们	1_9			没想到的是这些涂鸦会这么受这些感染体欢迎……	84100109		['ZX00109BA']
100110	1001	10	底色铺垫	1_10			嘻嘻……这些只是……给你们铺个底色而已……	84100110		['ZX00110BA']
100111	1001	11	自我诠释	1_11			我……就是自由的机械意志	84100111		['ZX00111BA']
100112	1001	12	最终创作	1_12			我要……用我的作品……诅咒……你们……！	84100112		['ZX00112BA', 'ZX00112EA']
100201	1002	1	奇怪的新朋友	2_1			没错没错！你们可以叫我……七实！	84100201		['ZX00201BA']
100202	1002	2	奇异信号源	2_2			这个信号……构造体名为“提法”？	84100202		['ZX00202BA']
100203	1002	3	旧识	2_3			这里是三头犬小队，我是队长。	84100203		['ZX00203BA']
100204	1002	4	遗物	2_4			不，我想起来了……这就是那个女人的作风，我们被她耍了。	84100204		['ZX00204BA']
100205	1002	5	语言游戏	2_5			这个逆元装置……是被提法自己取下的。	84100205		['ZX00205BA']
100206	1002	6	执着存活	2_6			那是……朱雀小队的幸存者！	84100206		['ZX00206BA']
100207	1002	7	隔离装置	2_7			把隔离装置感染后，感染体获得了新的能力。	84100207		['ZX00207BA']
100208	1002	8	救援信号	2_8			收到了构造体的救援信号，得赶紧过去救人。	84100208		['ZX00208BA']
100209	1002	9	钢铁意志	2_9			等着我，提法……我现在就把你……带回空中花园……	84100209		['ZX00209BA']
100210	1002	10	“安全”出口	2_10			通往传送门的最后一个区域，只能在此建设安全路线。	84100210		['ZX00210BA']
100211	1002	11	高傲者们	2_11			不自量力的家伙。只有升格者这股力量，才能让我完成指挥官的遗愿……	84100211		['ZX00211BA']
