Info	Key	X	Y
30163338	S1	14138	10075
30163338	A1	14109	9981
30163338	PB1	14138	9987
30163338	B101	14138	10905
30163338	North02	14116	12647
30163338	West02	12422	10810
30163338	South02	14159	9231
30163338	East02	15832	10889
30163338	Center	14166	10846
30163338	North01	14158	12199
30163338	West01	12904	11001
30163338	South01	14164	9810
30163338	East01	15375	10901
30163338	CS1	14171	11755
30163338	CS2	14171	10361
30163338	CS3	14193	11988
30163338	CS4	14178	10173
30163338	B1	14138	10905
30163338	B2	14138	10605
30163338	B3	14138	11205
30163338	B4	13838	10755
30163338	B5	14438	10755
30163338	B6	13838	11055
30163338	B7	14438	11055
30163338	zero		
96991517	S1	14115	9975
96991517	A1	14109	9981
96991517	PB1	14115	9987
96991517	B101	14138	10905
96991517	North02	14116	12647
96991517	West02	12422	10810
96991517	South02	14159	9231
96991517	East02	15832	10889
96991517	Center	14166	10846
96991517	North01	14158	12199
96991517	West01	12904	11001
96991517	South01	14164	9810
96991517	East01	15375	10901
96991517	CS1	14171	11755
96991517	CS2	14171	10361
96991517	CS3	14193	11988
96991517	CS4	14178	10173
