Id	GroupId	HeadIconStyleId	Name	Title	InteractOptionTexts
600001	2001		遗失的文件		['调查']
600002	2001		阿迪莱储存箱		['【SoName】']
600003	2001		通用空物件		
600004	2001		参考点1		
600007	2001		商品铺杂物3		
600008	2001		商品铺杂物4		
600009	2001		商品铺杂物5		
600012	2001		参考点2		
600013	2001		参考点3		
600014	2001		参考点4		
600015	2001		参考点5		
600016	2001		参考点6		
600017	2001		参考点7		
600018	2001		参考点8		
600019	2001		参考点9		
600020	2001		参考点10		
600021	2001		参考点11-切换成薇拉的传送点		
600022	2001		参考点12 薇拉到达		
600023	2001		参考点13 玩家到达		
600024	2001		参考点14 玩家调查酒吧		
600025	2001		参考点15 玩家酒吧		
600026	2001		赛利卡对话参考点		
600005	2001		数据屏		['【SoName】']
