Id	MapId	X	Y
101001	101	2	1
101002	101	5	1
101003	101	5	4
101004	101	8	4
102001	102	3	1
102002	102	3	6
102003	102	6	6
102004	102	6	4
102005	102	8	4
103001	103	2	3
103002	103	1	3
103003	103	1	7
103004	103	9	7
103005	103	9	3
103006	103	6	3
103007	103	6	4
103008	103	4	4
103009	103	4	2
104001	104	8	1
104002	104	8	5
104003	104	7	5
104004	104	7	4
104005	104	2	4
104006	104	2	5
104007	104	6	5
104008	104	6	6
104009	104	4	6
105001	105	2	3
105002	105	5	3
105003	105	5	4
105004	105	2	4
105005	105	2	5
105006	105	7	5
105007	105	7	2
105008	105	8	2
105009	105	8	6
105010	105	6	6
105011	105	6	7
105012	105	7	7
106001	106	1	7
106002	106	9	7
106003	106	9	2
106004	106	8	2
106005	106	8	5
106006	106	7	5
106007	106	7	2
106008	106	6	2
107001	107	1	4
107002	107	3	4
107003	107	3	6
107004	107	9	6
107005	107	9	2
107006	107	8	2
107007	107	8	4
107008	107	4	4
107009	107	4	2
107010	107	3	2
107011	107	3	1
107012	107	5	1
107013	107	5	2
107014	107	7	2
108001	108	1	1
108002	108	1	6
108003	108	6	6
108004	108	6	4
108005	108	8	4
108006	108	8	2
108007	108	5	2
108008	108	5	4
108009	108	2	4
108010	108	2	2
108011	108	4	2
108012	108	4	1
108013	108	9	1
108014	108	9	5
108015	108	8	5
108016	108	8	6
108017	108	7	6
108018	108	7	7
108019	108	6	7
201001	201	2	1
201002	201	2	2
201003	201	9	2
201004	201	9	6
201005	201	1	6
202001	202	1	2
202002	202	4	2
202003	202	4	1
202004	202	8	1
202005	202	8	2
202006	202	9	2
202007	202	9	6
202008	202	7	6
202009	202	7	4
202010	202	1	4
202011	202	1	6
203001	203	1	2
203002	203	4	2
203003	203	4	1
203004	203	8	1
203005	203	8	2
203006	203	9	2
203007	203	9	6
203008	203	8	6
203009	203	8	4
203010	203	1	4
203011	203	1	6
204001	204	1	4
204002	204	4	4
204003	204	4	7
204004	204	8	7
204005	204	8	6
204006	204	9	6
204007	204	9	2
204008	204	8	2
204009	204	8	4
204010	204	5	4
204011	204	5	2
204012	204	2	2
204013	204	2	1
204014	204	3	1
205001	205	1	3
205002	205	4	3
205003	205	4	4
205004	205	3	4
205005	205	3	5
205006	205	6	5
205007	205	6	3
205008	205	7	3
205009	205	7	7
205010	205	8	7
205011	205	8	4
205012	205	9	4
205013	205	9	2
205014	205	3	2
205015	205	3	1
206001	206	1	1
206002	206	1	4
206003	206	3	4
206004	206	3	5
206005	206	5	5
206006	206	5	4
206007	206	6	4
206008	206	6	3
206009	206	3	3
206010	206	3	2
206011	206	8	2
206012	206	8	5
206013	206	6	5
206014	206	6	7
206015	206	9	7
206016	206	9	2
207001	207	2	1
207002	207	2	4
207003	207	4	4
207004	207	4	1
207005	207	9	1
207006	207	9	6
207007	207	8	6
207008	207	8	7
207009	207	6	7
207010	207	6	6
207011	207	7	6
207012	207	7	4
207013	207	8	4
207014	207	8	2
207015	207	6	2
207016	207	6	5
207017	207	4	5
207018	207	4	6
207019	207	1	6
207020	207	1	2
301001	301	2	1
301002	301	2	5
301003	301	5	5
301004	301	5	4
301005	301	4	4
301006	301	4	3
301007	301	8	3
301008	301	8	1
301009	301	6	1
302001	302	2	1
302002	302	2	5
302003	302	1	5
302004	302	1	7
302005	302	7	7
302006	302	7	5
302007	302	4	5
302008	302	4	4
302009	302	6	4
302010	302	6	2
302011	302	8	2
302012	302	8	1
302013	302	6	1
303001	303	2	1
303002	303	2	5
303003	303	5	5
303004	303	5	3
303005	303	3	3
303006	303	3	1
303007	303	7	1
303008	303	7	4
303009	303	9	4
303010	303	9	7
303011	303	2	7
304001	304	1	2
304002	304	6	2
304003	304	6	3
304004	304	5	3
304005	304	5	4
304006	304	6	4
304007	304	6	5
304008	304	5	5
304009	304	5	6
304010	304	1	6
304011	304	1	7
304012	304	8	7
304013	304	8	1
304014	304	7	1
305001	305	1	2
305002	305	1	7
305003	305	4	7
305004	305	4	5
305005	305	2	5
305006	305	2	1
305007	305	4	1
305008	305	4	4
305009	305	7	4
305010	305	7	2
305011	305	6	2
305012	305	6	1
305013	305	9	1
305014	305	9	5
305015	305	6	5
305016	305	6	6
305017	305	7	6
305018	305	7	7
305019	305	8	7
306001	306	2	1
306002	306	8	1
306003	306	8	3
306004	306	9	3
306005	306	9	7
306006	306	6	7
306007	306	6	6
306008	306	8	6
306009	306	8	5
306010	306	6	5
306011	306	6	4
306012	306	5	4
306013	306	5	3
306014	306	6	3
306015	306	6	2
306016	306	3	2
306017	306	3	7
306018	306	2	7
307001	307	1	2
307002	307	1	6
307003	307	3	6
307004	307	3	5
307005	307	2	5
307006	307	2	2
307007	307	3	2
307008	307	3	3
307009	307	4	3
307010	307	4	1
307011	307	9	1
307012	307	9	5
307013	307	7	5
307014	307	7	4
307015	307	8	4
307016	307	8	2
307017	307	5	2
307018	307	5	7
307019	307	6	7
307020	307	6	6
307021	307	9	6
401001	401	3	6
401002	401	3	2
401003	401	7	2
401004	401	7	3
401005	401	5	3
401006	401	5	4
401007	401	9	4
401008	401	9	3
402001	402	8	6
402002	402	6	6
402003	402	6	5
402004	402	5	5
402005	402	5	4
402006	402	7	4
402007	402	7	3
402008	402	3	3
402009	402	3	7
402010	402	2	7
402011	402	2	2
402012	402	8	2
403001	403	8	6
403002	403	6	6
403003	403	6	5
403004	403	5	5
403005	403	5	4
403006	403	3	4
403007	403	3	6
403008	403	5	6
403009	403	5	7
403010	403	2	7
403011	403	2	1
403012	403	6	1
403013	403	6	2
403014	403	5	2
403015	403	5	3
403016	403	6	3
403017	403	6	4
403018	403	7	4
403019	403	7	2
404001	404	9	5
404002	404	9	3
404003	404	4	3
404004	404	4	2
404005	404	2	2
404006	404	2	4
404007	404	6	4
404008	404	6	5
404009	404	5	5
