Id	Carriages	RoleImgs
101	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
102	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
103	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
104	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
105	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
106	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
107	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
108	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
201	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
202	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
203	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
204	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
205	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
206	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
207	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
301	[1, 1301]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
302	[1, 1302]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
303	[1, 1301]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
304	[1, 1302]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
305	[1, 1301]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
306	[1, 1302]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
307	[1, 1301]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png']
401	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
402	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
403	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
404	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
405	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
406	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
407	[1, 0]	['Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png']
