Key	Values
MoveCueId	['6626']
ToBoardCueId	['6628']
ToColorEnd	['6627']
ToStation	['6629']
DyeingCueId	['6624']
ToFinalEndCueId	['6623']
RevokeCueId	['6630']
SelectPathCueId	['6631']
ClickObstacleCueId	['6625']
ChapterTimeUnlockFormat	['{0}后解锁']
UiMainChapterBgColor	['#FFFFFF', '#777777']
BoardMoveDuration	['0.2']
BoardJumpAnimDelay	['0.05']
DisembarkDuration	['0.2']
DisembarkJumpAnimDelay	['0.02']
ConflictJumpAnimDelay	['0.05']
ConflictMoveRatio	['0.4']
ConflictMoveDuration	['0.15']
BoardWaitFxTime	['0.2']
