Id	Comment	NpcId	Attrib	Value
1			[11, 12, 13]	[10000, 20000, 50000]
2		90383	[13, 14]	[30000, 40000]
3			[11, 12]	[1, 2]
301304801		93432	[1, 38, 53, 11, 6, 2]	[600000, 2000, 100000, 400, 3, 12]
301304802			[1, 38, 53, 11, 6, 2]	[1000000, 2000, 160000, 600, 3, 12]
130208071			[1, 11, 53]	[350000, 800, 6000]
300068581	V41超难1		[1, 11, 53]	[2087264, 2634, 313089]
300068591	V41超难2		[1, 11, 53]	[5566038, 3160, 834905]
300068601	V41超难3		[1, 11, 53]	[7653302, 3951, 1147995]
300068611	V41超难4-1		[1, 11, 53]	[4870283, 5268, 730542]
300068612	V41超难4-2		[1, 11, 53]	[4870283, 5268, 730542]
300068621	V41超难5-1		[1, 11, 53]	[5797956, 7902, 869693]
300068622	V41超难5-2		[1, 11, 53]	[5797956, 7902, 869693]
300068631	V41超难6-1		[1, 11, 53]	[7653302, 12643, 1147995]
300068632	V41超难6-2		[1, 11, 53]	[7653302, 12643, 1147995]
103701021	4.1主线第一关下水道	90180	[1, 11, 53]	[600000, 1500, 1000]
103701181	V41主线Boss_1		[1, 11, 53]	[9000000, 3000, 900000]
103701182	V41主线Boss_2		[1, 11, 53]	[18000000, 3000, 1800000]
103701071	v4.1主线-追逐关-楼顶战斗-执行者	90180	[1, 11, 53]	[600000, 1500, 1000]
103701072	v4.1主线-追逐关-楼顶战斗-异聚液压	90470	[1, 11, 53]	[600000, 1500, 1000]
103702071	v4.2主线-追逐关-下水道战斗-异合火力单元	90620	[1, 11, 53]	[600000, 1500, 1000]
103702072	v4.3主线-追逐关-下水道战斗-执行者	90180	[1, 11, 53]	[600000, 1500, 1000]
103702073	v4.4主线-追逐关-下水道战斗-完美程式体	93681	[1, 11, 53]	[600000, 1500, 1000]
103702074	v4.5主线-追逐关-公园战斗-执行者	90180	[1, 11, 53]	[600000, 1500, 1000]
103702075	v4.6主线-追逐关-公园战斗-警长	90980	[1, 11, 53]	[600000, 1500, 1000]
103701011			[1, 11, 53]	[800000, 1500, 1000]
103701012			[1, 11, 53]	[550000, 1500, 1000]
103801111	v4.2主线-茯神	80791	[1, 11, 53]	[1800000, 2601, 1800000]
290037001	主线复刷关通用属性模版		[1, 11]	[50000, 500]
301001951	v4.2挑战关1第一波怪物属性		[1, 11, 53]	[2000000, 1200, 400000]
301001952	v4.2挑战关1第二波怪物属性		[1, 11, 53]	[2000000, 1200, 400000]
301001961	v4.2挑战关2斯凯奇属性		[1, 11, 53]	[20000000, 2400, 4000000]
301001971	v4.2挑战关3帕瓦特属性		[1, 11, 53]	[8000000, 2400, 1600000]
301304851	4.2比安卡皮肤关第一波怪		[1, 11, 53]	[4000000, 2000, 0]
301304852	4.2比安卡皮肤关第二波怪		[1, 11, 53]	[2500000, 1000, 0]
301304853	4.2比安卡皮肤关第三波怪		[1, 11, 53]	[1500000, 750, 0]
103801201	4.2罗塞塔普通关4第一、二波		[1, 11, 53]	[100000, 1500, 1000]
103801202	4.2罗塞塔普通关4第三波小怪		[1, 11, 53]	[150000, 1500, 1000]
103801203	4.2罗塞塔普通关4第三波精英		[1, 11, 53]	[200000, 1500, 100000]
103801204	4.2罗塞塔普通关4第四波小怪		[1, 11, 53]	[200000, 1500, 50000]
103801205	4.2罗塞塔普通关4第四波精英		[1, 11, 53]	[300000, 1500, 200000]
