Id	CupCount	DefeatCount	EnemyCupCount	EnemyDefeatCount
1		4		2
2		3		1
3		2		
4		1		
5				
6	1	4	1	2
7	1	3		3
8	1	2		2
9	1	1	1	
10	1		1	
11	2	4	2	2
12	2	3	1	3
13	2	2	1	2
14	2	1	2	
15	2		2	
16	3	4	2	4
17	3	3	4	
18	3	2	2	2
19	3	1	3	
20	3		3	
21	4	4	3	4
22	4	3	5	
23	4	2	3	2
24	4	1	4	
25	4		4	
26	5	4	4	4
27	5	3	6	
28	5	2	4	2
29	5	1	5	
30	5		5	
31	6	4	5	4
32	6	3	7	
33	6	2	6	1
34	6	1	5	2
35	6		6	
36	7	4	8	1
37	7	3	8	
38	7	2	7	1
39	7	1	6	2
40	7		7	
41	8	4	9	1
42	8	3	9	
43	8	2	8	1
44	8	1	7	2
45	8		8	
46	9	4	8	4
47	9	3	9	2
48	9	2	9	1
49	9	1	8	2
50	9		9	
51		4		2
52		3		1
53		2		
54		1		
55				
56	1	4	1	2
57	1	3		3
58	1	2		2
59	1	1	1	
60	1		1	
61	2	4	2	2
62	2	3	1	3
63	2	2	1	2
64	2	1	2	
65	2		2	
66	3	4	2	4
67	3	3	4	
68	3	2	2	2
69	3	1	3	
70	3		3	
71	4	4	3	4
72	4	3	5	
73	4	2	3	2
74	4	1	4	
75	4		4	
76	5	4	4	4
77	5	3	6	
78	5	2	4	2
79	5	1	5	
80	5		5	
81	6	4	5	4
82	6	3	7	
83	6	2	6	1
84	6	1	5	2
85	6		6	
86	7	4	8	1
87	7	3	8	
88	7	2	7	1
89	7	1	6	2
90	7		7	
91	8	4	9	1
92	8	3	9	
93	8	2	8	1
94	8	1	7	2
95	8		8	
96	9	4	8	4
97	9	3	9	2
98	9	2	9	1
99	9	1	8	2
100	9		9	
101		4		2
102		3		1
103		2		
104		1		
105				
106	1	4	1	2
107	1	3		3
108	1	2		2
109	1	1	1	
110	1		1	
111	2	4	2	2
112	2	3	1	3
113	2	2	1	2
114	2	1	2	
115	2		2	
116	3	4	2	4
117	3	3	4	
118	3	2	2	2
119	3	1	3	
120	3		3	
121	4	4	3	4
122	4	3	5	
123	4	2	3	2
124	4	1	4	
125	4		4	
126	5	4	4	4
127	5	3	6	
128	5	2	4	2
129	5	1	5	
130	5		5	
131	6	4	5	4
132	6	3	7	
133	6	2	6	1
134	6	1	5	2
135	6		6	
136	7	4	8	1
137	7	3	8	
138	7	2	7	1
139	7	1	6	2
140	7		7	
141	8	4	9	1
142	8	3	9	
143	8	2	8	1
144	8	1	7	2
145	8		8	
146	9	4	8	4
147	9	3	9	2
148	9	2	9	1
149	9	1	8	2
150	9		9	
151		4		2
152		3	1	
153		2		1
154		1		
155				
156	1	4		4
157	1	3	2	
158	1	2	1	1
159	1	1		2
160	1		1	
161	2	4	2	2
162	2	3	3	
163	2	2	2	1
164	2	1	1	2
165	2		2	
166	3	4	4	1
167	3	3	3	2
168	3	2	3	1
169	3	1	2	2
170	3		3	
171	4	4	5	1
172	4	3	4	2
173	4	2	4	1
174	4	1	3	2
175	4		4	
176	5	4	6	1
177	5	3	5	2
178	5	2	5	1
179	5	1	4	2
180	5		5	
181	6	4	7	1
182	6	3	6	2
183	6	2	7	
184	6	1	6	1
185	6		6	
186	7	4	9	
187	7	3	7	2
188	7	2	8	
189	7	1	7	1
190	7		7	
191	8	4	8	3
192	8	3	8	2
193	8	2	9	
194	8	1	8	1
195	8		8	
196	9	4	9	3
197	9	3	8	4
198	9	2	8	3
199	9	1	9	1
200	9		9	
201		4		2
202		3	1	
203		2		1
204		1		
205				
206	1	4		4
207	1	3	2	
208	1	2	1	1
209	1	1		2
210	1		1	
211	2	4	2	2
212	2	3	3	
213	2	2	2	1
214	2	1	1	2
215	2		2	
216	3	4	4	1
217	3	3	3	2
218	3	2	3	1
219	3	1	2	2
220	3		3	
221	4	4	5	1
222	4	3	4	2
223	4	2	4	1
224	4	1	3	2
225	4		4	
226	5	4	6	1
227	5	3	5	2
228	5	2	5	1
229	5	1	4	2
230	5		5	
231	6	4	7	1
232	6	3	6	2
233	6	2	7	
234	6	1	6	1
235	6		6	
236	7	4	9	
237	7	3	7	2
238	7	2	8	
239	7	1	7	1
240	7		7	
241	8	4	8	3
242	8	3	8	2
243	8	2	9	
244	8	1	8	1
245	8		8	
246	9	4	9	3
247	9	3	8	4
248	9	2	8	3
249	9	1	9	1
250	9		9	
251		4		2
252		3	1	
253		2		1
254		1		
255				
256	1	4		4
257	1	3	2	
258	1	2	1	1
259	1	1		2
260	1		1	
261	2	4	2	2
262	2	3	3	
263	2	2	2	1
264	2	1	1	2
265	2		2	
266	3	4	4	1
267	3	3	3	2
268	3	2	3	1
269	3	1	2	2
270	3		3	
271	4	4	5	1
272	4	3	4	2
273	4	2	4	1
274	4	1	3	2
275	4		4	
276	5	4	6	1
277	5	3	5	2
278	5	2	5	1
279	5	1	4	2
280	5		5	
281	6	4	7	1
282	6	3	6	2
283	6	2	7	
284	6	1	6	1
285	6		6	
286	7	4	9	
287	7	3	7	2
288	7	2	8	
289	7	1	7	1
290	7		7	
291	8	4	8	3
292	8	3	8	2
293	8	2	9	
294	8	1	8	1
295	8		8	
296	9	4	9	3
297	9	3	8	4
298	9	2	8	3
299	9	1	9	1
300	9		9	
301		4	1	1
302		3		2
303		2	1	
304		1		
305				
306	1	4	2	1
307	1	3	1	2
308	1	2	2	
309	1	1		2
310	1		1	
311	2	4	3	1
312	2	3	2	2
313	2	2	3	
314	2	1	1	2
315	2		2	
316	3	4	5	
317	3	3	3	2
318	3	2	4	
319	3	1	3	1
320	3		3	
321	4	4	6	
322	4	3	5	1
323	4	2	5	
324	4	1	4	1
325	4		4	
326	5	4	7	
327	5	3	6	1
328	5	2	6	
329	5	1	5	1
330	5		5	
331	6	4	8	
332	6	3	7	1
333	6	2	6	2
334	6	1	6	1
335	6		6	
336	7	4	8	2
337	7	3	8	1
338	7	2	7	2
339	7	1	7	1
340	7		7	
341	8	4	9	2
342	8	3	9	1
343	8	2	8	2
344	8	1	8	1
345	8		8	
346	9	4	9	3
347	9	3	9	3
348	9	2	9	2
349	9	1	9	1
350	9		9	
351		4	1	1
352		3		2
353		2	1	
354		1		
355				
356	1	4	2	1
357	1	3	1	2
358	1	2	2	
359	1	1		2
360	1		1	
361	2	4	3	1
362	2	3	2	2
363	2	2	3	
364	2	1	1	2
365	2		2	
366	3	4	5	
367	3	3	3	2
368	3	2	4	
369	3	1	3	1
370	3		3	
371	4	4	6	
372	4	3	5	1
373	4	2	5	
374	4	1	4	1
375	4		4	
376	5	4	7	
377	5	3	6	1
378	5	2	6	
379	5	1	5	1
380	5		5	
381	6	4	8	
382	6	3	7	1
383	6	2	6	2
384	6	1	6	1
385	6		6	
386	7	4	8	2
387	7	3	8	1
388	7	2	7	2
389	7	1	7	1
390	7		7	
391	8	4	9	2
392	8	3	9	1
393	8	2	8	2
394	8	1	8	1
395	8		8	
396	9	4	9	3
397	9	3	9	3
398	9	2	9	2
399	9	1	9	1
400	9		9	
401		4	1	1
402		3		2
403		2	1	
404		1		
405				
406	1	4	2	1
407	1	3	1	2
408	1	2	2	
409	1	1		2
410	1		1	
411	2	4	3	1
412	2	3	2	2
413	2	2	3	
414	2	1	1	2
415	2		2	
416	3	4	5	
417	3	3	3	2
418	3	2	4	
419	3	1	3	1
420	3		3	
421	4	4	6	
422	4	3	5	1
423	4	2	5	
424	4	1	4	1
425	4		4	
426	5	4	7	
427	5	3	6	1
428	5	2	6	
429	5	1	5	1
430	5		5	
431	6	4	8	
432	6	3	7	1
433	6	2	6	2
434	6	1	6	1
435	6		6	
436	7	4	8	2
437	7	3	8	1
438	7	2	7	2
439	7	1	7	1
440	7		7	
441	8	4	9	2
442	8	3	9	1
443	8	2	8	2
444	8	1	8	1
445	8		8	
446	9	4	9	3
447	9	3	9	3
448	9	2	9	2
449	9	1	9	1
450	9		9	
451		4	1	1
452		3		2
453		2	1	
454		1		
455				
456	1	4	2	1
457	1	3	1	2
458	1	2	2	
459	1	1		2
460	1		1	
461	2	4	3	1
462	2	3	2	2
463	2	2	3	
464	2	1	1	2
465	2		2	
466	3	4	5	
467	3	3	3	2
468	3	2	4	
469	3	1	3	1
470	3		3	
471	4	4	6	
472	4	3	5	1
473	4	2	5	
474	4	1	4	1
475	4		4	
476	5	4	6	2
477	5	3	6	1
478	5	2	6	
479	5	1	5	1
480	5		5	
481	6	4	7	2
482	6	3	7	1
483	6	2	6	2
484	6	1	6	1
485	6		6	
486	7	4	8	2
487	7	3	7	3
488	7	2	7	2
489	7	1	7	1
490	7		7	
491	8	4	8	4
492	8	3	8	3
493	8	2	8	2
494	8	1	8	1
495	8		8	
496	9	4	9	4
497	9	3	9	3
498	9	2	9	2
499	9	1	9	1
500	9		9	
501		4	1	1
502		3		2
503		2	1	
504		1		
505				
506	1	4	2	1
507	1	3	1	2
508	1	2	2	
509	1	1		2
510	1		1	
511	2	4	3	1
512	2	3	2	2
