Id	Name	ActivityId	PassCG	TimeId
1	测试	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	
2	数据共耦	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	
3	控制共耦	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	
4	全局共耦	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	
5	病态共耦	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	
6	分晓时刻	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG1.png	
7	决溃晚礼	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG2.png	
8	独步银雨	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG3.png	
9	绳子	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG1.png	
10	撕咬	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG2.png	
11	血书	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG3.png	
12	凛燃	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG4.png	
13	请握剑	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG5.png	
14	无声纯白	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG1.png	
15	噬光终幕	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG2.png	
16	奇点残响	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG3.png	
17	神威好感	6	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG1.png	
