Id	ActivityId	CostItemNum	ConnectingNum	LightingNum	RewardId	ChapterId	LockPic	UnlockPic	Name	RewardText
1001	1	1	3	9	62030	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	原道	['原道', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
1002	1	1	4	16	62031	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	征圣	['征圣', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
1003	1	1	4	25	62032	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	宗经	['宗经', '我们的事业是为了更遥远的未来\\n唯一值得敬畏的……只有我们的子孙后代。']
1004	1	1	4	25	62033	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	铭箴	['铭箴', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
1005	1	1	5	25	62034	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	哀吊	['哀吊', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
1006	1	1	5	36	62035	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	史传	['史传', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
1007	1	1	5	36	62036	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	通变	['通变', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
1008	1	1	6	36	62037	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	熔裁	['熔裁', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
1009	1	1	6	36	62038	1	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	序志	['序志', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
2001	2		3	9	63498	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	数据共耦Ⅰ	['原道', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
2002	2	10	4	16	63499	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	数据共耦Ⅱ	['征圣', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
2003	2	10	4	16	63500	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	数据共耦Ⅲ	['宗经', '我们的事业是为了更遥远的未来\\n唯一值得敬畏的……只有我们的子孙后代。']
2004	2	10	5	25	63501	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	数据共耦Ⅳ	['铭箴', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
2005	2	15	5	25	63502	2	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	数据共耦Ⅴ	['哀吊', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
2006	2	10	4	25	63503	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	控制共耦Ⅰ	['史传', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
2007	2	10	5	25	63504	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	控制共耦Ⅱ	['通变', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
