LevelId	Name	PreLevelId	ChapterId	Type	TimeId	Condition	IsRank	FirstDropIds	DropIds	FirstExp	Exp	FirstCoin	Coin	FirstGold	Gold	AbilityLimit	AttributeNames	AttributeValues	LoadingTips	FirstShowGroupId	ShowGroupId	LockCharacterId
9002	普通		1	1				[1012]	[1001, 1002]	125	25	80	10	50	10				['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	1	2	
9003	进阶	9002	1	2				[1013]	[1003, 1004]	420	140	200	40	150	30	60			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	3	4	
9004	挑战	9003	1	3				[1014, 1015]	[1006, 1007]	750	200	500	80	300	60	300			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	5	6	
9005	困难	9004	1	4				[1014, 1015]	[1006, 1007]	1800	400	250	100	400	80	600			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	5	6	
9006	噩梦	9005	1	5			True	[1008, 1009]	[1010, 1011]	3500	700	150	120	500	100	800			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	7	8	
9008	进阶		2	2				[1013]	[1003, 1004]	420	140	200	40	150	30	60			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	3	4	
9009	挑战	9008	2	3				[1014, 1015]	[1006, 1007]	750	200	500	80	300	60	300			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	5	6	
9010	困难	9009	2	4				[1014, 1015]	[1006, 1007]	1800	400	250	100	400	80	600			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	5	6	
9011	噩梦	9010	2	5			True	[1008, 1009]	[1010, 1011]	3500	700	150	120	500	100	800			['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	7	8	
9001	教学		3	1				[1001]		50				25					['合理搭配队伍职业能有效降低作战难度。', '遇到困难时不妨尝试下“强化装备”。', '头像高亮时点击可释放扭转战机的“极限技”。', '与队友连续发动必杀技可触发“合击”。', '在特殊模块槽上的装备与职业装备的职业相同时“特性等级”会获得加成。', '技能打出的伤害数字都相同？那可能是达到“伤害上限”了。', '冗余装备可尝试进行分解。', '角色在局外可切换第二形态来获得不同的作战体验。']	1		10210051
