Id	Name	Icon	Type	CharacterUid	EquipOccupationType	Quality	MainSkillFactorId	AddSlotNum	AddFactorLevel	MainFactorId	MainFactorLevel	LevelWeights	FactorAbility	LevelTypes	Ability
11077101	伤害上限Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1		1	1		2	1	11077	[1]	[100]	[10]	[1]	10
11077102	伤害上限Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1		1	2		2	1	11077	[3]	[100]	[30]	[1]	30
11077103	伤害上限Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1		1	3		2	1	11077	[6]	[100]	[60]	[1]	60
11077104	伤害上限Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1		1	4		2	1	11077	[12]	[100]	[120]	[1]	120
11072101	攻击加深Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1		1	1		2	1	11072	[1]	[100]	[10]	[1]	10
11072102	攻击加深Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1		1	2		2	1	11072	[3]	[100]	[30]	[1]	30
11072103	攻击加深Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1		1	3		2	1	11072	[6]	[100]	[60]	[1]	60
11072104	攻击加深Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1		1	4		2	1	11072	[12]	[100]	[120]	[1]	120
11005101	暴击Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1		1	1		2	1	11005	[1]	[100]	[10]	[1]	10
11005102	暴击Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1		1	2		2	1	11005	[3]	[100]	[30]	[1]	30
11005103	暴击Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1		1	3		2	1	11005	[6]	[100]	[60]	[1]	60
11005104	暴击Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1		1	4		2	1	11005	[12]	[100]	[120]	[1]	120
11007101	暴击伤害Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1		1	1		2	1	11007	[1]	[100]	[10]	[1]	10
11007102	暴击伤害Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1		1	2		2	1	11007	[3]	[100]	[30]	[1]	30
11007103	暴击伤害Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1		1	3		2	1	11007	[6]	[100]	[60]	[1]	60
11007104	暴击伤害Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1		1	4		2	1	11007	[12]	[100]	[120]	[1]	120
