Key	Desc	Param
EquipMaxNum	仓库装备上限	['1000']
EquipPresetMaxNum	玩家能够登记的装备预设套装数量上限	['20']
EquipPresetNameMaxLength	装备预设套装命名长度上限	['10']
EquipMaxNumForOverflow	装备爆仓上限	['1050']
EquipSlotMaxNum	装备槽最大可用数量	['5']
NormalEquipSlotMaxNum	普通槽最大可用数量	['2']
ExpandEquipSlotMaxNum	扩展槽最大可用数量	['2']
EquipPresetBeginId	预设套装ID由此值开始	['1']
TargetingComposeConsumeId	定向合成需要物品	['97072']
TargetingComposeConsumeCount	定向合成价格	['2000']
TargetingComposeConsumeConditionIds	定向合成出现条件	['864002']
TutorialLevelId	教学关ID	['9001']
GlobalMatchEnableCondition	全局匹配开启条件	['864006']
GlobalMatchDropGroupId	全局匹配掉落奖励	['1016']
GlobalMatchRewardTimes	全局匹配奖励每日掉落次数	['3']
LoserRewardMaxPercent	失败时奖励最大倍率	['80']
LoserEffectBossHpPercent	失败时的奖励获取需要打掉的BOSS血量门槛	['15']
