Id	DropGroupId	RewardGroupId	ExtractNum	BaseWeight	AddWeight	AddWeightPartIds
1	1001	1	3	100		
2	1002	2	5	100		
3	1003	3	3	100		
4	1004	4	5	100		
5	1005	5	2	100		
6	1006	6	3	100		
7	1007	7	5	100		
8	1008	8	3	100		
9	1009	9	6	100		
10	1010	10	3	100		
11	1011	11	5	100		
12	1012	12	5	100		
13	1013	13	5	100		
14	1014	14	2	10		
15	1014	15	2	10		
16	1014	16	2	10		
17	1014	17	2	10		
18	1014	18	2	10		
19	1014	19	2	10		
20	1015	14	2	10		
21	1015	15	2	10		
22	1015	16	2	10		
23	1015	17	2	10		
24	1015	18	2	10		
25	1015	19	2	10		
26	1016	20	5	50		
27	1016	21	5	20		
28	1016	22	4	20		
29	1016	23	4	10		
30	1017	24	5	100		
31	1018	20	5	100		
32	1019	21	5	100		
