Id	AttributeName	AttributeType	LevelOverlyingType	DetailShowType	Name	Desc	Icon	IsPercent	MaxLevel	Order
11000	Life	1	1	1	生命	提升基础生命值			13	102
12001	Life	4	1	1	生命增益	生命值加成		1	13	103
11001	Attack	1	1	1	攻击	提升基础攻击力			39	101
11005	CritP	1	1	1	暴击	造成伤害时触发暴击的概率		1	24	105
11007	CritDmgRateP	1	1	1	暴击伤害	造成伤害时触发暴击的伤害倍率		1	13	106
11010	ShieldAmpP	1	1	1	护盾加成	护盾加成		1	13	108
11014	Attack1AmpP	1	1	1	伤害加成增益	伤害加成		1	26	110
11029	SignalSkillDmgAmpP	1	1	1	技能增伤	常规技能伤害加成		1	26	112
11030	CoreSkillDmgAmpP	1	1	1	核心增伤	核心技能伤害加成		1	26	113
11031	NormalAtkDmgAmpP	1	1	1	普攻增伤	普通攻击伤害加成		1	26	111
11032	ExSkillDmgAmpP	1	1	1	必杀增伤	必杀技能伤害加成		1	26	114
11067	DmgReduction	1	1	1	伤害减免	受到的伤害降低		1	13	104
11072	Attack3AmpP	1	1	1	攻击加深	提升造成的伤害		1	26	115
11077	DmgLimitP	1	1	1	伤害上限	提高角色伤害上限		1	39	107
11083	HealAmpP	1	1	1	治疗效率增益	提升治疗能力		1	13	109
11084	BreakDmg	1	1	1	失衡增益	提升对BOSS平衡值的削减能力			13	116
11096	CauseDamageThreatCoe	1	1	1	仇恨专注	<color=#ffdd93>增加</color>自身造成伤害时的<color=#ffdd93>仇恨倍率</color>		1	13	117
13096	CauseDamageThreatCoe	1	1	1	仇恨隐匿	<color=#ffdd93>降低</color>自身造成伤害时的<color=#ffdd93>仇恨倍率</color>		1	13	118
21001		1	1	1	初始必杀能量	进入战斗获得一定的<color=#ffdd93>必杀能量</color>。			13	1001
21006		1	1	1	追击技能增伤	追击技能伤害加成			26	1006
21007	RelinkChainSkillAmpP	1	1	1	连锁增伤	超链合击伤害加成		1	13	1007
