Id	Type	Text	EmojiId	DefaultCanUse
1	1	救救我		True
2	1	谢谢		True
3	1	我需要治疗		True
4	1	注意躲避伤害		True
5	1	来我这集合		True
6	1	保持距离		True
7	1	分散行动		True
8	1	等我大招满		True
9	1	快用大招		True
10	1	快点QTE		True
11	1	快点头像用极限技		True
12	1	准备合击了		True
13	1	让我来		True
14	1	坚持住，我马上来		True
15	1	全力输出		True
16	1	打得不错		True
17	1	真棒		True
18	1	酷		True
19	1	加油		True
20	1	？		True
21	2		11000001	
22	2		11000002	
23	2		11000003	
24	2		11000004	
25	2		11000005	
26	2		11000006	
27	2		11000007	
28	2		11000008	
29	2		11000009	
30	2		11000010	
31	2		11000011	
32	2		11000012	
33	2		11000013	
34	2		11000014	
35	2		11000015	
36	2		11000016	
37	2		11000017	
38	2		11000018	
39	2		11000019	
40	2		11000020	
41	2		11000021	
42	2		11000022	
43	2		11000023	
44	2		11000024	
45	2		11000025	
46	2		11000026	
47	2		11000027	
48	2		11000028	
49	2		11000029	
50	2		11000030	
51	2		11000031	
52	2		11000032	
53	2		11000033	
54	2		11000034	
55	2		11000035	
56	2		11000036	
57	2		11000037	
58	2		11000038	
59	2		11000039	
60	2		11000040	
61	2		11000041	
62	2		11000042	
63	2		11000043	
64	2		11000044	
65	2		11000045	
66	2		11000046	
67	2		11000047	
68	2		11000048	
69	2		11000049	
70	2		11000050	
71	2		11000051	
72	2		11000052	
73	2		11000053	
74	2		11000054	
75	2		11000055	
76	2		11000056	
77	2		11000057	
78	2		11000058	
79	2		11000059	
80	2		11000060	
81	2		11000061	
82	2		11000062	
83	2		11000063	
84	2		11000064	
85	2		11000065	
86	2		11000066	
87	2		11000067	
88	2		11000068	
89	2		11000069	
90	2		11000070	
91	2		11000071	
92	2		11000072	
93	2		11000073	
94	2		11000074	
95	2		11000075	
96	2		11000076	
97	2		11000077	
98	2		11000078	
99	2		11000079	
100	2		11000080	
101	2		11000081	
102	2		11000082	
103	2		11000083	
104	2		11000084	
105	2		11000085	
106	2		11000086	
107	2		11000087	
108	2		11000088	
109	2		11000089	
110	2		11000090	
111	2		11000091	
112	2		11000092	
113	2		11000093	
114	2		11000094	
115	2		11000095	
116	2		11000096	
117	2		11000097	
118	2		11000098	
119	2		11000099	
120	2		11000100	
121	2		11000101	
122	2		11000102	
123	2		11000103	
124	2		11000104	
125	2		11000105	
126	2		11000106	
127	2		11000107	
128	2		11000108	
129	2		11000109	
130	2		11000110	
131	2		11000111	
132	2		11000112	
133	2		11000113	
134	2		11000114	
135	2		11000115	
136	2		11000116	
137	2		11000117	
138	2		11000118	
139	2		11000119	
140	2		11000120	
141	2		11000121	
142	2		11000122	
143	2		11000123	
144	2		11000124	
145	2		11000125	
146	2		11000126	
147	2		11000127	
148	2		11000128	
149	2		11000129	
150	2		11000130	
151	2		11000131	
152	2		11000132	
153	2		11000133	
154	2		11000134	
155	2		11000135	
156	2		11000136	
157	2		11000137	
158	2		11000138	
159	2		11000139	
160	2		11000140	
161	2		11000141	
162	2		11000142	
163	2		11000143	
164	2		11000144	
165	2		11000145	
166	2		11000146	
167	2		11000147	
168	2		11000148	
169	2		11000149	
170	2		11000150	
171	2		11000151	
172	2		11000152	
173	2		11000153	
174	2		11000154	
175	2		11000155	
176	2		11000156	
177	2		11000157	
178	2		11000158	
179	2		11000159	
180	2		11000160	
181	2		11000161	
182	2		11000162	
183	2		11000163	
184	2		11000164	
185	2		11000165	
186	2		11000166	
187	2		11000167	
188	2		11000168	
189	2		11000169	
190	2		11000170	
191	2		11000171	
192	2		11000172	
193	2		11000173	
194	2		11000175	
195	2		11000176	
196	2		11000177	
197	2		11000178	
198	2		11000179	
199	2		11000180	
200	2		11000181	
201	2		11000182	
202	2		11000183	
203	2		11000184	
204	2		11000185	
205	2		11000186	
206	2		11000187	
207	2		11000188	
208	2		11000189	
209	2		11000190	
210	2		11000191	
211	2		11000192	
212	2		11000193	
213	2		11000194	
214	2		11000195	
215	2		11000196	
216	2		11000197	
217	2		11000198	
218	2		11000199	
219	2		11000200	
220	2		11000201	
221	2		11000202	
222	2		11000203	
223	2		11000204	
224	2		11000205	
225	2		11000206	
226	2		11000207	
227	2		11000208	
228	2		11000209	
229	2		11000210	
230	2		11000211	
231	2		11000212	
232	2		11000213	
233	2		11000214	
234	2		11000215	
235	2		11000216	
236	2		11000217	
237	2		11000218	
238	2		11000219	
239	2		11000220	
240	2		11000221	
241	2		11000222	
242	2		11000223	
243	2		11000224	
244	2		11000225	
245	2		11000226	
246	2		11000227	
247	2		11000228	
248	2		11000229	
249	2		11000230	
250	2		11000231	
251	2		11000232	
252	2		11000233	
253	2		11000234	
254	2		11000235	
255	2		11000236	
256	2		11000237	
257	2		11000238	
258	2		11000239	
259	2		11000240	
260	2		11000241	
261	2		11000242	
262	2		11000243	
263	2		11000244	
264	2		11000245	
265	2		11000246	
266	2		11000247	
267	2		11000248	
268	2		11000249	
269	2		11000250	
270	2		11000251	
271	2		11000252	
272	2		11000253	
273	2		11000254	
274	2		11000255	
275	2		11000256	
276	2		11000257	
277	2		11000258	
278	2		11000259	
279	2		11000260	
280	2		11000261	
281	2		11000262	
282	2		11000263	
283	2		11000264	
284	2		11000265	
285	2		11000266	
286	2		11000267	
287	2		11000268	
288	2		11000269	
289	2		11000270	
290	2		11000271	
291	2		11000272	
292	2		11000273	
293	2		11000274	
294	2		11000275	
295	2		11000276	
296	2		11000277	
297	2		11000278	
298	2		11000279	
299	2		11000280	
300	2		11000281	
301	2		11000282	
302	2		11000283	
303	2		11000284	
304	2		11000285	
305	2		11000286	
306	2		11000287	
307	2		11000288	
308	2		11000289	
309	2		11000290	
310	2		11000291	
311	2		11000292	
312	2		11000293	
313	2		11000294	
314	2		11000295	
315	2		11000296	
316	2		11000297	
317	2		11000298	
318	2		11000299	
319	2		11000300	
320	2		11000301	
321	2		11000302	
322	2		11000303	
323	2		11000304	
324	2		11000305	
325	2		11000306	
326	2		11000307	
