Id	RewardGroupId	RewardType	RewardId	RewardNum	LimitNum	BaseWeight	AddWeight	AddWeightCondition	CharacterUIdWeight	CharacterUId
1	1	1	11072101	1	2	100				
2	1	1	11005101	1	2	100				
3	1	1	11007101	1	2	100				
4	1	1	12001101	1	2	100				
5	1	1	11067101	1	2	100				
6	2	1	11001201	1	2	100				
7	2	1	11000201	1	2	100				
8	2	1	11014201	1	2	100				
9	2	1	11084201	1	2	100				
10	2	1	11010201	1	2	100				
11	2	1	11083201	1	2	100				
12	2	1	21001201	1	2	100				
13	2	1	11031201	1	2	100				
14	2	1	11030201	1	2	100				
15	2	1	11029201	1	2	100				
16	2	1	11032201	1	2	100				
17	2	1	21017201	1	2	100				
18	2	1	21018201	1	2	100				
19	3	1	11072102	1	2	100				
20	3	1	11005102	1	2	100				
21	3	1	11007102	1	2	100				
22	3	1	12001102	1	2	100				
23	3	1	11067102	1	2	100				
24	4	1	11001202	1	2	100				
25	4	1	11000202	1	2	100				
26	4	1	11014202	1	2	100				
27	4	1	11084202	1	2	100				
28	4	1	11010202	1	2	100				
29	4	1	11083202	1	2	100				
30	4	1	21001202	1	2	100				
31	4	1	11031202	1	2	100				
32	4	1	11030202	1	2	100				
33	4	1	11029202	1	2	100				
34	4	1	11032202	1	2	100				
35	4	1	21006202	1	2	100				
36	4	1	21008202	1	2	100				
37	4	1	21009202	1	2	100				
38	4	1	21010202	1	2	100				
39	4	1	21007202	1	2	100				
40	4	1	21011202	1	2	100				
41	4	1	21014202	1	2	100				
42	4	1	21015202	1	2	100				
43	4	1	21016202	1	2	100				
44	4	1	21017202	1	2	100				
45	4	1	21018202	1	2	100				
46	5	1	31001103	1	2	100				
47	5	1	31002103	1	2	100				
48	5	1	31007103	1	2	100				
49	5	1	31008103	1	2	100				
50	5	1	31013103	1	2	100				
51	5	1	31014103	1	2	100				
52	6	1	31001103	1	1	100				
53	6	1	31002103	1	1	100				
54	6	1	31007103	1	1	100				
55	6	1	31008103	1	1	100				
56	6	1	31013103	1	1	100				
57	6	1	31014103	1	1	100				
59	6	1	11072103	1	2	100				
60	6	1	11005103	1	2	100				
61	6	1	11007103	1	2	100				
62	6	1	12001103	1	2	100				
63	6	1	11067103	1	2	100				
64	7	1	11001203	1	2	100				
65	7	1	11000203	1	2	100				
66	7	1	11014203	1	2	100				
67	7	1	11084203	1	2	100				
68	7	1	11010203	1	2	100				
69	7	1	11083203	1	2	100				
70	7	1	21001203	1	2	100				
71	7	1	11031203	1	2	100				
72	7	1	11030203	1	2	100				
73	7	1	11029203	1	2	100				
74	7	1	11032203	1	2	100				
75	7	1	21006203	1	2	100				
76	7	1	21008203	1	2	100				
77	7	1	21009203	1	2	100				
78	7	1	21010203	1	2	100				
79	7	1	21007203	1	2	100				
80	7	1	21011203	1	2	100				
81	7	1	21014203	1	2	100				
82	7	1	21015203	1	2	100				
83	7	1	11096203	1	2	100				
84	7	1	21016203	1	2	100				
85	7	1	21018203	1	2	100				
86	7	1	13096203	1	2	100				
87	7	1	21017203	1	2	100				
88	8	1	31001104	1	1	100				
89	8	1	31002104	1	1	100				
90	8	1	31007104	1	1	100				
91	8	1	31008104	1	1	100				
92	8	1	31013104	1	1	100				
93	8	1	31014104	1	1	100				
94	9	1	31003104	1	1	100				
95	9	1	31004104	1	1	100				
96	9	1	31005104	1	1	100				
