Level	Exp	CoinExpTransfer	NormalSlot	ExtraSlotLimit	ConditionId	AttributeNames	AttributeValues	FinishOneOfLevelIds	ComposeId	IsMax
1		10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[250, 50, 0, 0]		1	
2	10	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[500, 100, 0, 0]		1	
3	15	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[750, 150, 0, 0]		1	
4	20	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[1000, 200, 0, 0]		1	
5	25	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[1250, 250, 500, 0]		1	
6	30	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[1500, 300, 500, 0]		1	
7	35	10	2			['Life', 'Attack', 'CritP', 'DmgLimitP']	[1750, 350, 500, 0]		1	
8	40	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[2000, 400, 500, 0]	[9003, 9008]	2	
9	50	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[2250, 450, 500, 0]		2	
10	60	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[2500, 500, 1000, 0]		2	
11	70	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[2750, 550, 1000, 0]		2	
12	80	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[3000, 600, 1000, 0]		2	
13	90	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[3250, 650, 1000, 0]		2	
14	100	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[3500, 700, 1000, 0]		2	
15	110	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[3750, 750, 1500, 2000]	[9004, 9009]	3	
16	300	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[4000, 800, 1500, 2000]		3	
17	350	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[4250, 850, 1500, 2000]		3	
18	400	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[4500, 900, 1500, 2000]		3	
19	420	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[4750, 950, 1500, 2000]		3	
20	450	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[5000, 1000, 2000, 4200]	[9005, 9010]	3	
21	600	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[5250, 1050, 2000, 4200]		3	
22	700	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[5500, 1100, 2000, 4200]		3	
23	800	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[5750, 1150, 2000, 4200]		3	
24	900	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[6000, 1200, 2000, 4200]		3	
25	1000	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1250, 2500, 4200]	[9006, 9011]	3	
26	1200	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1300, 2500, 4200]		3	
27	1500	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1350, 2500, 4200]		3	
28	2000	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1400, 2500, 4200]		3	
29	2500	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1450, 2500, 4200]		3	
30	3000	10	2	2		['Life', 'Attack', 'CritP', 'DmgLimitP']	[7500, 1500, 3000, 4200]		3	1
