Key	Values
TaskButtonName	['复苏行动']
SignInButtonName	['灰鸦的牵绊']
GachaButtonName1	['回归补给']
GachaButtonName2	['战线补给']
InviteButtonName	['并肩作战']
FettersButtonName	['并肩作战']
DiscountButtonName	['回归礼遇']
TaskPrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelTask.prefab']
SignInPrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelReturnSignIn.prefab']
GachaPrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelShop.prefab']
InvitePrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelReturninvitation.prefab']
FettersPrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelFetters.prefab']
DiscountPrefabAssetPath	['Assets/Product/Ui/ComponentPrefab/UiReturnActivity/PanelDiscount.prefab']
TaskButtonWeight	['2']
SignInButtonWeight	['1']
GachaButtonWeight	['4']
InviteButtonWeight	['3']
FettersButtonWeight	['4']
DiscountButtonWeight	['5']
DiscountUiType	['9']
ForwardDesc	['1月27日-2月10日，在活动期间登录游戏并在【战线复归】活动页面填写【回归邀请码】可参与活动，获得大量奖励！']
ShareLink	['https://pns.kurogame.com/activities/regression_v126?i=']
IsShowTextShare	['1']
DefaultCopyText	['《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码，还有额外奖励~']
