Id	PlatformType	ChannelId	KeepQRCode	ImagePlayerInfo	TextContent	KeepLink	TextPlayerInfo
1	1	1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
2	2	1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
3	3	1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
4	4	1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
5	5	1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
6		1		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
7	1	2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
8	2	2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
9	3	2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
10	4	2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
11	5	2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
12		2		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
13	1	11		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
14	2	11		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
15	3	11		邀请码{1}	（信标服）还有额外奖励~~点击链接查看更多版本情报，并且可以领取额外【兑换码】，戳：	True	《战双帕弥什》全新版本【曙星致意】已开启，春节福利活动同步上线，参与即得大量奖励！1月27日-2月10日回归且在【战线复归】活动内填写邀请码：【{1}】
