Id	MapId	Row	Column
1	101	7	[0, 0, 404, 404, 404, 0, 0, 0, 0]
2	101	6	[0, 0, 404, 0, 0, 0, 0, 0, 0]
3	101	5	[0, 404, 0, 0, 101, 0, 0, 0, 0]
4	101	4	[0, 404, 0, 404, 0, 0, 0, 0, 100]
5	101	3	[0, 404, 0, 0, 0, 404, 0, 0, 0]
6	101	2	[404, 2101, 0, 404, 0, 404, 0, 0, 0]
7	101	1	[1, 0, 0, 0, 0, 404, 0, 0, 0]
8	102	7	[0, 0, 2103, 0, 0, 404, 0, 0, 0]
9	102	6	[0, 101, 0, 0, 0, 0, 103, 0, 0]
10	102	5	[0, 0, 0, 404, 404, 0, 0, 0, 0]
11	102	4	[0, 0, 0, 404, 404, 0, 0, 0, 100]
12	102	3	[0, 0, 0, 0, 0, 404, 0, 0, 0]
13	102	2	[0, 2101, 0, 0, 0, 0, 0, 0, 0]
14	102	1	[1, 0, 0, 404, 0, 0, 0, 0, 0]
15	103	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
16	103	6	[0, 404, 404, 404, 404, 404, 404, 404, 0]
17	103	5	[0, 404, 0, 104, 0, 2104, 0, 404, 0]
18	103	4	[0, 404, 0, 0, 0, 0, 0, 404, 0]
19	103	3	[0, 0, 0, 0, 404, 0, 0, 0, 0]
20	103	2	[2102, 0, 0, 0, 0, 0, 0, 0, 102]
21	103	1	[404, 1, 404, 100, 0, 0, 0, 0, 0]
22	104	7	[404, 404, 404, 100, 404, 404, 404, 404, 404]
23	104	6	[404, 102, 2104, 0, 0, 0, 104, 2102, 404]
24	104	5	[404, 0, 0, 0, 0, 0, 0, 0, 404]
25	104	4	[404, 0, 0, 0, 0, 0, 0, 0, 0]
26	104	3	[0, 0, 0, 0, 0, 0, 404, 0, 0]
27	104	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
28	104	1	[0, 0, 0, 0, 0, 404, 1, 0, 0]
29	105	7	[0, 0, 0, 0, 0, 0, 0, 100, 0]
30	105	6	[0, 0, 0, 0, 104, 0, 0, 0, 404]
31	105	5	[101, 0, 0, 0, 0, 0, 0, 0, 0]
32	105	4	[0, 0, 0, 0, 0, 2101, 0, 0, 0]
33	105	3	[0, 0, 0, 0, 0, 404, 0, 0, 0]
34	105	2	[0, 0, 404, 0, 0, 2104, 0, 0, 404]
35	105	1	[0, 1, 0, 0, 0, 404, 0, 404, 0]
36	106	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
37	106	6	[0, 404, 2102, 404, 404, 404, 2103, 0, 0]
38	106	5	[0, 0, 0, 0, 0, 0, 0, 0, 0]
39	106	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
40	106	3	[0, 0, 0, 0, 0, 0, 0, 0, 0]
41	106	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
42	106	1	[1, 0, 0, 0, 0, 100, 103, 102, 404]
43	107	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
44	107	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
45	107	5	[0, 0, 0, 404, 404, 404, 404, 0, 0]
46	107	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
47	107	3	[0, 404, 2101, 0, 404, 404, 2103, 0, 0]
48	107	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
49	107	1	[1, 103, 0, 0, 0, 404, 100, 101, 0]
50	108	7	[0, 0, 0, 0, 100, 0, 0, 0, 0]
51	108	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
52	108	5	[0, 2102, 404, 0, 0, 0, 104, 0, 0]
53	108	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
54	108	3	[0, 0, 2104, 404, 0, 404, 102, 0, 0]
55	108	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
56	108	1	[0, 0, 1, 0, 0, 0, 0, 0, 0]
57	201	7	[100, 0, 0, 0, 0, 0, 0, 0, 101]
58	201	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
59	201	5	[404, 0, 0, 0, 0, 0, 0, 0, 0]
60	201	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
61	201	3	[404, 404, 404, 2201, 404, 404, 101, 404, 0]
62	201	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
63	201	1	[1, 0, 0, 404, 0, 0, 404, 0, 2203]
64	202	7	[100, 0, 0, 0, 0, 0, 0, 0, 2204]
65	202	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
66	202	5	[0, 404, 0, 0, 0, 0, 0, 0, 0]
67	202	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
68	202	3	[404, 0, 0, 2202, 0, 0, 102, 0, 0]
69	202	2	[0, 0, 0, 0, 0, 0, 404, 0, 0]
70	202	1	[1, 0, 404, 0, 0, 0, 0, 0, 102]
71	203	7	[100, 0, 0, 0, 0, 0, 0, 0, 2203]
72	203	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
73	203	5	[0, 404, 0, 0, 0, 0, 2205, 0, 0]
74	203	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
75	203	3	[404, 101, 0, 2201, 404, 404, 101, 0, 0]
76	203	2	[0, 0, 0, 0, 0, 0, 404, 0, 0]
77	203	1	[1, 0, 404, 0, 0, 0, 0, 0, 101]
78	204	7	[0, 0, 404, 0, 0, 0, 0, 0, 102]
79	204	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
80	204	5	[404, 0, 0, 0, 404, 404, 102, 0, 0]
81	204	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
82	204	3	[0, 102, 0, 2202, 0, 0, 2206, 0, 0]
83	204	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
84	204	1	[1, 0, 0, 100, 0, 0, 0, 0, 2204]
85	205	7	[404, 0, 0, 0, 0, 0, 0, 0, 101]
86	205	6	[0, 0, 0, 0, 0, 404, 0, 0, 0]
87	205	5	[0, 404, 0, 0, 0, 0, 0, 0, 2205]
88	205	4	[0, 101, 0, 0, 0, 0, 0, 0, 0]
89	205	3	[0, 0, 0, 0, 2201, 0, 0, 2203, 0]
90	205	2	[0, 101, 0, 0, 0, 0, 0, 0, 0]
91	205	1	[1, 404, 0, 100, 0, 0, 0, 0, 404]
92	206	7	[0, 0, 0, 0, 102, 0, 0, 0, 0]
93	206	6	[0, 0, 0, 0, 0, 0, 404, 0, 0]
94	206	5	[0, 102, 0, 0, 0, 0, 0, 0, 0]
95	206	4	[0, 0, 0, 2202, 0, 0, 2204, 0, 0]
96	206	3	[0, 102, 0, 0, 0, 0, 404, 0, 0]
97	206	2	[0, 404, 0, 0, 0, 0, 0, 0, 0]
98	206	1	[0, 1, 404, 2206, 0, 0, 0, 0, 100]
99	207	7	[0, 0, 0, 0, 101, 0, 0, 0, 0]
100	207	6	[0, 0, 0, 0, 404, 0, 0, 0, 0]
101	207	5	[0, 0, 101, 0, 0, 0, 0, 2203, 0]
102	207	4	[0, 0, 0, 0, 2201, 0, 0, 0, 0]
103	207	3	[0, 0, 101, 0, 404, 0, 2205, 0, 0]
104	207	2	[0, 0, 404, 0, 404, 0, 0, 0, 0]
105	207	1	[100, 0, 1, 0, 0, 0, 0, 0, 0]
106	301	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
107	301	6	[0, 404, 0, 0, 103, 0, 0, 0, 0]
108	301	5	[0, 0, 0, 0, 0, 404, 0, 0, 0]
109	301	4	[2303, 0, 666, 0, 0, 404, 0, 404, 0]
110	301	3	[0, 0, 404, 0, 0, 0, 0, 0, 101]
111	301	2	[0, 0, 404, 0, 0, 0, 404, 0, 0]
112	301	1	[1, 0, 404, 0, 100, 0, 0, 0, 0]
113	302	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
114	302	6	[0, 2304, 404, 404, 404, 404, 0, 0, 0]
115	302	5	[0, 0, 666, 0, 0, 0, 0, 0, 0]
116	302	4	[0, 0, 0, 0, 0, 0, 104, 0, 0]
117	302	3	[0, 0, 0, 404, 0, 0, 0, 0, 0]
118	302	2	[404, 0, 0, 0, 0, 0, 0, 0, 102]
119	302	1	[1, 0, 404, 0, 100, 0, 0, 0, 0]
