Id	Type	Color	BulletNum	GridName	CharacterId	Name
1	1			GridStart		起点
99	2			GridEnd07		神威终点1
100	2			GridEnd07		神威终点2
101	3	1		GridEnd01		卡穆终点1
102	3	2		GridEnd02		卡穆终点2
103	3	3		GridEnd03		库洛姆终点1
104	3	4		GridEnd04		库洛姆终点2
105	3	5		GridEnd05		万事终点1
106	3	6		GridEnd06		万事终点2
404	6			GridObstacle		障碍
666	5			GridStation07		车站
1000	10			GridCharacter01	1	神威1
1101	10	1		GridCharacter02	2	卡穆12
1102	10	2		GridCharacter02	2	卡穆12
1103	10	3		GridCharacter03	3	库洛姆34
1104	10	4		GridCharacter03	3	库洛姆34
2101	4	1		GridObstacle1	1101	卡穆12
2102	4	2		GridObstacle1	1102	卡穆12
2103	4	3		GridObstacle1	1103	库洛姆34
2104	4	4		GridObstacle1	1104	库洛姆34
1201	10	1		GridCharacter02	2	卡穆1
1202	10	2		GridCharacter02	2	卡穆2
1203	10	1		GridCharacter03	3	库洛姆1
1204	10	2		GridCharacter03	3	库洛姆2
1205	10	1		GridCharacter04	4	万事1
1206	10	2		GridCharacter04	4	万事2
2201	4	1		GridObstacle1	1201	卡穆1
2202	4	2		GridObstacle1	1202	卡穆2
2203	4	1		GridObstacle1	1203	库洛姆1
2204	4	2		GridObstacle1	1204	库洛姆2
2205	4	1		GridObstacle1	1205	万事1
2206	4	2		GridObstacle1	1206	万事2
1301	10	1		GridCharacter02	2	卡穆1
1302	10	2		GridCharacter02	2	卡穆2
1303	10	3		GridCharacter03	3	库洛姆3
1304	10	4		GridCharacter03	3	库洛姆4
1305	10	5		GridCharacter04	4	万事5
1306	10	6		GridCharacter04	4	万事6
2301	4	1		GridObstacle1	1301	卡穆1
2302	4	2		GridObstacle1	1302	卡穆2
2303	4	3		GridObstacle1	1303	库洛姆3
2304	4	4		GridObstacle1	1304	库洛姆4
2305	4	5		GridObstacle1	1305	万事5
2306	4	6		GridObstacle1	1306	万事6
1401	10	1		GridCharacter02	2	卡穆1
1402	10	2		GridCharacter02	2	卡穆2
1403	10	5		GridCharacter02	2	卡穆3
1404	10	3		GridCharacter03	3	库洛姆1
1405	10	4		GridCharacter03	3	库洛姆2
1406	10	5		GridCharacter03	3	库洛姆3
1407	10	5		GridCharacter04	4	万事1
1408	10	6		GridCharacter04	4	万事2
1409	10			GridCharacter05	5	库洛洛
1410	10			GridCharacter05	5	库洛洛
1411	10			GridCharacter03	3	库洛姆3
2401	4	1		GridObstacle1	1401	卡穆1
2402	4	2		GridObstacle1	1402	卡穆2
2403	4	5		GridObstacle1	1403	卡穆3
2404	4	3		GridObstacle1	1404	库洛姆1
2405	4	4		GridObstacle1	1405	库洛姆2
2406	4	5		GridObstacle1	1406	库洛姆3
2407	4	5		GridObstacle1	1407	万事1
2408	4	6		GridObstacle1	1408	万事2
2409	4			GridObstacle1	1409	库洛洛
2410	4			GridObstacle1	1410	库洛洛
2411	5			GridStation07	1411	车站+库洛姆
2412	5			GridStation07	1407	车站+万事
