Id	ChapterId	PreStageId	MapId	StarCondition	StarDesc	CellId	Name	MeshIcon	MeshDesc	SettleDesc	SettleRoleIcon	ChapterRoleIcon
101	301		101	[866111, 866112, 866112]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-1	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、神威。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png	
102	301	101	102	[866121, 866122, 866123]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-2	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png	
103	301	102	103	[866131, 866132, 866133]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-3	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu02.png	
104	301	103	104	[866141, 866142, 866143]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-4	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi01.png	
105	301	104	105	[866151, 866152, 866153]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-5	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei02.png	
106	301	105	106	[866161, 866162, 866163]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-6	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu04.png	
107	301	106	107	[866171, 866172, 866173]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-7	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu03.png	
108	301	107	108	[866181, 866182, 866183]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		团建记录-8	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi02.png	
201	302	108	201	[866211, 866212, 866213]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-1	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei03.png	
202	302	201	202	[866221, 866222, 866223]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-2	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu05.png	
