Id	Type	Params	NeedPoint	Desc	Name	PlugImg	PlugVideo
1100	4	[2267225]		所有成员全属性伤害+6%	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
1101	4	[2267201]	20	所有成员冰属性伤害+12%	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
1102	4	[2267202]	40	所有成员覆冰伤害+12%	伤害提升Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21012.png	
1103	4	[2267203]	60	所有成员冰属性伤害+36%，覆冰伤害+36%	伤害提升Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	
2101	4	[2267204]	20	所有成员暗属性伤害+24%，焚烧伤害+24%。洁塔薇获得该加成效果翻倍。	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
2102	4	[2267205]	40	所有成员暗属性攻击+48%，焚烧伤害额外+48%。洁塔薇获得该加成效果翻倍。	伤害提升Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	
2103	5	[129001]	20	使用洁塔薇出战时会有意想不到的效果	并肩作战	Assets/Product/Texture/Image/IconSkill/lipugong1.png	
2104	2	[14000]	60	关卡一星通关要求-14000	捷径	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	
2105	4	[2267227]	20	上阵洁塔薇时，信号球恢复速度提升，额外伤害提升200%	算力支援	Assets/Product/Texture/Image/UiScoreTower/UiScoreTowerAffixJietawei.png	
3101	4	[2267206]	20	所有成员雷属性伤害+24%，空属性伤害+24%	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
3102	4	[2267207]	40	造成空属性伤害时，使Boss获得30%的空属性弱点，持续10秒，重复触发刷新	弱点看破·空	Assets/Product/Texture/Image/IconAffix/IconAffixNihilityUp.png	
3103	4	[2267208]	40	造成雷属性伤害时，使Boss获得30%的雷属性弱点，持续10秒，重复触发刷新	弱点看破·雷	Assets/Product/Texture/Image/IconAffix/IconAffixLeiDianUp.png	
3104	4	[2267209]	60	消球时，每消1个球，就有40%概率额外获得1枚信号球	生生不息	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	
3105	1	[30]	80	战斗时间+30s	延缓	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	
3106	4	[2267226]	80	所有成员雷属性伤害+96%，空属性伤害+96%	伤害提升Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
4101	4	[2267210]	20	所有成员物理伤害+24%，电束伤害+24%	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
4102	1	[12]	20	战斗时间延长12秒	延缓	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	
4103	4	[2267211]	40	所有成员物理伤害+48%，电束伤害+48%	伤害提升Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	
4105	4	[2267215]	10	马车移速-30%	在这停顿	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	
4107	4	[2267212]	60	造成物理伤害时，使自身暴击提升20%、暴击伤害提升25%，持续10秒，最高叠加4层，重复触发刷新	爆！	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png	
4108	3	[2267111]	40	移除boss的强化词缀Ⅰ	衰退Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
4109	3	[2267112]	60	移除boss的强化词缀Ⅱ	衰退Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
4204	4	[2267214]	40	所有成员切换入场时，获得持续10秒的霸体	不动如山	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	
4206	4	[2267216]	60	不与马车交互，直接开始Boss战斗，并获得全额环境增益加成	跳过	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	
4207	4	[2267213]	60	造成电束伤害时，使Boss获得50%的电束弱点，持续10秒，重复触发刷新	弱点看破·电束	Assets/Product/Texture/Image/IconAffix/IconAffixDianshuUp.png	
4208	3	[2267113]	40	移除boss的强化词缀Ⅰ	衰退Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
4209	3	[2267114]	60	移除boss的强化词缀Ⅱ	衰退Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
5101	4	[2267217]	20	所有成员火属性伤害+24%，覆冰伤害+24%	伤害提升Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	
5102	4	[2267218]	40	所有成员火属性伤害+48%，覆冰伤害+48%	伤害提升Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	
5103	4	[2267219]	20	获得信号球时，有15%概率额外获得一枚信号球（不可套娃）	生生不息	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	
5106	4	[2267222]	100	环境增益中的加成效果翻倍	超级加倍	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21111.png	
5109	4	[2267220]	60	造成火属性伤害时，使Boss获得50%的火属性弱点，持续10秒，重复触发刷新	弱点看破·火	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png	
5110	3	[2267115]	40	移除boss的强化词缀Ⅰ	衰退Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
5111	3	[2267116]	60	移除boss的强化词缀Ⅱ	衰退Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
5204	2	[45000]	40	关卡一星通关要求-45000	捷径	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	
5205	1	[25]	40	战斗时间延长25s	延缓	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	
5207	4	[2267223]	40	所有成员切换入场时，获得持续10秒的霸体	不动如山	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	
5208	4	[2267224]	120	环境增益及插槽天赋转为全属性加成	触类旁通	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	
5209	4	[2267221]	60	造成覆冰伤害时，使Boss获得50%的覆冰弱点，持续10秒，重复触发刷新	弱点看破·覆冰	Assets/Product/Texture/Image/IconAffix/IconAffixFubingUp.png	
5210	3	[2267117]	40	移除boss的强化词缀Ⅰ	衰退Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
5211	3	[2267118]	60	移除boss的强化词缀Ⅱ	衰退Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	
