Id	Type	Params	Point	Desc
122101	2	['4000']	20	上阵角色平均战力≥4000
122201	1	['203']	20	需要上阵覆冰效应成员
122301	1	['301', '311']	20	需要上阵进攻型/装甲型成员
123101	2	['4500']	20	上阵角色平均战力≥4500
123201	1	['203']	20	需要上阵覆冰效应成员
123301	1	['321', '322']	20	需要上阵辅助型/增幅型成员
211101	2	['4500']	5	上阵角色平均战力≥4500
211201	1	['105']	5	需要上阵暗属性成员
211202	1	['202']	10	需要上阵焚烧效应成员
211301	1	['202']	5	需要上阵焚烧效应成员
212101	2	['4800']	5	上阵角色平均战力≥4800
212201	1	['105']	5	需要上阵暗属性成员
212301	1	['202']	5	需要上阵焚烧效应成员
212302	1	['105']	10	需要上阵暗属性成员
213101	1	['202']	5	需要上阵焚烧效应成员
213201	1	['105']	5	需要上阵暗属性成员
213202	1	['202']	10	需要上阵焚烧效应成员
213301	2	['5000']	10	上阵角色平均战力≥5000
214101	5	['3|202']	10	需要上阵三位焚烧效应成员
214102	5	['3|105']	20	需要上阵三位暗属性成员
214201	1	['105']	10	需要上阵暗属性成员
214301	2	['5300']	10	上阵角色平均战力≥5300
215101	5	['3|202']	10	需要上阵三位焚烧效应成员
215102	5	['3|105']	15	需要上阵三位暗属性成员
215103	1	['401']	10	需要上阵洁塔薇
215201	1	['105']	10	需要上阵暗属性成员
215202	1	['202']	5	需要上阵焚烧效应成员
215301	2	['5500']	10	上阵角色平均战力≥5500
221101	5	['2|105']	10	需要上阵两位暗属性成员
221102	5	['2|202']	20	需要上阵两位焚烧效应成员
221201	2	['5000']	10	上阵角色平均战力≥5000
221301	1	['105']	5	需要上阵暗属性成员
222101	5	['3|105']	20	需要上阵三位暗属性成员
222201	2	['5500']	20	上阵角色平均战力≥5500
222301	1	['202']	10	需要上阵焚烧效应成员
222302	1	['105']	20	需要上阵暗属性成员
223101	5	['2|105']	10	需要上阵两位暗属性成员
223102	1	['202']	10	需要上阵焚烧效应成员
223201	2	['6000']	10	上阵角色平均战力≥6000
223301	1	['202']	10	需要上阵焚烧效应成员
223302	1	['105']	15	需要上阵暗属性成员
311101	2	['5500']	5	上阵角色平均战力≥5500
311201	2	['5500']	5	上阵角色平均战力≥5500
311202	1	['206']	5	需要上阵紊乱效应成员
311301	1	['206']	5	需要上阵紊乱效应成员
311302	1	['104']	5	需要上阵雷属性成员
312101	2	['5800']	5	上阵角色平均战力≥5800
312201	2	['5800']	5	上阵角色平均战力≥5800
312202	1	['206']	10	需要上阵紊乱效应成员
312301	1	['206']	5	需要上阵紊乱效应成员
312302	1	['104']	10	需要上阵雷属性成员
313101	2	['6000']	5	上阵角色平均战力≥6000
313201	2	['6000']	5	上阵角色平均战力≥6000
313202	1	['206']	20	需要上阵紊乱效应成员
313301	1	['206']	10	需要上阵紊乱效应成员
313302	1	['104']	10	需要上阵雷属性成员
314101	2	['6300']	5	上阵角色平均战力≥6300
314201	2	['6300']	5	上阵角色平均战力≥6300
314202	1	['206']	10	需要上阵紊乱效应成员
314301	1	['206']	5	需要上阵紊乱效应成员
314302	1	['104']	10	需要上阵雷属性成员
315101	2	['6500']	10	上阵角色平均战力≥6500
315102	1	['206']	10	需要上阵紊乱效应成员
315103	1	['104']	20	需要上阵雷属性成员
