Id	Content
99960001	<size=50>三个变量<color=#FF3300>{0}{1}{2}</color>行数：1</size>
99960002	<size=45>三个变量<color=#FF0033>{0}{1}{2}</color>行数：2</size>
99960003	<size=40>三个变量<color=#33FF00>{0}{1}{2}</color>行数：3</size>
99960004	<size=35>三个变量<color=#3300FF>{0}{1}{2}</color>行数：4</size>
99960005	<size=30>三个变量<color=#0033FF>{0}{1}{2}</color>行数：5</size>
99960006	<size=25>三个变量<color=#00FF33>{0}{1}{2}</color>行数：6</size>
99960007	<size=20>三个变量{0}{1}{2}行数：7</size>
99960008	<size=15>三个变量{0}{1}{2}行数：8</size>
99960009	<size=10>三个变量{0}{1}{2}行数：9</size>
99960010	<size=5>三个变量{0}{1}{2}行数：10</size>
90005200	
90005201	<color=#E6E6E6><size=30><color=#86a4ff>移动</color>到光煌龙附近</size></color>
90005202	<color=#E6E6E6><size=30><color=#86a4ff>完美闪避</color>{0}次</size></color>
90005203	<color=#E6E6E6><size=30>{0}/{1}</size></color>
90005204	<color=#E6E6E6><size=28>面对黄光预警的招式时，<color=#86a4ff>瞬击格挡</color>{0}次</size></color>
90005205	<color=#E6E6E6><size=30>击破光煌龙的<color=#86a4ff>平衡值</color></size>（锁定目标时显示<color=#86a4ff>平衡值</color>）</color>
90005206	<color=#E6E6E6><size=30>击败光煌龙</size></color>
90005207	<color=#E6E6E6><size=30>攻击光煌龙，令<color=#86a4ff>狂怒值</color>充满</size></color>
90005208	<color=#E6E6E6><size=30>与七实丽芙共同战斗，击败光煌龙</size></color>
9012001	<size=26>总伤害：{0}</size>
9012002	<size=20>{0}秒内未造成伤害后重置</size>
90005209	<color=#E6E6E6><size=30>光煌龙即将进行大范围火焰攻击，请做好防御和治疗的准备。</size></color>
90005210	<color=#E6E6E6><size=30>光煌龙进入了蓄力状态，请全力攻击，以阻止它释放更为强力的招式。</size></color>
90005211	<color=#E6E6E6><size=24>敌方狂暴，请尽快击破</size></color>
90005212	<color=#E6E6E6><size=24>{0}/{1}</size></color>
90005213	<color=#E6E6E6><size=31>黯夜追随者即将发射导弹并进行高速冲刺攻击，请注意分散躲避导弹和冲刺攻击。</size></color>
90005214	<color=#E6E6E6><size=31>黯夜追随者即将使用无法躲避的斩击，请远离斩击范围。</size></color>
